代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10536697.5099999998
真實報酬,536697.5099999998
趨勢值,2.4271263076

選擇檔數,12
找到最佳解世代,4197
找到最佳解實驗,1
Stock#,AAPL,CAT,CSCO,IBM,JNJ,KO,MCD,PFE,PG,TRV,V,WMT,
分配資金,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,
張數,7617,8315,33902,5070,7754,19931,8902,27602,9536,8337,13799,10924,
剩餘資金,33.2000000000,3.7000000000,21.8400000001,27.7999999999,88.1600000000,17.8900000000,16.7800000000,28.6200000000,77.3200000000,49.8500000000,11.3900000000,50.2800000000,
FS(1),833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,10000000.0000000000,
FS(2),827239.3999999999,819945.8500000000,843503.6000000001,824663.2999999999,842327.6400000000,833532.3099999999,840988.7200000000,835817.1800000001,845348.3600000001,843170.6599999999,838162.6500000000,844038.5200000001,10038742.1899999995,
FS(3),829219.8199999999,826597.8500000000,852657.1400000000,820455.2000000000,843878.4399999999,843298.5000000000,842502.0600000001,829192.7000000000,848781.3200000001,846171.9800000000,860793.0100000000,848845.0800000001,10092397.0999999996,
FS(4),828001.1000000000,839070.3500000000,856386.3600000001,818630.0000000000,845351.7000000001,842899.8799999999,842680.1000000000,829192.7000000000,847827.7200000001,849673.5199999999,862724.8700000001,850046.7200000001,10112489.0200000014,
FS(5),830362.3700000000,846138.1000000000,858759.5000000000,821722.7000000000,839070.9600000001,843497.8099999999,846596.9800000000,825880.4600000001,850021.0000000000,853508.5400000000,870866.2800000000,860533.7600000000,10146962.4600000009,
FS(6),828991.3099999999,849879.8499999999,852657.1400000000,828922.1000000000,843878.4399999999,844892.9799999999,846686.0000000000,833609.0200000000,853072.5200000001,858677.4800000000,863138.8400000000,867852.8400000000,10172262.5199999996,
FS(7),835618.1000000000,852540.6499999999,852657.1400000000,827958.7999999999,844576.3000000000,847284.6999999998,846953.0600000001,836921.2600000000,855170.4400000001,858260.6300000000,861482.9600000000,863155.5200000001,10182583.5600000005,
FS(8),847424.4500000000,856365.5499999999,851301.0600000001,820962.1999999998,843335.6600000000,851270.8999999999,848644.4400000001,839681.4600000001,853358.6000000001,859261.0699999999,869210.4000000000,865231.0800000001,10206050.8700000010,
FS(9),859383.1399999999,840733.3500000000,870625.2000000001,825373.0999999999,845816.9399999999,852865.3799999999,849979.7400000001,839681.4600000001,844966.9200000000,860678.3600000000,865622.6599999999,906086.8400000000,10261817.0899999999,
FS(10),869742.2600000000,842645.7999999999,892322.4800000001,832318.9999999999,838760.8000000000,851669.5199999998,856478.2000000000,837473.3000000000,840294.2800000000,854008.7600000000,858447.1800000001,906305.3199999999,10280470.8999999985,
FS(11),868295.0299999999,845639.2000000000,897407.7800000000,832318.9999999999,839846.3600000000,855456.4099999999,854341.7200000000,836921.2600000000,837719.5600000001,856676.6000000000,861758.9400000001,912968.9600000000,10299354.8200000022,
FS(12),879568.1899999999,848466.3000000000,901815.0400000002,820810.0999999999,843955.9800000000,867614.3199999999,858258.6000000000,844373.8000000000,838768.5200000001,857510.2999999999,861482.9600000000,915372.2400000001,10338000.3500000015,
FS(13),873474.5900000000,842313.2000000000,901476.0200000001,818477.8999999999,843413.2000000001,881366.7099999998,859593.9000000000,840233.5000000000,846206.6000000001,859010.9600000000,862034.9200000000,928481.0399999999,10356086.5399999991,
FS(14),885966.4700000000,848882.0499999999,908934.4600000001,814472.5999999999,838915.8800000001,881964.6399999999,860306.0600000001,840233.5000000000,843727.2400000001,862595.8699999999,868244.4700000001,924002.2000000000,10378249.4399999995,
FS(15),887185.1899999999,885135.4500000000,911307.6000000001,815892.1999999998,836434.6000000000,886947.3899999999,860662.1400000001,840509.5200000000,844966.9200000000,865513.8199999999,877075.8300000001,924766.8800000001,10436401.5399999991,
FS(16),903637.9099999999,881061.0999999999,916392.9000000001,822128.2999999999,828835.6800000001,882363.2600000000,865024.1200000000,834161.0599999999,840294.2800000000,865347.0800000001,878455.7300000000,932959.8800000001,10450665.2999999989,
FS(17),895792.3999999999,883389.2999999999,924868.4000000001,820150.9999999999,827439.9600000001,885552.2199999999,863510.7800000000,841061.5599999999,846874.1200000000,862345.7600000000,887563.0699999999,928044.0800000001,10466596.6500000004,
FS(18),906456.2000000000,879647.5500000000,929953.7000000001,821114.2999999999,831394.5000000000,882761.8799999999,856567.2200000000,858450.8200000001,847637.0000000000,870182.5400000000,887563.0699999999,928371.8000000000,10500104.5800000001,
FS(19),905923.0100000000,836492.7000000000,937073.1200000001,822229.6999999998,839458.6600000000,893524.6199999999,861819.4000000000,859830.9199999999,862417.8000000002,870849.5000000000,890736.8400000000,956337.2400000001,10536697.5099999998,
