初始資金,10000000.0000000000
最後資金,13739342.2199999988
真實報酬,3739342.2199999988

二次趨勢線,6.7719263438x^2 + 13629.8786632921x + 10000000.0000000000
加權每日預期報酬,15891.7020621081
風險,230776.3054637706
二次趨勢值,0.0688619312

平均每日預期報酬,61.3185287023
風險,230776.3054637706
二次趨勢值,0.0002657055

一次趨勢線,14902.1492563189x + 10000000.0000000000
每日預期報酬,14902.1492563189
風險,235625.3768710904
一次趨勢值,0.0632450946

投資組合檔數,6
Stock#,BA,DD,JNJ,TRV,UTX,V,
FS(1),10000000.0000000000,
FS(2),9958837.9900000002,
FS(3),9983925.5000000000,
FS(4),10039103.4399999995,
FS(5),10085324.0700000003,
FS(6),10038988.1900000013,
FS(7),9930166.7699999996,
FS(8),9882346.0999999996,
FS(9),9910806.7599999998,
FS(10),9915548.4199999999,
FS(11),9992957.6600000001,
FS(12),10198700.7099999990,
FS(13),10314529.7900000010,
FS(14),10433535.9600000009,
FS(15),10330755.6600000001,
FS(16),10311136.9200000018,
FS(17),10141610.8199999984,
FS(18),10221703.9300000016,
FS(19),10165731.0600000005,
FS(20),10159628.0299999993,
FS(21),10116131.9199999999,
FS(22),10251192.7200000007,
FS(23),10157121.7799999993,
FS(24),10141764.5400000010,
FS(25),10309724.0099999998,
FS(26),10135293.3100000005,
FS(27),10065867.0600000005,
FS(28),10117382.4299999997,
FS(29),10105182.4600000009,
FS(30),10082108.5500000007,
FS(31),9911425.3499999996,
FS(32),9889257.8399999999,
FS(33),9926782.8000000007,
FS(34),10101402.2699999996,
FS(35),10139264.6300000008,
FS(36),10184964.7299999986,
FS(37),10300341.6200000010,
FS(38),10294072.6899999995,
FS(39),10296848.2799999993,
FS(40),10337701.8599999994,
FS(41),10359586.7599999998,
FS(42),10403757.2900000010,
FS(43),10328716.9199999999,
FS(44),10318514.8100000024,
FS(45),10419556.2200000007,
FS(46),10430466.4800000004,
FS(47),10502665.9000000004,
FS(48),10545716.1600000020,
FS(49),10598750.3200000003,
FS(50),10573016.6200000010,
FS(51),10510169.2999999989,
FS(52),10514230.5900000017,
FS(53),10605803.1100000013,
FS(54),10752776.1000000015,
FS(55),10700348.5700000003,
FS(56),10776121.0000000000,
FS(57),10676992.7100000009,
FS(58),10664864.9700000007,
FS(59),10660753.4000000004,
FS(60),10621038.0699999984,
FS(61),10500786.8300000001,
FS(62),10647608.5700000003,
FS(63),10861024.5199999996,
FS(64),10895294.7699999996,
FS(65),10992017.3300000001,
FS(66),10930069.1799999997,
FS(67),10854235.3000000007,
FS(68),11016428.0700000022,
FS(69),11060172.8100000005,
FS(70),11041203.1500000004,
FS(71),11112571.0899999999,
FS(72),11122181.0899999980,
FS(73),11029134.9399999995,
FS(74),11089734.1200000010,
FS(75),11093742.8699999992,
FS(76),11128456.3599999994,
FS(77),11147877.0800000001,
FS(78),11233663.1399999987,
FS(79),11283504.8900000006,
FS(80),11176231.0600000005,
FS(81),11218659.6699999999,
FS(82),11186466.9900000002,
FS(83),11052586.3099999987,
FS(84),11195211.7500000019,
FS(85),11100277.5800000001,
FS(86),11184541.8700000010,
FS(87),11250349.5899999999,
FS(88),11221133.2800000012,
FS(89),11228404.2999999989,
FS(90),11193677.4999999981,
FS(91),11252276.3899999987,
FS(92),11201160.9000000004,
FS(93),11206322.0300000012,
FS(94),11247639.4699999988,
FS(95),11265572.0700000003,
FS(96),11172320.8900000006,
FS(97),11176826.6599999983,
FS(98),11270647.5400000010,
FS(99),11042171.7100000009,
FS(100),11136253.6000000015,
FS(101),11314866.1400000006,
FS(102),11269434.7400000002,
FS(103),11288649.2500000000,
FS(104),11294747.6699999999,
FS(105),11431332.0999999996,
FS(106),11464968.6899999995,
FS(107),11518494.1899999995,
FS(108),11569422.8899999987,
FS(109),11655154.0099999998,
FS(110),11689046.5200000014,
FS(111),11703384.3399999999,
FS(112),11769649.6800000016,
FS(113),11791502.3800000008,
FS(114),11711177.5200000014,
FS(115),11713650.3100000005,
FS(116),11801902.3899999987,
FS(117),11669447.4700000007,
FS(118),11766899.0700000003,
FS(119),11761482.0099999998,
FS(120),11854448.9299999997,
FS(121),11856219.7099999990,
FS(122),11908719.8800000008,
FS(123),11830461.7400000002,
FS(124),11817519.8100000005,
FS(125),11760602.8699999992,
FS(126),11842273.6200000010,
FS(127),11806593.9399999995,
FS(128),11829740.5700000003,
FS(129),11903931.9199999999,
FS(130),11984598.1999999993,
FS(131),12061908.2999999989,
FS(132),12053360.0099999998,
FS(133),11750863.3599999994,
FS(134),11908011.1900000013,
FS(135),11814681.1899999995,
FS(136),11715667.3800000008,
FS(137),11896074.3900000006,
FS(138),11902547.6399999987,
FS(139),12038637.6199999992,
FS(140),12091220.9500000011,
FS(141),12242405.6999999993,
FS(142),12194703.1800000016,
FS(143),12234976.5299999993,
FS(144),12215386.3200000003,
FS(145),12076228.5500000007,
FS(146),12258286.0399999991,
FS(147),12459968.3899999987,
FS(148),12445059.8499999996,
FS(149),12546605.9900000002,
FS(150),12560380.6499999985,
FS(151),12569637.2699999996,
FS(152),12562285.9599999990,
FS(153),12566657.0299999993,
FS(154),12730226.5200000014,
FS(155),12803701.5300000012,
FS(156),12715608.1100000013,
FS(157),12922932.7599999998,
FS(158),12842707.5600000005,
FS(159),12826975.5900000017,
FS(160),12725453.9499999993,
FS(161),12690296.2899999991,
FS(162),12706769.6600000020,
FS(163),12731776.6899999995,
FS(164),12624511.7599999998,
FS(165),12733695.6199999992,
FS(166),12556386.9699999988,
FS(167),12636177.7299999986,
FS(168),12591777.8600000013,
