初始資金,10000000.0000000000
最後資金,14865537.0699999984
真實報酬,4865537.0699999984

二次趨勢線,6.9339979552x^2 + 17044.3798618562x + 10000000.0000000000
加權每日預期報酬,19369.5805094860
風險,267086.0200333278
二次趨勢值,0.0725218808

平均每日預期報酬,74.8675193090
風險,267086.0200333278
二次趨勢值,0.0002803124

一次趨勢線,18352.3000566663x + 10000000.0000000000
每日預期報酬,18352.3000566663
風險,271558.7931622951
一次趨勢值,0.0675813140

投資組合檔數,1
Stock#,PG,
FS(197),13801835.7699999996,
FS(198),13850837.7400000002,
FS(199),13856813.5899999999,
FS(200),13797055.0899999999,
FS(201),13745662.7799999993,
FS(202),13780322.7099999990,
FS(203),13607023.0599999987,
FS(204),13457626.8099999987,
FS(205),13477944.6999999993,
FS(206),13712198.0199999996,
FS(207),13863984.6099999994,
FS(208),14391054.5799999982,
FS(209),14107799.2900000010,
FS(210),13951232.0199999996,
FS(211),13916572.0899999999,
FS(212),13514994.9699999988,
FS(213),13658415.3699999992,
FS(214),13806616.4499999993,
FS(215),14036089.0899999999,
FS(216),13957207.8699999992,
FS(217),13867570.1199999992,
FS(218),14013380.8599999994,
FS(219),13838886.0400000010,
FS(220),14030113.2400000002,
FS(221),14244048.6699999999,
FS(222),14370736.6899999995,
FS(223),14210583.9100000001,
FS(224),14246439.0099999998,
FS(225),14272732.7500000000,
FS(226),14021747.0499999989,
FS(227),14260781.0499999989,
FS(228),14407786.9599999990,
FS(229),14509376.4100000001,
FS(230),14483082.6699999999,
FS(231),14369541.5199999996,
FS(232),14504595.7299999986,
FS(233),14725702.1799999978,
FS(234),14671919.5299999993,
FS(235),14685066.4000000004,
FS(236),14601404.5000000000,
FS(237),14327710.5699999984,
FS(238),14493839.1999999993,
FS(239),14673114.6999999993,
FS(240),14595428.6500000004,
FS(241),14312173.3599999994,
FS(242),14480692.3299999982,
FS(243),14510571.5799999982,
FS(244),14569134.9100000001,
FS(245),14609770.6899999995,
FS(246),14726897.3499999996,
FS(247),14773508.9799999986,
FS(248),14702993.9499999993,
FS(249),14857170.8799999990,
FS(250),14888245.2999999989,
FS(251),14865537.0699999984,
