初始資金,10000000.0000000000
最後資金,12226818.2800000012
真實報酬,2226818.2800000012

二次趨勢線,4.8994034641x^2 + 9449.5795016207x + 10000000.0000000000
加權每日預期報酬,11099.0453345331
風險,262769.2042009200
二次趨勢值,0.0422387599

平均每日預期報酬,42.4171768970
風險,262769.2042009200
二次趨勢值,0.0001614237

一次趨勢線,10377.4003944630x + 10000000.0000000000
每日預期報酬,10377.4003944630
風險,265084.3330491105
一次趨勢值,0.0391475433

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),9923542.7199999988,
FS(3),9788149.6200000010,
FS(4),9859828.3200000003,
FS(5),9850271.1600000001,
FS(6),9926728.4399999995,
FS(7),9980885.6799999997,
FS(8),9969735.6600000001,
FS(9),9979292.8200000003,
FS(10),9920357.0000000000,
FS(11),10111500.1999999993,
FS(12),10036635.7799999993,
FS(13),10066900.1200000010,
FS(14),10097164.4600000009,
FS(15),10049378.6600000001,
FS(16),10164064.5800000001,
FS(17),10151321.6999999993,
FS(18),10007964.2999999989,
FS(19),9944249.9000000004,
FS(20),10176807.4600000009,
FS(21),10199107.5000000000,
FS(22),10387064.9799999986,
FS(23),10203886.0800000001,
FS(24),10093978.7400000002,
FS(25),10022300.0400000010,
FS(26),10125835.9399999995,
FS(27),10074864.4199999999,
FS(28),10160878.8599999994,
FS(29),10129021.6600000001,
FS(30),10195921.7800000012,
FS(31),10235743.2800000012,
FS(32),10270786.2000000011,
FS(33),10312200.5599999987,
FS(34),10316979.1399999987,
FS(35),10332907.7400000002,
FS(36),10395029.2800000012,
FS(37),10254857.5999999996,
FS(38),10170436.0199999996,
FS(39),10191143.1999999993,
FS(40),10205478.9399999995,
FS(41),10135393.0999999996,
FS(42),10103535.9000000004,
FS(43),10141764.5400000010,
FS(44),10372729.2400000002,
FS(45),10369543.5199999996,
FS(46),10344057.7599999998,
FS(47),10387064.9799999986,
FS(48),10438036.5000000000,
FS(49),10501750.9000000004,
FS(50),10524050.9399999995,
