初始資金,10000000
最後資金,10853180.5800000001
真實報酬,853180.5800000001

二次趨勢線,15.4759333435x^2 + 14762.7937996714x + 10000000
加權每日預期報酬,16093.7240672138
風險,103118.2905867557
二次趨勢值,0.1560705087

平均每日預期報酬,246.3863979219
風險,103118.2905867557
二次趨勢值,0.0023893569

一次趨勢線,15511.3970869857x + 10000000
每日預期報酬,15511.3970869857
風險,103371.0615031693
一次趨勢值,0.1500555074

投資組合檔數,4
Stock#,AAPL,GS,MSFT,PG,
FS(1),9999999.9999999981,
FS(2),10010750.1600000001,
FS(3),10071242.4100000001,
FS(4),10115890.7799999993,
FS(5),10055432.7799999993,
FS(6),10081338.9299999978,
FS(7),10052551.1599999983,
FS(8),10087738.3300000001,
FS(9),10161620.7699999996,
FS(10),10180552.8999999985,
FS(11),10272834.1999999993,
FS(12),10232552.1899999995,
FS(13),10302589.0099999998,
FS(14),10293679.3700000010,
FS(15),10357714.4099999983,
FS(16),10449638.7400000002,
FS(17),10417420.0499999989,
FS(18),10405537.4100000001,
FS(19),10408763.3199999984,
FS(20),10361498.4000000004,
FS(21),10324686.5299999993,
FS(22),10161642.4199999999,
FS(23),10192103.9299999997,
FS(24),10216141.8199999984,
FS(25),10158233.2400000002,
FS(26),10191426.6799999997,
FS(27),10168304.2099999990,
FS(28),10246363.9399999976,
FS(29),10299488.8299999982,
FS(30),10314220.4599999990,
FS(31),10384098.0399999991,
FS(32),10422608.7099999990,
FS(33),10448688.4100000001,
FS(34),10559866.0600000005,
FS(35),10608665.5800000001,
FS(36),10591878.8699999992,
FS(37),10639873.2999999989,
FS(38),10663739.8899999987,
FS(39),10711513.8399999999,
FS(40),10679989.0899999999,
FS(41),10701221.5099999998,
FS(42),10693799.2700000014,
FS(43),10757725.3300000001,
FS(44),10764602.3399999999,
FS(45),10635218.3499999996,
FS(46),10663630.6699999999,
FS(47),10722424.6699999999,
FS(48),10730760.0999999996,
FS(49),10687163.9199999999,
FS(50),10829918.2200000007,
FS(51),10863171.6199999992,
FS(52),10876676.7799999993,
FS(53),10879783.7400000002,
FS(54),10897769.4100000001,
FS(55),10916899.0299999993,
FS(56),10979022.1099999994,
FS(57),10990490.4799999986,
FS(58),10962781.0500000007,
FS(59),10960499.0000000000,
FS(60),11033746.7200000007,
FS(61),10783483.5700000003,
FS(62),10905883.5499999989,
FS(63),10866818.4599999990,
FS(64),10853180.5800000001,
