代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10000000.0000000000
真實報酬,0.0000000000
趨勢值,nan

選擇檔數,0
找到最佳解世代,1
找到最佳解實驗,1
Stock#,
分配資金,
張數,
剩餘資金,
FS(1),10000000.0000000000,
FS(2),10000000.0000000000,
FS(3),10000000.0000000000,
FS(4),10000000.0000000000,
FS(5),10000000.0000000000,
FS(6),10000000.0000000000,
FS(7),10000000.0000000000,
FS(8),10000000.0000000000,
FS(9),10000000.0000000000,
FS(10),10000000.0000000000,
FS(11),10000000.0000000000,
FS(12),10000000.0000000000,
FS(13),10000000.0000000000,
FS(14),10000000.0000000000,
FS(15),10000000.0000000000,
FS(16),10000000.0000000000,
FS(17),10000000.0000000000,
FS(18),10000000.0000000000,
FS(19),10000000.0000000000,
