代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10248445.3300000001
真實報酬,248445.3300000001
趨勢值,0.2313485080

選擇檔數,4
找到最佳解世代,1962
找到最佳解實驗,1
Stock#,MCD,PFE,TRV,UNH,
分配資金,2500000,2500000,2500000,2500000,
張數,12875,61319,17472,10778,
剩餘資金,61.2500000002,24.3699999998,106.2399999998,42.9000000001,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2505665.0000000000,2514716.5599999996,2493360.6399999997,2505389.0000000000,10019131.1999999993,
FS(3),2543131.2500000000,2538017.7799999998,2504717.4399999995,2500000.0000000000,10085866.4700000007,
FS(4),2560898.7500000000,2553960.7199999997,2506115.1999999997,2592151.8999999999,10213126.5699999984,
FS(5),2549826.2500000000,2503679.1399999997,2476063.3599999999,2565745.7999999998,10095314.5499999989,
FS(6),2549697.5000000000,2511037.4199999999,2472918.3999999999,2577601.6000000001,10111254.9199999999,
FS(7),2545835.0000000000,2492028.5299999998,2478160.0000000000,2564883.5600000001,10080907.0899999999,
FS(8),2574932.5000000000,2496934.0499999993,2515375.3599999999,2593121.9199999999,10180363.8300000001,
FS(9),2562572.5000000000,2487736.1999999997,2505765.7599999998,2581912.7999999998,10137987.2599999998,
FS(10),2549440.0000000000,2493254.9099999992,2545951.3599999999,2548285.4399999999,10136931.7100000009,
FS(11),2563087.5000000000,2523301.2199999997,2560103.6800000002,2544513.1400000001,10191005.5399999991,
FS(12),2574932.5000000000,2553347.5299999998,2575653.7599999998,2552165.5200000000,10256099.3099999987,
FS(13),2565018.7500000000,2542923.2999999993,2577051.5200000000,2601636.5400000000,10286630.1099999994,
FS(14),2562057.5000000000,2550281.5800000001,2588932.4799999995,2651323.1200000001,10352594.6799999997,
FS(15),2573001.2500000000,2555187.0999999996,2576702.0799999996,2693896.2199999997,10398786.6500000004,
FS(16),2574546.2500000000,2574809.1799999997,2585263.3599999999,2687429.4199999999,10422048.2100000009,
FS(17),2561800.0000000000,2570516.8499999996,2567441.9199999999,2656819.8999999999,10356578.6699999999,
FS(18),2546350.0000000000,2572356.4199999999,2584913.9199999999,2668999.0400000000,10372619.3799999990,
FS(19),2532187.5000000000,2569290.4699999997,2555910.3999999999,2608965.5800000001,10266353.9499999993,
FS(20),2523818.7500000000,2558253.0499999993,2534769.2799999998,2612630.1000000001,10229471.1799999997,
FS(21),2565276.2500000000,2569290.4699999997,2546300.7999999993,2624485.8999999999,10305353.4199999999,
FS(22),2552787.5000000000,2545989.2500000000,2543505.2799999998,2606163.2999999998,10248445.3300000001,
