代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11202653.1099999994
真實報酬,1202653.1099999994
趨勢值,0.0728088965

選擇檔數,6
找到最佳解世代,2147
找到最佳解實驗,1
Stock#,INTC,JNJ,JPM,MRK,PFE,PG,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,51361,15263,27838,31036,55481,19952,
剩餘資金,1.5499999999,99.0300000000,4.9400000001,32.7999999999,16.7600000000,75.4400000000,
FS(28),1548022.0899999999,1750307.2400000000,1727074.4600000002,1697081.2799999998,1875274.5599999998,1645716.4000000001,10243480.0300000012,
FS(29),1543913.2099999997,1745728.3400000001,1720671.7200000002,1685597.9600000000,1839766.7199999997,1639132.2400000000,10174814.1899999995,
FS(30),1528504.9099999999,1743591.5200000000,1719558.2000000002,1679701.1199999996,1841431.1499999999,1644319.7599999998,10157110.6600000001,
FS(31),1536209.0599999998,1733365.3100000001,1703690.5400000003,1672252.4800000000,1841431.1499999999,1620776.4000000001,10107728.9399999995,
FS(32),1560862.3399999999,1746796.7500000000,1716496.0200000000,1696150.1999999997,1851972.5400000000,1628757.2000000000,10201039.0499999989,
FS(33),1539804.3299999998,1737486.3200000001,1716496.0200000000,1685908.3199999998,1832554.1900000002,1608605.6799999999,10120858.8599999994,
FS(34),1540317.9399999997,1733823.2000000002,1782750.4600000004,1696770.9199999999,1840321.5300000000,1593242.6399999999,10187230.6899999995,
FS(35),1521827.9799999997,1722528.5799999998,1764655.7600000002,1693977.6799999997,1851972.5400000000,1600026.3199999998,10154992.8599999994,
FS(36),1548535.6999999997,1719323.3500000001,1767996.3200000001,1710426.7599999998,1871945.7000000002,1596634.4799999997,10214866.3099999987,
FS(37),1552644.5799999998,1711997.1099999999,1766604.4200000002,1704529.9199999999,1868062.0300000000,1600225.8400000001,10204067.9000000004,
FS(38),1595274.2099999997,1720086.5000000000,1796669.4600000004,1725634.3999999999,1891918.8600000001,1615588.8799999999,10345176.3099999987,
FS(39),1612223.3399999999,1730160.0799999998,1823950.7000000000,1755739.3199999998,1905789.1100000001,1625764.4000000001,10453630.9499999993,
FS(40),1617359.4399999997,1723291.7300000002,1810310.0800000003,1750152.8399999999,1910227.5900000001,1620576.8799999999,10431922.5599999987,
FS(41),1621468.3199999998,1725733.8100000001,1821445.2800000003,1752946.0799999996,1920214.1699999999,1624766.8000000000,10466578.4599999990,
FS(42),1622495.5399999998,1720086.5000000000,1816991.2000000000,1746118.1599999997,1925207.4600000002,1616985.5200000000,10447888.3799999990,
FS(43),1626090.8099999998,1721460.1700000002,1828683.1600000001,1748290.6799999997,1927981.5100000000,1631949.5200000000,10484459.8499999996,
FS(44),1631226.9099999999,1747559.8999999999,1832023.7200000002,1763498.3199999998,1934639.2300000000,1635141.8400000001,10544093.9199999999,
FS(45),1624036.3699999999,1751680.9100000001,1799453.2600000002,1757911.8399999999,1924652.6499999999,1645516.8799999999,10503255.9100000001,
FS(46),1627118.0299999998,1767096.5400000000,1817269.5800000003,1774360.9199999999,1937968.0900000001,1651502.4799999997,10575319.6399999987,
