代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11766252.6600000001
真實報酬,1766252.6600000001
趨勢值,0.1059903477

選擇檔數,2
找到最佳解世代,2448
找到最佳解實驗,1
Stock#,TRV,WMT,
分配資金,5000000,5000000,
張數,84274,81486,
剩餘資金,23.5800000001,19.0400000000,
FS(48),5236809.9400000004,5558993.9600000000,10795803.9000000004,
FS(49),5187931.0200000005,5502768.6200000001,10690699.6400000025,
FS(50),5219955.1399999997,5518250.9600000000,10738206.0999999996,
FS(51),5195515.6799999997,5465285.0599999996,10660800.7400000002,
FS(52),5319398.4600000000,5510917.2199999997,10830315.6799999997,
FS(53),5343837.9199999999,5520695.5400000000,10864533.4600000009,
FS(54),5315184.7599999998,5550845.3600000003,10866030.1200000010,
FS(55),5347208.8799999999,5525584.7000000002,10872793.5800000019,
FS(56),5380918.4800000004,5583439.7599999998,10964358.2400000002,
FS(57),5273890.5000000000,5516621.2400000002,10790511.7400000021,
FS(58),5338781.4800000004,5484026.8399999999,10822808.3200000003,
FS(59),5237652.6799999997,5555734.5200000005,10793387.2000000011,
FS(60),5237652.6799999997,5588328.9199999999,10825981.5999999996,
FS(61),5294959.0000000000,5589143.7800000003,10884102.7800000012,
FS(62),5296644.4800000004,5565512.8399999999,10862157.3200000003,
FS(63),5380075.7400000002,5681222.9600000000,11061298.7000000011,
FS(64),5386817.6600000001,5651073.1399999997,11037890.8000000007,
FS(65),5404515.1999999993,5765153.5400000000,11169668.7400000002,
FS(66),5390188.6200000001,5792043.9199999999,11182232.5400000010,
FS(67),5331196.8200000003,5814860.0000000000,11146056.8200000003,
FS(68),5315184.7599999998,5847454.4000000004,11162639.1600000020,
FS(69),5326983.1200000001,5875974.5000000000,11202957.6200000010,
FS(70),5269676.7999999998,5888197.4000000004,11157874.2000000011,
FS(71),5245237.3399999999,5892271.7000000002,11137509.0400000010,
FS(72),5320241.2000000002,5963164.5200000005,11283405.7200000025,
FS(73),5271362.2800000003,5946867.3200000003,11218229.6000000015,
FS(74),5335410.5200000005,5956645.6399999997,11292056.1600000001,
FS(75),5393559.5800000001,5936274.1399999997,11329833.7200000007,
FS(76),5367434.6399999997,5828712.6200000001,11196147.2600000016,
FS(77),5284846.1200000001,5887382.5400000000,11172228.6600000001,
FS(78),5203100.3399999999,5854788.1399999997,11057888.4800000004,
FS(79),5131467.4400000004,5878419.0800000001,11009886.5200000014,
FS(80),5139052.0999999996,5873529.9199999999,11012582.0199999996,
FS(81),5192144.7199999997,6003092.6600000001,11195237.3800000008,
FS(82),5285688.8600000003,6072355.7599999998,11358044.6200000010,
FS(83),5326983.1200000001,6109839.3200000003,11436822.4400000013,
FS(84),5279789.6799999997,6065022.0200000005,11344811.7000000011,
FS(85),5338781.4800000004,5999018.3600000003,11337799.8400000017,
FS(86),5298329.9600000000,6034057.3399999999,11332387.3000000007,
FS(87),5369120.1200000001,6074800.3399999999,11443920.4600000009,
