代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12269694.1099999994
真實報酬,2269694.1099999994
趨勢值,0.1850746565

選擇檔數,6
找到最佳解世代,2836
找到最佳解實驗,2
Stock#,DIS,HD,NKE,PFE,V,VZ,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,16893,9639,25992,47551,14077,35340,
剩餘資金,2.6200000001,82.8999999999,58.9599999999,3.4500000001,89.9700000000,31.6000000001,
FS(13),1709743.1499999999,1733657.0499999998,1720729.3600000001,1735139.4400000002,1742822.5699999998,1718262.3999999999,10360357.9700000007,
FS(14),1704337.3900000001,1706957.0200000000,1708513.1200000001,1737041.4800000002,1745074.8899999999,1711547.8000000000,10313475.6999999993,
FS(15),1693356.9399999999,1706282.2899999998,1717870.2400000000,1741796.5800000003,1748453.3700000001,1692817.6000000001,10300581.0199999996,
FS(16),1691836.5700000003,1712547.6399999999,1738403.9199999999,1749880.2500000000,1752113.3899999999,1719676.0000000000,10364461.7699999996,
FS(17),1680180.3999999999,1699053.0399999998,1740743.2000000000,1762243.5100000002,1707207.7600000000,1755369.4000000001,10344801.3100000005,
FS(18),1708729.5700000003,1709945.1099999999,1732945.6000000001,1744174.1300000001,1706363.1399999999,1770565.6000000001,10372727.1499999985,
FS(19),1686599.7400000002,1790237.9800000000,1768814.5599999998,1752257.8000000003,1788995.1299999999,1758550.0000000000,10545459.2099999990,
FS(20),1676295.0100000002,1797370.8400000001,1808062.4800000000,1759390.4500000002,1773932.7400000000,1822515.4000000001,10637570.9200000018,
FS(21),1694877.3100000001,1781370.1000000001,1777651.8400000001,1740845.5600000001,1786179.7300000000,1744060.6000000001,10524989.1400000006,
FS(22),1690316.2000000002,1779731.4700000000,1770114.1599999999,1683308.8500000001,1795048.2400000000,1725330.4000000001,10443853.3200000003,
FS(23),1682883.2800000003,1792069.3899999999,1774272.8800000001,1659057.8400000003,1779141.2300000000,1687516.6000000001,10374945.2200000007,
FS(24),1668355.3000000003,1765851.3099999998,1738923.7600000000,1652876.2100000002,1790402.8300000001,1690697.2000000002,10307110.6099999994,
FS(25),1708729.5700000003,1783587.0699999998,1770114.1599999999,1656680.2900000003,1804198.2900000000,1703066.2000000000,10426379.5800000001,
FS(26),1731197.2600000002,1769417.7400000000,1802344.2400000000,1660959.8800000001,1819682.9899999998,1686809.8000000000,10470415.9099999983,
FS(27),1719541.0900000003,1783683.4599999997,1779471.2799999998,1663337.4299999999,1828692.2700000000,1661718.4000000001,10436447.9300000016,
FS(28),1688795.8300000001,1796406.9399999999,1766215.3600000001,1672372.1200000003,1841924.6499999999,1639100.8000000003,10404819.6999999993,
FS(29),1717682.8600000003,1804118.1399999999,1765435.6000000001,1666190.4900000002,1841924.6499999999,1668079.6000000001,10463435.3399999999,
FS(30),1724271.1299999999,1834480.9900000000,1778691.5200000003,1688063.9500000002,1855720.1099999999,1718262.3999999999,10599494.1000000015,
FS(31),1730521.5400000000,1841903.0200000000,1789348.2400000000,1705182.3100000001,1847133.1400000001,1713668.2000000002,10627760.4500000011,
FS(32),1738630.1800000002,1812022.1199999999,1806502.9600000000,1697098.6400000001,1845584.6699999999,1688930.2000000000,10588772.7699999977,
FS(33),1774443.3400000003,1796599.7200000000,1854328.2400000000,1696623.1300000001,1842628.4999999998,1691404.0000000000,10656030.9299999997,
FS(34),1762618.2400000002,1786478.7700000000,1843931.4399999999,1698049.6600000001,1829114.5800000001,1691050.6000000001,10611247.2899999991,
FS(35),1755692.1100000003,1806624.2799999998,1853808.3999999997,1694721.0900000003,1829114.5800000001,1687163.2000000002,10627127.6599999983,
FS(36),1757888.2000000002,1829468.7099999997,1855367.9199999999,1702329.2500000000,1839390.7900000000,1711547.8000000000,10695996.6699999981,
FS(37),1758057.1299999999,1801322.8299999998,1853548.4800000000,1698525.1700000002,1840094.6400000001,1724977.0000000002,10676529.2500000000,
FS(38),1738123.3900000001,1799395.0299999998,1854328.2400000000,1710412.9200000002,1856564.7300000000,1717202.2000000002,10676030.5099999998,
FS(39),1724946.8500000001,1804021.7500000000,1876161.5200000003,1706608.8400000003,1856705.4999999998,1718969.2000000002,10687417.6600000001,
FS(40),1726467.2200000002,1801130.0499999998,1877980.9600000000,1696623.1300000001,1848118.5300000000,1714728.4000000001,10665052.2900000010,
FS(41),1684065.7900000000,1783297.8999999999,1843411.6000000001,1697574.1500000004,1825736.0999999999,1703419.6000000001,10537509.1400000006,
FS(42),1688964.7600000002,1803443.4099999999,1877461.1200000001,1714217.0000000000,1839109.2499999998,1717555.6000000001,10640755.1400000006,
FS(43),1680349.3300000001,1798238.3500000001,1866284.5599999998,1708510.8800000001,1840235.4099999999,1684689.4000000001,10578311.9299999997,
FS(44),1678491.1000000001,1805949.5499999998,1891236.8800000001,1723727.2000000002,1842065.4199999999,1689637.0000000002,10631111.1500000004,
FS(45),1693356.9399999999,1844601.9399999999,1919048.3199999998,1733237.4000000004,1873316.3599999999,1689990.4000000001,10753555.3600000013,
FS(46),1688289.0400000000,1850192.5599999998,1924766.5599999998,1732761.8900000001,1880214.0900000001,1695291.4000000001,10771519.5399999991,
