代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11914871.6899999995
真實報酬,1914871.6899999995
趨勢值,0.4131687849

選擇檔數,5
找到最佳解世代,3116
找到最佳解實驗,1
Stock#,CAT,DIS,HD,NKE,WMT,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,14674,20195,12093,36317,22742,
剩餘資金,80.5400000001,89.1500000000,59.6600000001,22.8100000000,68.5200000001,
FS(1),2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,2000000.0000000000,10000000.0000000000,
FS(2),2002641.3200000001,1986267.3999999999,1967711.6900000002,2001815.8499999999,2019558.1199999999,9977994.3799999990,
FS(3),2004989.1599999999,1992123.9500000000,1988027.9299999999,2023242.8800000001,2039571.0800000001,10047955.0000000000,
FS(4),2020837.0800000001,2032513.9500000000,1985972.1200000001,2035227.4900000000,2017283.9200000002,10091834.5599999987,
FS(5),2036978.4800000000,2052103.0999999999,1979200.0400000000,2002905.3600000001,2022969.4200000002,10094156.4000000004,
FS(6),2014674.0000000000,2043419.2500000000,1983916.3100000003,2025058.7300000000,2052761.4400000002,10119829.7300000004,
FS(7),1986059.7000000002,2073711.7500000000,1974483.7700000003,2038496.0200000003,2053671.1199999999,10126422.3599999994,
FS(8),2002788.0599999998,2116121.2500000000,1984641.8900000004,2037043.3400000001,2067771.1600000001,10208365.6999999993,
FS(9),2003521.7600000000,2115313.4499999997,1999637.2100000002,2030506.2800000000,2069363.0999999999,10218341.7999999989,
FS(10),2018342.5000000000,2083607.3000000000,2032409.2400000002,2033048.4700000000,2071637.3000000000,10239044.8099999987,
FS(11),1967863.9399999999,2094108.7000000000,2001088.3700000001,2056654.5200000003,2042982.3799999999,10162697.9100000001,
FS(12),2001027.1800000002,2092291.1499999999,2025637.1600000001,2078444.7200000000,2265626.5600000001,10463026.7700000014,
FS(13),1997652.1599999999,2089059.9500000000,2028539.4800000002,2149626.0400000000,2216731.2599999998,10481608.8899999987,
FS(14),2009097.8799999999,2075125.3999999999,2061311.5100000000,2151805.0600000001,2216958.6800000002,10514298.5299999993,
FS(15),2019222.9399999999,2080174.1499999999,2090455.6400000004,2156889.4399999999,2195126.3599999999,10541868.5299999993,
FS(16),2025239.2799999998,2074923.4499999997,2080781.2400000002,2145268.0000000000,2192624.7399999998,10518836.7099999990,
FS(17),2016141.3999999999,2072903.9500000000,2084046.3500000003,2154347.2500000000,2197400.5600000001,10524839.5099999998,
FS(18),2013206.6000000001,2075933.2000000000,2106176.5400000000,2165605.5200000000,2197400.5600000001,10558322.4199999999,
FS(19),2039619.8000000003,2088454.0999999999,2135320.6699999999,2163789.6699999999,2200811.8599999999,10627996.0999999996,
FS(20),2025972.9800000000,2125410.9499999997,2143543.9100000001,2192116.9300000002,2218778.0400000000,10705822.8099999987,
FS(21),2071315.6400000001,2116929.0499999998,2174622.9199999999,2194295.9500000002,2211273.1800000002,10768436.7400000002,
FS(22),2076745.0200000003,2125612.8999999999,2181878.7200000002,2174684.7700000000,2214002.2199999997,10772923.6299999990,
FS(23),2076451.5400000000,2225982.0499999998,2236055.3600000003,2182674.5100000002,2206269.9399999999,10927433.4000000004,
