代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11313201.0399999972
真實報酬,1313201.0399999972
趨勢值,0.3594277645

選擇檔數,9
找到最佳解世代,2105
找到最佳解實驗,1
Stock#,AXP,CSCO,JNJ,KO,MSFT,PG,TRV,VZ,XOM,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,11612,25869,8697,23675,10988,12172,9466,19834,15943,
剩餘資金,74.8399999999,37.4499999999,69.2500000000,43.2500000000,4.4400000000,50.8400000000,86.5800000000,10.3199999999,43.3300000000,
FS(40),1251151.7199999997,1339275.5800000001,1188427.3299999998,1073467.7500000000,1230990.0799999998,1199601.4399999999,1258212.6399999999,1128961.5999999999,1260018.6200000001,10930107.7599999961,
FS(41),1264621.6399999999,1329962.7399999998,1203299.2000000000,1074414.7500000000,1236484.0799999998,1198262.5200000000,1259348.5599999998,1129754.9600000000,1275483.3300000001,10971632.7799999993,
FS(42),1265782.8399999999,1323495.4899999998,1204429.8099999998,1080807.0000000000,1233517.3200000001,1203496.4800000002,1251018.4800000000,1115474.4800000000,1280425.6600000001,10958448.5599999987,
FS(43),1264041.0399999998,1327117.1499999999,1206951.9400000002,1079623.2500000000,1227364.0400000000,1206174.3200000001,1256130.1199999999,1112301.0399999998,1278512.5000000000,10958216.3999999985,
FS(44),1265550.5999999999,1336688.6799999999,1209734.9800000000,1076072.0000000000,1227913.4399999999,1204226.8000000003,1247705.3799999999,1104367.4399999997,1264004.3700000001,10936264.6899999976,
FS(45),1252545.1599999999,1326858.4600000000,1202342.5300000000,1072047.2500000000,1212969.7600000000,1199601.4399999999,1244770.9199999999,1116664.5199999998,1278034.2100000000,10905835.2500000000,
FS(46),1253938.5999999999,1321167.2800000000,1200777.0700000001,1061630.2500000000,1214288.3200000001,1197897.3600000001,1240321.8999999999,1121226.3399999999,1259699.7600000002,10870947.8799999971,
FS(47),1272285.5599999998,1343155.9299999999,1205125.5700000001,1093354.7500000000,1239780.4800000000,1212138.6000000001,1248368.0000000000,1142052.0399999998,1271975.8700000001,11028237.7999999989,
FS(48),1282388.0000000000,1349105.7999999998,1210517.7100000000,1090277.0000000000,1248461.0000000000,1217859.4399999999,1256414.0999999999,1139076.9399999997,1275483.3300000001,11069584.3199999966,
FS(49),1302244.5199999998,1360488.1600000001,1212518.0200000000,1094301.7500000000,1258130.4399999999,1231613.8000000003,1259064.5799999998,1143638.7599999998,1286802.8599999999,11148803.8899999987,
FS(50),1304683.0399999998,1364368.5100000000,1200429.1900000002,1081990.7500000000,1259119.3599999999,1233317.8799999999,1259632.5399999998,1149390.6199999999,1282498.2500000000,11135431.1400000006,
FS(51),1318269.0799999998,1376268.2500000000,1196776.4500000000,1072520.7500000000,1273623.5200000000,1246950.5200000000,1270234.4600000000,1158117.5799999998,1277874.7800000003,11190636.3899999969,
FS(52),1318617.4399999997,1384287.6399999999,1193036.7400000000,1075125.0000000000,1291863.5999999999,1235630.5600000001,1277428.6199999999,1151770.7000000000,1292701.7700000000,11220463.0699999984,
FS(53),1308398.8799999999,1379113.8400000001,1204081.9299999999,1078676.2500000000,1292742.6399999999,1240377.6400000001,1258401.9600000000,1140465.3199999998,1289353.7400000002,11191613.1999999993,
FS(54),1286336.0799999998,1377820.3899999999,1194080.3799999999,1077966.0000000000,1291314.2000000000,1238186.6800000002,1243256.3599999999,1143837.0999999999,1296528.0899999999,11149326.2799999975,
FS(55),1298528.6799999997,1395411.3099999998,1201124.9500000000,1077492.5000000000,1320981.8000000000,1247559.1200000001,1272033.0000000000,1156134.1799999997,1304021.3000000003,11273287.8399999999,
FS(56),1271124.3599999999,1364368.5100000000,1190775.5200000000,1087436.0000000000,1286149.8399999999,1237456.3600000001,1277049.9800000000,1185290.1599999997,1283135.9700000002,11182787.6999999993,
FS(57),1266247.3199999998,1364109.8199999998,1188166.4200000002,1089803.5000000000,1292852.5200000000,1241107.9600000000,1277523.2799999998,1191637.0399999998,1274207.8900000001,11185656.7500000000,
FS(58),1271588.8399999999,1377044.3199999998,1205212.5400000000,1104245.2500000000,1295599.5200000000,1254010.2800000000,1277807.2599999998,1202545.7400000000,1290788.6099999999,11278843.3599999994,
FS(59),1265550.5999999999,1374716.1099999999,1206343.1499999999,1103535.0000000000,1283073.2000000000,1252549.6400000001,1290775.6799999997,1207504.2400000000,1280903.9500000002,11264952.5699999966,
FS(60),1267640.7599999998,1380407.2900000000,1207908.6099999999,1102824.7500000000,1284831.2800000000,1260461.4399999999,1295981.9800000000,1171803.0399999998,1287281.1499999999,11259141.2999999989,
FS(61),1269266.4399999997,1396704.7600000000,1215822.8799999999,1109453.7500000000,1295929.1599999999,1266547.4399999999,1298443.1399999999,1172794.7400000000,1288237.7300000000,11313201.0399999972,
