代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10801379.4099999983
真實報酬,801379.4099999983
趨勢值,0.3122942172

選擇檔數,4
找到最佳解世代,3863
找到最佳解實驗,3
Stock#,JNJ,JPM,MCD,V,
分配資金,2500000,2500000,2500000,2500000,
張數,20269,28715,17711,27394,
剩餘資金,21.5399999999,72.0999999999,92.3499999999,23.5599999999,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2507296.8400000003,2483919.6000000001,2501416.8799999999,2535064.3200000003,10027697.6400000006,
FS(3),2499797.3100000001,2498277.1000000001,2526035.1700000004,2532324.9199999999,10056434.4999999981,
FS(4),2512364.0900000003,2501148.6000000001,2540735.2999999998,2537255.8400000003,10091503.8299999982,
FS(5),2503445.7300000000,2498277.1000000001,2549767.9100000001,2522737.0200000000,10074227.7599999998,
FS(6),2498175.7900000000,2501148.6000000001,2554726.9900000002,2518080.0400000000,10072131.4199999999,
FS(7),2497365.0299999998,2491098.3500000001,2556852.3100000005,2520271.5600000001,10065587.2499999981,
FS(8),2489257.4300000002,2510624.5500000003,2559686.0700000003,2527120.0600000001,10086688.1099999994,
FS(9),2497162.3400000003,2502871.5000000000,2554195.6600000001,2523010.9600000000,10077240.4599999990,
FS(10),2506080.7000000002,2495979.9000000004,2574563.3100000005,2540269.1800000002,10116893.0899999980,
FS(11),2573981.8500000001,2508040.2000000002,2590857.4300000002,2553966.1800000002,10226845.6599999983,
FS(12),2589791.6699999999,2515793.2500000000,2608745.5400000000,2551774.6600000001,10266105.1199999992,
FS(13),2567495.7700000000,2419885.1499999999,2593159.8599999999,2513697.0000000000,10094237.7799999993,
FS(14),2573576.4700000002,2410983.5000000000,2603786.4600000000,2512327.2999999998,10100673.7299999986,
FS(15),2574184.5400000000,2434529.8000000003,2623977.0000000000,2533420.6800000002,10166112.0199999996,
FS(16),2579454.4800000000,2432232.6000000001,2624685.4399999999,2556157.7000000002,10192530.2199999988,
FS(17),2584724.4199999999,2462670.5000000005,2618132.3700000001,2571224.3999999999,10236751.6899999995,
FS(18),2584521.7300000000,2461234.7500000000,2647886.8500000001,2597248.7000000002,10290892.0299999993,
FS(19),2584927.1099999999,2450897.3500000001,2652845.9300000002,2603549.3200000003,10292219.7099999990,
FS(20),2572563.0200000000,2451184.5000000000,2654262.8100000005,2593413.5400000000,10271423.8699999992,
FS(21),2576414.1299999999,2409260.6000000001,2655502.5800000001,2594783.2400000002,10235960.5499999989,
FS(22),2599520.7900000000,2359009.3500000001,2672505.1399999997,2608754.1800000002,10239789.4599999990,
FS(23),2610263.3599999999,2385140.0000000000,2699071.6399999997,2613411.1600000001,10307886.1599999983,
FS(24),2636613.0600000005,2373079.7000000002,2722981.4900000002,2633956.6600000001,10366630.9100000001,
FS(25),2642288.3800000004,2377386.9500000002,2706156.0400000000,2644914.2599999998,10370745.6299999990,
FS(26),2651814.8100000005,2382268.5000000000,2678526.8799999999,2624094.8200000003,10336705.0099999998,
FS(27),2650193.2900000000,2409547.7500000000,2691101.6899999999,2632313.0200000000,10383155.7499999981,
FS(28),2646139.4900000002,2439411.3500000001,2682069.0800000001,2632313.0200000000,10399932.9399999995,
FS(29),2666003.1099999999,2497128.5000000000,2682954.6299999999,2590400.2000000002,10436486.4399999995,
FS(30),2671881.1200000001,2497702.8000000003,2629644.5200000000,2561362.5600000001,10360590.9999999981,
FS(31),2675934.9200000004,2506030.1499999999,2653554.3700000001,2604645.0800000001,10440164.5199999996,
FS(32),2691136.6700000004,2500861.4500000002,2668785.8300000001,2611219.6399999997,10472003.5899999999,
FS(33),2696609.2999999998,2485929.6499999999,2677464.2199999997,2579716.5400000000,10439719.7099999990,
FS(34),2723161.6899999999,2474730.8000000003,2691987.2400000002,2579716.5400000000,10469596.2699999996,
FS(35),2717486.3700000001,2529002.1499999999,2712354.8899999997,2596700.8200000003,10555544.2299999986,
FS(36),2720526.7200000002,2513208.8999999999,2728826.1200000001,2585469.2799999998,10548031.0199999996,
