代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10754117.8000000007
真實報酬,754117.8000000007
趨勢值,0.1864354287

選擇檔數,4
找到最佳解世代,2059
找到最佳解實驗,1
Stock#,KO,PG,TRV,V,
分配資金,2500000,2500000,2500000,2500000,
張數,55090,25396,18792,16725,
剩餘資金,15.7999999999,17.7600000001,100.2400000000,114.2500000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2514874.2999999998,2510920.2800000003,2483463.0400000000,2474745.2500000000,9984002.8700000010,
FS(3),2512119.7999999998,2516507.4000000004,2493610.7199999997,2474578.0000000000,9996815.9199999999,
FS(4),2503856.2999999998,2512444.0400000005,2476885.8399999999,2472236.5000000000,9965422.6800000016,
FS(5),2494491.0000000000,2502793.5600000001,2471060.3199999998,2455846.0000000000,9924190.8800000008,
FS(6),2470251.3999999999,2499238.1200000001,2462228.0800000001,2464543.0000000000,9896260.5999999996,
FS(7),2544072.0000000000,2528951.4400000004,2478201.2799999998,2520070.0000000000,10071294.7200000007,
FS(8),2536910.2999999998,2540887.5600000001,2494174.4799999995,2537798.5000000000,10109770.8399999999,
FS(9),2546275.5999999996,2569585.0400000005,2499436.2399999998,2550175.0000000000,10165471.8800000008,
FS(10),2517628.7999999998,2573140.4800000000,2500563.7599999998,2579109.2500000000,10170442.2900000010,
FS(11),2495592.7999999998,2601584.0000000000,2521610.7999999998,2600182.7500000000,10218970.3500000015,
FS(12),2501652.6999999997,2577965.7200000002,2535892.7199999997,2591820.2500000000,10207331.3900000006,
FS(13),2509916.1999999997,2587870.1600000006,2498120.7999999998,2585632.0000000000,10181539.1600000020,
FS(14),2508263.5000000000,2583298.8800000004,2468053.6000000001,2571583.0000000000,10131198.9800000004,
FS(15),2507161.6999999997,2602853.8000000003,2525181.2799999998,2605869.2500000000,10241066.0300000012,
FS(16),2530299.5000000000,2581775.1200000001,2535141.0400000000,2560210.0000000000,10207425.6600000001,
FS(17),2535808.5000000000,2589393.9199999999,2536080.6399999997,2559541.0000000000,10220824.0600000005,
FS(18),2569413.3999999999,2616313.6800000002,2536644.3999999994,2597506.7500000000,10319878.2300000004,
FS(19),2567760.6999999997,2613266.1600000006,2562389.4399999995,2579443.7500000000,10322860.0500000007,
FS(20),2566107.9999999995,2629773.5600000001,2572725.0400000000,2586970.0000000000,10355576.5999999996,
FS(21),2581533.1999999997,2642471.5600000001,2577610.9599999995,2612392.0000000000,10414007.7200000007,
FS(22),2573820.5999999996,2632059.2000000002,2593772.0800000001,2630287.7500000000,10429939.6300000008,
FS(23),2565557.0999999996,2634852.7600000002,2571033.7599999998,2638984.7500000000,10410428.3700000010,
FS(24),2544072.0000000000,2633329.0000000000,2567087.4399999995,2650357.7500000000,10394846.1900000013,
FS(25),2560598.9999999995,2626726.0400000005,2565584.0800000001,2636643.2500000000,10389552.3699999992,
FS(26),2560048.0999999996,2632313.1600000006,2563329.0400000000,2636810.5000000000,10392500.8000000007,
FS(27),2564455.2999999998,2665835.8800000004,2553557.1999999997,2638483.0000000000,10422331.3800000008,
FS(28),2571066.1000000001,2657963.1200000001,2540590.7199999997,2634134.5000000000,10403754.4400000013,
FS(29),2569413.3999999999,2657709.1600000006,2545664.5600000001,2652030.2500000000,10424817.3700000010,
FS(30),2573269.6999999997,2660248.7600000002,2561074.0000000000,2640322.7500000000,10434915.2100000009,
FS(31),2574922.3999999999,2668121.5200000005,2588134.4799999995,2670093.2500000000,10501271.6500000004,
FS(32),2589245.7999999998,2685136.8400000003,2570657.9199999995,2683473.2500000000,10528513.8100000005,
FS(33),2586491.2999999998,2702660.0800000001,2599785.5200000000,2679961.0000000000,10568897.9000000004,
FS(34),2604671.0000000000,2688184.3599999999,2553369.2799999998,2683473.2500000000,10529697.8900000006,
FS(35),2615688.9999999995,2693263.5600000001,2610872.7999999998,2678790.2500000000,10598615.6100000013,
FS(36),2611281.7999999998,2692247.7200000002,2567275.3599999999,2682804.2500000000,10553609.1300000008,
FS(37),2655904.6999999997,2619869.1200000001,2593584.1599999997,2703877.7500000000,10573235.7300000004,
FS(38),2643233.9999999995,2633329.0000000000,2615570.7999999998,2701034.5000000000,10593168.3000000007,
FS(39),2635521.3999999999,2622916.6400000001,2615758.7199999997,2693173.7500000000,10567370.5100000016,
FS(40),2658659.1999999997,2688438.3200000003,2635490.3199999998,2725118.5000000000,10707706.3400000017,
FS(41),2667473.6000000001,2661010.6400000001,2658416.5600000001,2745523.0000000000,10732423.8000000026,
FS(42),2702731.1999999997,2704183.8400000003,2701450.2399999998,2750206.0000000000,10858571.2800000012,
FS(43),2676838.8999999999,2664820.0400000005,2688859.6000000001,2722777.0000000000,10753295.5400000010,
FS(44),2665820.8999999999,2680819.5200000005,2681718.6399999997,2694846.2500000000,10723205.3100000005,
FS(45),2684000.5999999996,2694025.4400000004,2693933.4399999995,2710233.2500000000,10782192.7300000004,
FS(46),2670228.0999999996,2683867.0400000005,2695436.7999999998,2714247.2500000000,10763779.1900000013,
FS(47),2644335.7999999998,2658978.9600000004,2663114.5600000001,2679626.5000000000,10646055.8200000022,
FS(48),2636072.2999999998,2668375.4800000000,2659732.0000000000,2688825.2500000000,10653005.0299999993,
FS(49),2611281.7999999998,2647296.8000000003,2665369.6000000001,2672936.5000000000,10596884.7000000011,
FS(50),2654802.8999999999,2692247.7200000002,2705396.5600000001,2687989.0000000000,10740436.1800000016,
FS(51),2647090.2999999998,2694787.3200000003,2695060.9599999995,2631458.5000000000,10668397.0800000001,
FS(52),2682347.8999999999,2681835.3599999999,2738282.5600000001,2679626.5000000000,10782092.3200000022,
FS(53),2709342.0000000000,2709770.9600000004,2753504.0800000001,2722777.0000000000,10895394.0400000010,
FS(54),2731377.9999999995,2745579.3200000003,2770228.9599999995,2757565.0000000000,11004751.2800000012,
FS(55),2710443.7999999998,2728817.9600000004,2771732.3199999998,2744519.5000000000,10955513.5800000019,
FS(56),2691162.2999999998,2725770.4400000004,2784510.8799999994,2734150.0000000000,10935593.6199999992,
FS(57),2677389.7999999998,2701390.2800000003,2771356.4799999995,2740672.7500000000,10890809.3100000024,
FS(58),2735234.2999999998,2710278.8800000004,2780564.5600000001,2747028.2500000000,10973105.9900000021,
FS(59),2746252.2999999998,2711294.7200000002,2761396.7199999997,2701369.0000000000,10920312.7400000002,
FS(60),2733030.6999999997,2709517.0000000000,2780188.7199999997,2720268.2500000000,10943004.6699999999,
FS(61),2704934.7999999998,2652883.9199999999,2748994.0000000000,2738164.0000000000,10844976.7200000007,
FS(62),2677940.6999999997,2646027.0000000000,2726255.6799999997,2721773.5000000000,10771996.8799999990,
FS(63),2713198.2999999998,2674978.4400000004,2738658.3999999994,2722275.2500000000,10849110.3900000006,
FS(64),2706587.5000000000,2613520.1200000001,2735651.6799999997,2698358.5000000000,10754117.8000000007,
