代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11482225.5499999989
真實報酬,1482225.5499999989
趨勢值,0.5760161951

選擇檔數,8
找到最佳解世代,2016
找到最佳解實驗,1
Stock#,CAT,CSCO,CVX,DIS,HD,INTC,KO,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,10568,38699,11493,12315,8290,35622,27304,15949,
剩餘資金,16.9600000000,22.3000000001,21.3199999999,27.5000000000,33.8000000000,24.0199999999,22.8800000000,76.8699999999,
FS(11),1308652.3999999999,1258513.7800000003,1323899.9899999998,1208129.0000000000,1308278.7000000000,1318038.0199999998,1259010.3199999998,1275996.8699999999,10260519.0800000001,
FS(12),1318269.2799999998,1257352.8100000001,1337116.9399999999,1212192.9500000002,1307035.2000000000,1326231.0799999996,1255460.7999999998,1276794.3199999998,10290453.3799999990,
FS(13),1319431.7600000000,1261609.7000000002,1337461.7300000000,1221798.6499999999,1315491.0000000000,1320531.5599999998,1250000.0000000000,1283971.3699999999,10310295.7700000014,
FS(14),1318797.6799999999,1265479.6000000001,1338611.0299999998,1217857.8500000001,1319718.9000000001,1325162.4199999999,1239624.4799999997,1276156.3599999999,10301408.3200000003,
FS(15),1314993.2000000000,1291407.9299999999,1348035.2899999998,1214286.5000000000,1326185.1000000001,1324449.9799999997,1242081.8399999999,1268500.8399999999,10329940.6800000016,
FS(16),1313830.7200000000,1304952.5800000001,1356080.3899999997,1226232.0499999998,1335552.8000000000,1323737.5399999996,1247542.6399999999,1262440.2200000000,10370368.9399999995,
FS(17),1315838.6400000001,1306500.5400000000,1350678.6799999997,1214655.9500000000,1336879.2000000000,1334780.3599999996,1244266.1599999999,1266267.9800000000,10369867.5099999998,
FS(18),1315944.3199999998,1295664.8199999998,1349874.1699999999,1222168.0999999999,1334060.5999999999,1337273.8999999997,1218873.4399999999,1264673.0800000001,10338532.4300000016,
FS(19),1323447.6000000001,1290633.9500000002,1351827.9800000000,1207513.2500000000,1345998.2000000002,1347604.2799999998,1226245.5199999998,1259250.4199999999,10352521.2000000011,
FS(20),1317952.2400000000,1301469.6700000002,1350448.8199999998,1213917.0499999998,1355946.2000000000,1356509.7799999998,1228975.9199999999,1246331.7300000000,10371551.4100000001,
