代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11758936.0299999993
真實報酬,1758936.0299999993
趨勢值,0.4751373789

選擇檔數,8
找到最佳解世代,1969
找到最佳解實驗,1
Stock#,AXP,BA,HD,INTC,MSFT,UNH,WBA,WMT,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,20041,16174,18108,59438,44722,23355,30251,17424,
剩餘資金,42.8300000001,73.2800000000,4.7600000000,18.8599999999,20.1000000000,40.3999999999,28.6800000000,2.2400000001,
FS(11),1324552.5200000003,1397992.1000000001,1250362.1599999999,1270803.2999999998,1254024.9800000000,1278259.5499999998,1288116.2599999998,1263242.2400000000,10327353.1099999994,
FS(12),1318339.8100000001,1377774.6000000001,1255794.5599999998,1263670.7400000000,1256708.3000000000,1284565.3999999999,1283578.6099999999,1258886.2400000000,10299318.2600000016,
FS(13),1305313.1599999999,1383112.0200000000,1245654.0800000001,1256538.1799999999,1260286.0600000001,1288535.7500000000,1353458.4199999999,1262371.0400000000,10355268.7100000009,
FS(14),1322748.8300000001,1380847.6600000001,1247283.7999999998,1258915.7000000000,1266547.1400000001,1281762.8000000000,1392179.7000000000,1271780.0000000000,10422065.6300000008,
FS(15),1310924.6399999999,1364026.7000000000,1248551.3600000001,1250594.3799999999,1257155.5200000000,1285966.7000000000,1385826.9900000000,1274219.3599999999,10377265.6499999985,
FS(16),1327157.8500000001,1371951.9600000000,1259597.2400000000,1267831.3999999997,1263416.6000000001,1271953.7000000000,1406397.6699999999,1294256.9600000000,10462563.3800000008,
FS(17),1324752.9299999999,1372437.1799999999,1257967.5200000000,1257132.5599999998,1259391.6200000001,1281295.7000000000,1397322.3699999999,1304188.6399999999,10454488.5199999996,
FS(18),1346196.8000000000,1401065.1600000001,1268470.1599999999,1293984.1199999999,1259391.6200000001,1299746.1499999999,1439068.7500000000,1302794.7200000000,10610717.4800000004,
FS(19),1345795.9800000002,1394272.0800000001,1261226.9600000002,1297550.3999999997,1268783.2400000002,1322400.4999999998,1429085.9199999999,1302968.9600000000,10622084.0400000010,
FS(20),1352008.6899999999,1388611.1799999999,1263581.0000000000,1298144.7799999998,1279516.5200000000,1336179.9500000000,1442396.3599999999,1303840.1599999999,10664278.6400000006,
FS(21),1348000.4900000002,1378906.7800000000,1261589.1200000001,1273775.2000000000,1279516.5200000000,1377284.7499999998,1420918.1499999999,1314294.5600000001,10654285.5700000003,
FS(22),1355616.0700000001,1360144.9400000002,1286034.9199999999,1275558.3399999999,1288013.7000000002,1441978.0999999999,1431506.0000000000,1324574.7200000000,10763426.7900000010,
FS(23),1327759.0800000001,1364511.9199999999,1274083.6399999999,1251188.7600000000,1277280.4199999999,1440343.2500000000,1400649.9799999997,1324226.2400000000,10660043.2900000010,
FS(24),1337378.7600000002,1374054.5800000001,1280059.2800000000,1256538.1799999999,1279069.3000000000,1448751.0500000000,1409422.7700000000,1327711.0400000000,10712984.9600000028,
FS(25),1308720.1300000001,1393786.8600000001,1268651.2400000000,1244650.5799999998,1283541.5000000000,1450385.8999999999,1422128.1899999999,1331021.6000000001,10702886.0000000000,
FS(26),1314732.4299999999,1403167.7800000000,1289656.5200000000,1253566.2799999998,1278622.0800000001,1445481.3499999999,1441791.3399999999,1346703.2000000002,10773720.9800000004,
FS(27),1307116.8500000001,1410607.8199999998,1289294.3600000001,1292795.3599999999,1324238.5200000000,1452254.2999999998,1461454.4900000000,1361165.1200000001,10898926.8200000022,
FS(28),1310724.2300000002,1420473.9600000000,1298167.2800000000,1323108.7400000000,1354202.2600000002,1457625.9499999997,1455404.2899999998,1348097.1200000001,10967803.8300000019,
FS(29),1317538.1699999999,1431957.5000000000,1301969.9600000002,1297550.3999999997,1294274.7800000003,1470938.2999999998,1472344.8500000001,1355415.2000000002,10941989.1600000020,
FS(30),1316335.7100000002,1437780.1400000001,1333115.7200000002,1288634.7000000000,1287566.4800000000,1472106.0500000000,1475369.9500000000,1368831.6799999999,10979740.4299999997,
FS(31),1284670.9299999999,1403491.2600000000,1307945.6000000001,1270803.2999999998,1283094.2800000003,1438474.8500000001,1470832.2999999998,1367263.5200000000,10826576.0399999991,
FS(32),1294491.0200000003,1405432.1400000001,1312110.4399999999,1302899.8200000001,1295616.4399999999,1466967.9500000000,1484142.7400000000,1370922.5600000001,10932583.1100000013,
FS(33),1285272.1599999999,1402197.3400000001,1318267.1599999999,1303494.2000000000,1289355.3600000001,1448751.0500000000,1468714.7299999997,1367960.4800000000,10884012.4800000004,
FS(34),1303509.4700000002,1392978.1600000001,1312472.6000000001,1321919.9799999997,1287566.4800000000,1394100.3499999999,1473554.8899999999,1344438.0799999998,10830540.0099999998,
FS(35),1347599.6699999999,1422738.3199999998,1339996.7600000000,1333807.5799999998,1331394.0400000000,1402274.5999999999,1492915.5300000000,1364127.2000000002,11034853.7000000011,
FS(36),1335975.8899999999,1406240.8400000001,1337461.6399999999,1359960.2999999998,1378799.3600000001,1383123.4999999998,1504108.3999999999,1358551.5200000000,11064221.4499999993,
FS(37),1351808.2800000000,1426296.6000000001,1328769.7999999998,1389679.2999999998,1368513.3000000000,1367242.0999999999,1501083.2999999998,1378066.4000000001,11111459.0800000001,
FS(38),1351207.0500000000,1469157.7000000000,1326959.0000000000,1406321.9399999999,1420390.8200000001,1373080.8499999999,1483840.2299999997,1359596.9600000000,11190554.5500000007,
FS(39),1365436.1599999999,1482743.8600000001,1328588.7200000002,1389679.2999999998,1428440.7800000003,1385926.1000000001,1503503.3800000001,1370399.8400000001,11254718.1399999987,
FS(40),1357820.5800000001,1501829.1799999999,1328226.5599999998,1390868.0599999998,1421732.4800000000,1389195.7999999998,1490495.4500000000,1377195.2000000002,11257363.3100000005,
FS(41),1355415.6599999999,1486463.8800000001,1334021.1200000001,1412265.7400000000,1458404.5200000000,1401573.9500000000,1495033.1000000001,1365869.6000000001,11309047.5700000003,
FS(42),1371047.6399999999,1478538.6199999999,1328226.5599999998,1423558.9599999997,1480318.3000000000,1399705.5499999998,1497755.6899999999,1354195.5200000000,11333346.8399999999,
FS(43),1368442.3100000001,1474818.6000000001,1317542.8400000001,1425936.4799999997,1463323.9399999999,1394800.9999999998,1480512.6199999999,1360119.6799999999,11285497.4699999988,
FS(44),1390487.4099999999,1491477.8199999998,1327864.3999999999,1433069.0399999998,1483001.6199999999,1389195.7999999998,1478697.5600000001,1367089.2799999998,11360882.9299999997,
FS(45),1407522.2600000002,1516224.0400000000,1339272.4399999999,1424153.3399999999,1497759.8800000001,1376117.0000000000,1452681.7000000000,1380854.2400000000,11394584.9000000004,
FS(46),1404115.2900000000,1523502.3400000001,1362812.8400000001,1421181.4399999999,1509387.6000000001,1406011.3999999999,1447236.5200000000,1373536.1599999999,11447783.5900000017,
FS(47),1407722.6699999999,1533206.7400000002,1359372.3199999998,1435446.5599999998,1489709.9200000002,1413017.8999999999,1488075.3699999999,1373536.1599999999,11500087.6399999987,
FS(48),1409125.5400000000,1521076.2400000002,1365710.1200000001,1441390.3599999999,1475398.8800000001,1459961.4500000000,1485957.7999999998,1363430.2400000000,11522050.6300000008,
FS(49),1407121.4399999999,1530295.4199999999,1373858.7200000002,1447928.5399999998,1460640.6199999999,1448283.9500000000,1446328.9900000000,1366043.8400000001,11480501.5199999996,
FS(50),1404516.1100000001,1524311.0400000000,1376393.8400000001,1456249.8599999999,1461982.2800000000,1469303.4499999997,1473857.3999999999,1374581.6000000001,11541195.5800000001,
FS(51),1398704.2200000002,1532721.5200000000,1388345.1200000001,1431285.8999999997,1477187.7600000002,1457158.8499999999,1484445.2500000000,1367786.2400000000,11537634.8600000013,
FS(52),1433174.7400000002,1554556.4199999999,1400115.3199999998,1417020.7799999998,1499548.7600000002,1441744.5499999998,1500175.7700000000,1372664.9600000000,11619001.3000000007,
FS(53),1458626.8100000001,1569274.7600000000,1410255.7999999998,1438418.4599999997,1513859.8000000000,1438941.9500000000,1513486.2100000000,1391482.8799999999,11734346.6699999999,
FS(54),1447604.2600000002,1562158.2000000000,1389793.7600000000,1422964.5799999998,1524145.8600000001,1451320.0999999999,1485655.2899999998,1367786.2400000000,11651428.2899999991,
FS(55),1469448.9500000000,1600005.3600000001,1391785.6399999999,1428908.3799999999,1559476.2400000000,1467668.6000000001,1500780.7899999998,1356809.1200000001,11774883.0800000001,
FS(56),1491093.2300000002,1596770.5600000001,1389974.8400000001,1431285.8999999997,1568867.8600000001,1461129.2000000000,1505015.9299999999,1348619.8400000001,11792757.3600000013,
FS(57),1505322.3400000001,1597255.7800000000,1425285.4399999999,1435446.5599999998,1558581.8000000000,1468369.2499999998,1515906.2899999998,1348445.6000000001,11854613.0599999987,
FS(58),1491894.8700000001,1583993.1000000001,1443031.2800000000,1430691.5199999998,1547848.5200000000,1454589.8000000000,1516813.8200000001,1342172.9600000000,11811035.8700000010,
FS(59),1496905.1200000001,1613429.7800000000,1428907.0400000000,1429502.7600000000,1527276.4000000001,1456458.2000000000,1524679.0799999998,1329976.1599999999,11807134.5400000010,
FS(60),1508528.8999999999,1617473.2800000000,1430355.6799999999,1421775.8200000001,1532643.0400000003,1449451.7000000000,1535871.9500000000,1347051.6799999999,11843152.0499999989,
FS(61),1526365.3899999999,1619252.4199999999,1445385.3199999998,1431285.8999999997,1566184.5400000003,1479346.1000000001,1519536.4099999999,1347225.9199999999,11934582.0000000000,
FS(62),1519751.8600000001,1602754.9400000002,1439409.6799999999,1442579.1199999999,1559923.4600000002,1479579.6499999999,1498663.2200000000,1328233.7600000000,11870895.6899999995,
FS(63),1525964.5700000001,1626207.2400000002,1438504.2800000000,1439012.8399999999,1566631.7600000002,1510174.6999999997,1482630.1899999999,1317779.3599999999,11906904.9399999995,
FS(64),1517346.9399999999,1601622.7600000000,1424380.0400000000,1443173.5000000000,1560817.9000000001,1462764.0500000000,1444816.4399999999,1304014.4000000001,11758936.0299999993,
