代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10979955.4899999984
真實報酬,979955.4899999984
趨勢值,0.2780513793

選擇檔數,6
找到最佳解世代,1593
找到最佳解實驗,1
Stock#,CVX,INTC,KO,MCD,UNH,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,14996,69589,44802,17917,23560,22937,
剩餘資金,10.5600000000,9.4500000000,31.5999999999,26.6600000001,31.6000000001,63.5800000001,
FS(37),1765189.7200000000,1766178.2699999998,1729836.8199999998,1717191.9400000002,1921114.0000000002,1748551.0900000001,10648065.8399999999,
FS(38),1764589.8800000001,1761307.0399999998,1739245.2399999998,1722925.3800000001,1908862.8000000000,1746486.7600000000,10643421.0999999978,
FS(39),1777036.5600000001,1782879.6300000001,1745069.5000000000,1742275.7400000000,1922998.8000000003,1743504.9500000002,10713769.1799999997,
FS(40),1783184.9199999999,1796101.5399999998,1732076.9199999997,1756430.1700000002,1931716.0000000000,1753138.4900000002,10752652.0399999991,
FS(41),1784534.5600000001,1808627.5599999998,1720876.4199999997,1754100.9600000002,1928182.0000000002,1760937.0700000001,10757262.5699999984,
FS(42),1789783.1599999999,1801668.6599999999,1717292.2599999998,1748546.6900000002,1922763.2000000002,1770341.2400000002,10750399.2099999990,
FS(43),1785134.4000000001,1837854.9399999999,1705643.7399999998,1749800.8800000001,1937841.6000000001,1776763.5999999999,10793043.1599999983,
FS(44),1781535.3600000001,1820457.6899999999,1712364.0399999998,1753563.4500000002,1920878.4000000001,1773323.0500000000,10762125.9900000002,
FS(45),1759641.2000000002,1843422.0599999998,1730284.8399999999,1738154.8300000003,1910276.4000000001,1773323.0500000000,10755106.3800000008,
FS(46),1766539.3600000001,1872649.4399999999,1742829.3999999999,1757326.0200000000,1900381.2000000000,1793278.2400000002,10833007.6600000001,
FS(47),1786034.1599999999,1877520.6699999999,1746861.5799999998,1762163.6100000001,1917580.0000000000,1788461.4700000000,10878625.4900000002,
FS(48),1749893.8000000000,1839246.7200000000,1742381.3799999999,1781513.9700000002,1884596.0000000000,1763689.5100000000,10761325.3799999990,
FS(49),1754992.4400000002,1821849.4700000000,1730732.8599999999,1779005.5900000003,1860093.6000000001,1754744.0800000001,10701422.0399999991,
FS(50),1780035.7600000000,1848293.2899999998,1735213.0599999998,1793697.5300000000,1865512.4000000001,1774928.6399999999,10797684.6799999997,
