代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11308666.8000000007
真實報酬,1308666.8000000007
趨勢值,0.1183111868

選擇檔數,2
找到最佳解世代,2324
找到最佳解實驗,1
Stock#,MCD,VZ,
分配資金,5000000,5000000,
張數,75346,196540,
剩餘資金,39.4400000000,22.3999999997,
FS(1),5000000.0000000000,5000000.0000000000,10000000.0000000000,
FS(2),5106237.8600000003,5068788.9999999991,10175026.8599999994,
FS(3),5112265.5400000000,5078615.9999999991,10190881.5399999991,
FS(4),5025617.6400000006,5000000.0000000000,10025617.6400000006,
FS(5),5029384.9400000004,4976415.1999999993,10005800.1400000006,
FS(6),5152198.9199999999,5086477.5999999996,10238676.5199999996,
FS(7),5143157.4000000004,5104166.1999999993,10247323.5999999996,
FS(8),5226791.4600000009,5208332.3999999994,10435123.8599999994,
FS(9),5239600.2800000012,5247640.3999999994,10487240.6799999997,
FS(10),5221517.2400000002,5261398.1999999993,10482915.4399999995,
FS(11),5304397.8400000008,5349841.1999999993,10654239.0399999991,
FS(12),5296109.7800000012,5361633.5999999996,10657743.3800000008,
FS(13),5278026.7400000002,5345910.3999999994,10623937.1399999987,
FS(14),5265217.9199999999,5351806.5999999996,10617024.5199999996,
FS(15),5268231.7600000007,5340014.2000000002,10608245.9600000009,
FS(16),5171788.8800000008,5340014.2000000002,10511803.0800000001,
FS(17),5171035.4199999999,5389149.2000000002,10560184.6199999992,
FS(18),5103224.0200000005,5322325.5999999987,10425549.6199999992,
FS(19),5079866.7600000007,5245675.0000000000,10325541.7599999998,
FS(20),5073085.6200000001,5275155.9999999991,10348241.6199999992,
FS(21),5007534.5999999996,5259432.7999999998,10266967.3999999985,
FS(22),4963080.4600000009,5149370.3999999994,10112450.8599999994,
FS(23),5026371.0999999996,5169024.3999999994,10195395.5000000000,
FS(24),4983423.8800000008,5269259.7999999989,10252683.6799999997,
FS(25),4981163.5000000000,5229951.7999999989,10211115.2999999989,
FS(26),5071578.7000000002,5212263.1999999993,10283841.9000000004,
FS(27),5200420.3600000003,5263363.5999999996,10463783.9600000009,
FS(28),5215489.5600000005,5237813.3999999994,10453302.9599999990,
FS(29),5269738.6800000006,5206366.9999999991,10476105.6799999997,
FS(30),5337550.0800000010,5284983.0000000000,10622533.0800000001,
FS(31),5342070.8400000008,5275155.9999999991,10617226.8399999999,
FS(32),5374469.6200000001,5267294.3999999994,10641764.0199999996,
FS(33),5269738.6800000006,5245675.0000000000,10515413.6799999997,
FS(34),5267478.2999999998,5251571.1999999993,10519049.4999999981,
FS(35),5339810.4600000009,5241744.2000000002,10581554.6600000001,
FS(36),5282547.5000000000,5212263.1999999993,10494810.6999999993,
FS(37),5379743.8400000008,5306602.3999999994,10686346.2400000002,
FS(38),5266724.8400000008,5507073.1999999993,10773798.0400000010,
FS(39),5339810.4600000009,5558173.5999999996,10897984.0600000005,
FS(40),5304397.8400000008,5619100.9999999991,10923498.8399999999,
FS(41),5256929.8600000003,5681993.7999999998,10938923.6600000001,
FS(42),5227544.9199999999,5676097.5999999996,10903642.5199999996,
FS(43),5253916.0200000005,5711474.7999999989,10965390.8200000003,
FS(44),5293095.9400000004,5809744.7999999989,11102840.7400000002,
FS(45),5308165.1400000006,5805813.9999999991,11113979.1400000006,
FS(46),5326248.1800000006,5778298.3999999994,11104546.5800000001,
FS(47),5308165.1400000006,5807779.3999999994,11115944.5400000010,
FS(48),5405361.4800000004,5807779.3999999994,11213140.8800000008,
FS(49),5494269.7600000007,5868706.7999999989,11362976.5600000005,
FS(50),5488242.0800000010,5900153.1999999993,11388395.2800000012,
FS(51),5392552.6600000001,5809744.7999999989,11202297.4599999990,
FS(52),5429472.2000000002,5959115.1999999993,11388587.4000000004,
FS(53),5416663.3800000008,5902118.5999999996,11318781.9800000004,
FS(54),5409128.7800000012,5888360.7999999998,11297489.5800000001,
FS(55),5516873.5600000005,5929634.2000000002,11446507.7599999998,
FS(56),5519133.9400000004,5925703.3999999994,11444837.3399999999,
FS(57),5498037.0600000005,5821537.1999999993,11319574.2599999998,
FS(58),5506325.1200000001,5772402.1999999993,11278727.3200000003,
FS(59),5525915.0800000010,5780263.7999999998,11306178.8800000008,
FS(60),5479200.5600000005,5792056.1999999993,11271256.7599999998,
FS(61),5514613.1800000006,5829398.7999999998,11344011.9800000004,
FS(62),5512352.7999999998,5797952.3999999994,11310305.1999999993,
FS(63),5574889.9800000004,5864775.9999999991,11439665.9800000004,
FS(64),5480707.4800000004,5786160.0000000000,11266867.4800000004,
FS(65),5504818.2000000002,5803848.5999999996,11308666.8000000007,
