代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10981055.7000000011
真實報酬,981055.7000000011
趨勢值,0.1582083656

選擇檔數,3
找到最佳解世代,2094
找到最佳解實驗,1
Stock#,CVX,MCD,PFE,
分配資金,3333333,3333333,3333333,
張數,34642,45369,173430,
剩餘資金,79.7600000000,72.5700000001,8.4000000002,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3342339.9200000004,3341045.7300000000,3288241.2000000007,9971627.8500000015,
FS(3),3371092.7800000003,3349665.8399999999,3324661.5000000005,10045421.1200000010,
FS(4),3364164.3800000004,3359647.0199999996,3347207.4000000004,10071019.8000000007,
FS(5),3383217.4800000000,3332425.6200000001,3302115.6000000001,10017759.6999999993,
FS(6),3385988.8399999999,3419080.4099999997,3322927.2000000002,10127997.4500000011,
FS(7),3334025.8399999999,3444940.7400000002,3303849.9000000004,10082817.4800000004,
FS(8),3349961.1600000001,3437228.0100000002,3300381.3000000007,10087571.4700000007,
FS(9),3341300.6600000001,3454468.2300000000,3265695.3000000003,10061465.1899999995,
FS(10),3358621.6600000001,3459005.1299999994,3303849.9000000004,10121477.6900000013,
FS(11),3337490.0400000005,3454921.9199999999,3303849.9000000004,10096262.8600000013,
FS(12),3348575.4800000000,3449023.9499999997,3343738.8000000007,10141339.2300000004,
FS(13),3366242.9000000004,3447209.1899999999,3359347.5000000005,10172800.5900000017,
FS(14),3419938.0000000000,3454014.5399999996,3328130.1000000006,10202083.6400000006,
FS(15),3475365.2000000002,3434505.8700000001,3276101.1000000006,10185973.1699999999,
FS(16),3542917.1000000001,3411367.6799999997,3253555.2000000007,10207840.9800000004,
FS(17),3534603.0200000005,3412275.0599999996,3277835.3999999999,10224714.4800000004,
FS(18),3537027.9600000000,3377340.9299999997,3270898.2000000002,10185268.0899999999,
FS(19),3594187.2600000002,3433598.4900000002,3336801.6000000001,10364588.3499999996,
FS(20),3564741.5600000005,3397756.9800000000,3319458.6000000006,10281958.1400000006,
FS(21),3584487.5000000000,3388683.1799999997,3328130.1000000006,10301301.7800000012,
FS(22),3609429.7400000002,3459005.1299999994,3428719.5000000005,10497155.3700000010,
FS(23),3594187.2600000002,3449477.6399999997,3409642.2000000002,10453308.1000000015,
FS(24),3568552.1800000006,3461273.5800000001,3400970.7000000002,10430797.4600000009,
FS(25),3594880.1000000001,3427246.8300000001,3413110.8000000003,10435238.7300000004,
FS(26),3538413.6400000001,3438135.3899999997,3409642.2000000002,10386192.2300000004,
FS(27),3432409.1200000001,3478967.4900000002,3357613.2000000002,10268990.8100000005,
FS(28),3461854.8200000003,3481235.9399999999,3376690.5000000000,10319782.2600000016,
FS(29),3491993.3600000003,3433144.7999999998,3435656.7000000002,10360795.8599999994,
FS(30),3506889.4200000004,3408191.8500000001,3426985.2000000007,10342067.4700000007,
FS(31),3447305.1800000006,3329249.7899999996,3347207.4000000004,10123763.3700000010,
FS(32),3541877.8399999999,3330157.1699999999,3447796.8000000003,10319832.8100000005,
FS(33),3561277.3600000003,3311555.8799999994,3499825.8000000003,10372660.0400000010,
FS(34),3644071.7400000002,3346490.0100000002,3465139.8000000003,10455702.5500000007,
FS(35),3645457.4200000004,3351480.6000000001,3458202.6000000006,10455141.6200000010,
FS(36),3654117.9200000004,3381424.1399999997,3454734.0000000005,10490277.0600000005,
FS(37),3650653.7200000002,3399571.7400000002,3520637.4000000004,10570863.8600000013,
FS(38),3699152.5200000005,3414089.8199999998,3529308.9000000008,10642552.2400000002,
FS(39),3673517.4400000004,3402747.5699999998,3515434.5000000005,10591700.5099999998,
FS(40),3719591.3000000003,3419534.1000000001,3534511.8000000003,10673638.2000000011,
FS(41),3741762.1800000006,3439496.4600000000,3527574.6000000006,10708834.2400000002,
FS(42),3723748.3399999999,3452199.7799999998,3522371.7000000002,10698320.8200000003,
FS(43),3752501.2000000002,3447662.8799999994,3534511.8000000003,10734676.8800000008,
FS(44),3749383.4200000004,3465810.4800000000,3562260.6000000001,10777455.5000000000,
FS(45),3787489.6200000001,3475337.9699999997,3546651.9000000004,10809480.4900000002,
