代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11049916.6600000001
真實報酬,1049916.6600000001
趨勢值,0.1491154754

選擇檔數,3
找到最佳解世代,1439
找到最佳解實驗,1
Stock#,JNJ,PFE,WMT,
分配資金,3333333,3333333,3333333,
張數,29563,101626,49316,
剩餘資金,104.7500000000,0.2000000003,64.5599999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3331559.2199999997,3424796.4000000004,3304236.5600000001,10060593.1799999997,
FS(3),3317664.6099999999,3394308.6000000001,3313606.6000000001,10025580.8099999987,
FS(4),3337176.1899999999,3411585.0200000000,3314592.9199999999,10063355.1299999990,
FS(5),3333037.3699999996,3412601.2799999998,3365881.5600000001,10111521.2099999990,
FS(6),3362009.1099999999,3436991.5200000000,3400402.7600000002,10199404.3899999987,
FS(7),3390093.9600000000,3434959.0000000000,3392512.2000000002,10217566.1600000001,
FS(8),3381225.0600000001,3369918.3599999999,3275140.1200000001,10026284.5399999991,
FS(9),3377086.2400000002,3372967.1400000001,3296839.1599999997,10046893.5399999991,
FS(10),3357279.0300000003,3372967.1400000001,3202645.6000000001,9932892.7699999996,
FS(11),3383294.4699999997,3392276.0800000005,3255906.8799999999,10031478.4299999997,
FS(12),3365261.0400000000,3356706.9800000004,3210536.1599999997,9932505.1799999997,
FS(13),3358165.9199999999,3370934.6200000006,3114369.9600000000,9843471.5000000000,
FS(14),3336289.2999999998,3392276.0800000005,3412731.7600000002,10141298.1399999987,
FS(15),3330081.0699999998,3428861.4400000004,3445280.3199999998,10204223.8300000001,
FS(16),3315890.8300000001,3421747.6200000006,3427526.5600000001,10165166.0099999998,
FS(17),3331559.2199999997,3465446.8000000003,3464020.3999999999,10261027.4199999999,
FS(18),3351070.7999999998,3490853.3000000003,3475856.2400000002,10317781.3399999999,
FS(19),3337767.4500000002,3498983.3800000004,3494103.1599999997,10330854.9900000002,
FS(20),3342497.5300000003,3517276.0600000001,3489171.5600000001,10348946.1500000004,
FS(21),3331559.2199999997,3526422.4000000004,3490651.0400000000,10348633.6600000001,
FS(22),3334219.8900000001,3531503.7000000002,3476842.5600000001,10342567.1500000004,
FS(23),3384772.6199999996,3543698.8199999998,3499034.7600000002,10427507.1999999993,
FS(24),3392754.6300000004,3525406.1400000001,3495089.4800000004,10413251.2500000000,
FS(25),3422613.2599999998,3549796.3800000004,3503966.3599999999,10476377.0000000000,
FS(26),3421430.7400000002,3540650.0400000005,3502980.0400000000,10465061.8200000003,
FS(27),3423500.1499999999,3582316.7000000002,3515309.0400000000,10521126.8900000006,
FS(28),3458975.7500000000,3588414.2600000002,3505939.0000000000,10553330.0099999998,
FS(29),3459271.3800000004,3586381.7400000002,3508404.8000000003,10554058.9199999999,
FS(30),3452767.5200000000,3530487.4400000004,3478322.0400000000,10461578.0000000000,
FS(31),3462523.3100000001,3555893.9400000004,3499034.7600000002,10517453.0099999998,
FS(32),3441533.5800000001,3535568.7400000002,3507418.4800000004,10484521.8000000007,
FS(33),3448333.0699999998,3531503.7000000002,3516295.3599999999,10496133.1300000008,
FS(34),3414039.9900000002,3477641.9199999999,3499034.7600000002,10390717.6699999999,
FS(35),3445376.7700000000,3506097.2000000002,3506432.1599999997,10457907.1299999990,
FS(36),3434734.0900000003,3531503.7000000002,3524185.9199999999,10490424.7099999990,
FS(37),3443011.7300000000,3503048.4199999999,3538487.5600000001,10484548.7099999990,
FS(38),3470209.6899999999,3515243.5400000005,3555748.1599999997,10541202.3900000006,
FS(39),3418474.4399999999,3452235.4199999999,3548843.9199999999,10419554.7799999993,
FS(40),3445672.3999999999,3434959.0000000000,3526158.5600000001,10406790.9599999990,
FS(41),3495338.2400000002,3499999.6400000001,3526651.7200000002,10521990.5999999996,
FS(42),3527857.5400000000,3557926.4600000000,3573501.9199999999,10659286.9199999999,
FS(43),3586096.6499999999,3578251.6600000001,3601118.8799999999,10765468.1899999995,
FS(44),3585801.0200000000,3614837.0200000000,3590762.5200000000,10791401.5600000005,
FS(45),3614772.7599999998,3639227.2600000002,3607036.8000000003,10861037.8200000003,
FS(46),3625711.0699999998,3644308.5600000001,3640571.6799999997,10910592.3099999987,
FS(47),3621867.8800000004,3635162.2200000007,3626270.0400000000,10883301.1400000006,
FS(48),3631919.2999999998,3670731.3199999998,3641558.0000000000,10944209.6199999992,
FS(49),3634284.3400000003,3673780.1000000001,3652407.5200000000,10960472.9600000009,
FS(50),3633988.7100000000,3682926.4400000004,3613447.8799999999,10930364.0299999993,
