代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11055670.5999999996
真實報酬,1055670.5999999996
趨勢值,0.1969009426

選擇檔數,5
找到最佳解世代,2171
找到最佳解實驗,1
Stock#,DIS,KO,MCD,PFE,TRV,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,17776,42808,10616,46685,14490,
剩餘資金,22.2399999999,10.2400000000,51.7600000001,14.5999999998,90.1999999999,
FS(28),2374718.0799999996,2029109.4399999999,2099153.4399999999,1897293.0000000000,2055206.9000000001,10455480.8599999975,
FS(29),2382717.2799999998,2062927.7600000000,2123145.6000000006,1901027.7999999998,2086070.6000000001,10555889.0399999991,
FS(30),2334722.0799999996,2056934.6399999999,2112954.2400000002,1894025.0499999998,2078101.0999999999,10476737.1099999994,
FS(31),2367785.4399999995,2084331.7600000000,2102125.9199999999,1898226.6999999997,2111428.0999999996,10563897.9199999999,
FS(32),2394093.9199999999,2105307.6800000002,2113378.8800000004,1921102.3499999999,2123165.0000000000,10657047.8300000001,
FS(33),2408670.2399999998,2122430.8800000004,2123145.6000000006,1943978.0000000000,2136061.0999999996,10734285.8199999984,
FS(34),2400493.2799999998,2106163.8400000003,2114971.2800000003,1936041.5499999998,2137220.2999999998,10694890.2499999981,
FS(35),2380406.3999999999,2091181.0400000000,2112529.6000000006,1941643.7500000000,2147073.4999999995,10672834.2899999991,
FS(36),2383606.0799999996,2080479.0400000000,2121553.2000000002,1945378.5500000000,2136930.4999999995,10667947.3699999992,
FS(37),2379339.8399999999,2125427.4399999999,2122827.1200000001,1960317.7500000000,2144030.5999999996,10731942.7500000000,
FS(38),2359430.7199999997,2133989.0400000005,2112317.2800000003,1957049.8000000000,2129250.7999999998,10692037.6399999987,
FS(39),2360497.2799999998,2123715.1200000001,2099578.0800000005,1958450.3500000001,2143740.7999999998,10685981.6299999990,
FS(40),2357475.3599999999,2101883.0400000005,2087900.4800000002,1956116.0999999999,2119687.3999999999,10623062.3799999971,
FS(41),2338810.5599999996,2080907.1199999999,2081000.0800000003,1947712.7999999998,2102154.4999999995,10550585.0600000005,
FS(42),2350009.4399999995,2108304.2400000002,2115183.6000000006,1956116.0999999999,2111717.8999999994,10641331.2799999975,
FS(43),2347165.2799999998,2103167.2800000003,2104886.0800000005,1938375.8000000000,2109399.4999999995,10602993.9399999995,
FS(44),2354808.9600000000,2139554.0800000001,2110300.2400000002,1957049.8000000000,2127077.2999999998,10688790.3799999990,
FS(45),2396582.5599999996,2140410.2400000002,2119323.8400000003,1971522.1499999997,2138089.6999999997,10765928.4900000002,
FS(46),2416491.6799999997,2173800.4800000004,2124631.8400000003,1983193.3999999997,2171416.6999999997,10869534.0999999996,
FS(47),2439067.1999999997,2200341.4399999999,2155630.5600000005,1993930.9500000000,2159100.1999999997,10948070.3499999996,
FS(48),2453821.2799999998,2204194.1600000001,2181427.4399999999,2003734.8000000000,2166779.8999999999,11009957.5799999982,
FS(49),2436578.5599999996,2199485.2800000003,2137052.5600000005,2010737.5499999998,2163736.9999999995,10947590.9499999993,
FS(50),2401204.3199999998,2197344.8800000004,2157859.9199999999,1992063.5500000000,2161853.2999999998,10910325.9699999988,
FS(51),2412580.9600000000,2210615.3600000003,2175588.6400000001,2011204.3999999997,2169677.8999999994,10979667.2599999979,
FS(52),2519592.4800000000,2188783.2800000003,2170917.6000000006,1984127.0999999999,2165041.0999999996,11028461.5600000005,
FS(53),2517992.6399999997,2196488.7200000002,2179410.4000000004,1996265.1999999997,2175184.1000000001,11065341.0599999987,
FS(54),2505904.9600000000,2177653.2000000002,2163698.7200000002,2001867.3999999999,2172430.9999999995,11021555.2799999993,
FS(55),2475152.4800000000,2167807.3600000003,2171129.9199999999,2010737.5499999998,2178371.8999999999,11003199.2099999990,
FS(56),2505016.1599999997,2188355.2000000002,2171554.5600000005,2030812.0999999999,2196774.1999999997,11092512.2199999988,
FS(57),2524569.7599999998,2211471.5200000000,2177605.6800000002,2035480.5999999999,2205323.2999999998,11154450.8599999994,
FS(58),2492750.7199999997,2206762.6400000001,2168475.9199999999,2038748.5500000000,2195035.3999999994,11101773.2299999986,
FS(59),2474796.9600000000,2222601.6000000001,2164866.4800000000,2042950.1999999997,2202860.0000000000,11108075.2400000002,
FS(60),2487595.6799999997,2215752.3200000003,2183869.1200000001,2042950.1999999997,2218943.8999999994,11149111.2199999988,
FS(61),2495772.6399999997,2188355.2000000002,2171554.5600000005,2007002.7500000000,2154753.1999999997,11017438.3499999978,
FS(62),2476219.0400000000,2186642.8800000004,2189814.0800000005,2027544.1499999999,2161998.1999999997,11042218.3499999996,
FS(63),2482262.8799999994,2179793.6000000001,2204570.3200000003,2022408.7999999998,2166635.0000000000,11055670.5999999996,
