代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11067535.9199999999
真實報酬,1067535.9199999999
趨勢值,0.1677639519

選擇檔數,5
找到最佳解世代,2498
找到最佳解實驗,1
Stock#,AAPL,BA,DD,MSFT,UNH,
分配資金,2000000,2000000,2000000,2000000,2000000,
張數,30656,18744,39674,63151,27337,
剩餘資金,2.5600000002,15.1999999999,33.6600000001,7.8299999999,25.0800000001,
FS(42),2087982.7200000000,2202435.1999999997,2169804.7200000002,2101673.1100000003,1957627.6500000001,10519523.4000000004,
FS(43),2137032.3199999998,2207121.1999999997,2164647.1000000001,2120618.4100000001,1984144.5400000000,10613563.5699999984,
FS(44),2144083.2000000002,2208808.1599999997,2186467.8000000003,2142089.7500000000,1983871.1699999999,10665320.0800000001,
FS(45),2117105.9199999999,2160073.7599999998,2190435.2000000002,2138300.6899999999,1982504.3200000001,10588419.8900000006,
FS(46),2115266.5600000001,2196812.0000000000,2259467.9600000004,2139563.7100000004,1995352.7100000000,10706462.9399999995,
FS(47),2136112.6400000001,2187252.5599999996,2223364.6200000001,2102936.1299999999,1972936.3700000001,10622602.3200000022,
FS(48),2106376.3199999998,2163822.5599999996,2176549.3000000003,2084622.3399999996,1954073.8400000001,10485444.3599999994,
FS(49),2130901.1200000001,2145640.8799999999,2199163.4800000000,2088411.3999999999,1951340.1399999999,10515457.0200000014,
FS(50),2144389.7600000002,2228676.7999999998,2282478.8800000004,2131985.5899999999,2022416.3400000001,10809947.3700000010,
FS(51),2158184.9600000004,2211432.3199999998,2320565.9200000004,2155351.4600000004,2030344.0700000001,10875878.7300000004,
FS(52),2172286.7200000002,2239173.4399999995,2306283.2800000003,2175559.7800000003,2042645.7200000000,10935948.9400000013,
FS(53),2183936.0000000000,2215181.1199999996,2284462.5800000001,2178085.8200000003,2019409.2700000003,10881074.7899999991,
FS(54),2194665.6000000001,2255668.1599999997,2323739.8400000003,2187558.4700000002,2055494.1100000001,11017126.1799999997,
FS(55),2209380.4800000000,2292218.9600000000,2338419.2200000002,2205240.7500000000,1951066.7700000003,10996326.1799999997,
FS(56),2228693.7600000002,2296530.0799999996,2334055.0800000001,2207766.7900000000,1879717.2000000002,10946762.9100000020,
FS(57),2283261.4400000004,2276848.8799999999,2336832.2600000002,2209661.3200000003,1864408.4800000002,10971012.3800000008,
FS(58),2276823.6799999997,2295780.3199999998,2347544.2400000002,2183769.4100000001,1882450.9000000001,10986368.5499999989,
FS(59),2298896.0000000000,2418366.0800000001,2318582.2200000002,2131985.5899999999,1859214.4500000002,11027044.3400000017,
FS(60),2329552.0000000000,2417616.3199999994,2295174.5600000001,2129459.5499999998,1848279.6500000001,11020082.0800000001,
FS(61),2303494.3999999999,2459040.5599999996,2232886.3800000004,2256393.0600000001,1848553.0200000003,11100367.4199999999,
FS(62),2320661.7600000002,2434485.9199999995,2209875.4600000004,2246288.8999999999,1829963.8600000001,11041275.8999999985,
FS(63),2262721.9199999999,2430362.2399999998,2229315.7200000002,2243131.3500000001,1861128.0400000000,11026659.2699999977,
FS(64),2298896.0000000000,2430737.1199999996,2218207.0000000000,2244394.3700000001,1859214.4500000002,11051448.9400000013,
FS(65),2289086.0800000001,2446107.1999999997,2230109.2000000002,2236184.7399999998,1866048.7000000002,11067535.9199999999,
