代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10896215.2799999993
真實報酬,896215.2799999993
趨勢值,0.3308904653

選擇檔數,7
找到最佳解世代,2354
找到最佳解實驗,1
Stock#,AAPL,CSCO,CVX,DIS,INTC,MCD,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,16906,62084,11434,17955,54010,14149,30253,
剩餘資金,14.0000000000,18.1599999999,7.0400000000,71.2000000000,6.5000000000,87.9600000001,24.3400000000,
FS(13),1460185.2200000000,1511763.5600000001,1405817.3400000001,1455323.9500000000,1406426.8999999999,1444559.3700000003,1486959.2900000000,10171038.6299999990,
FS(14),1460523.3400000001,1497484.2400000000,1400672.0400000000,1456042.1499999999,1406426.8999999999,1436635.9300000002,1471832.7900000000,10129620.3899999987,
FS(15),1464411.7200000000,1519834.4800000000,1419652.4800000000,1475792.6499999999,1415068.5000000000,1451209.4000000001,1487564.3500000001,10233536.5800000001,
FS(16),1466609.5000000000,1513626.0799999998,1413592.4600000000,1478665.4500000000,1412368.0000000000,1449653.0100000002,1496035.1900000002,10230552.6899999995,
FS(17),1483177.3800000001,1522317.8399999999,1410619.6200000001,1496081.7999999998,1419929.3999999999,1443285.9600000002,1504808.5600000001,10280223.5600000005,
FS(18),1511072.2800000000,1534113.8000000000,1404559.6000000001,1503622.8999999999,1442613.6000000001,1448379.6000000001,1501178.2000000000,10345542.9799999986,
FS(19),1507014.8400000001,1540943.0400000000,1400900.7200000000,1501109.2000000000,1451795.3000000000,1433381.6600000001,1504808.5600000001,10339956.3200000003,
FS(20),1534571.6199999999,1532251.2799999998,1398613.9199999999,1508829.8499999999,1456116.1000000001,1433947.6200000003,1504203.5000000000,10368536.8899999987,
FS(21),1528823.5800000001,1528526.2400000000,1403987.9000000001,1508470.7500000000,1475559.7000000000,1435221.0300000003,1511464.2200000002,10392056.4199999999,
FS(22),1518341.8600000001,1538459.6799999999,1397356.1799999999,1513139.0499999998,1472319.1000000001,1443710.4300000002,1514186.9900000000,10397516.2899999991,
FS(23),1539812.4800000000,1532251.2799999998,1401243.7400000000,1506136.5999999999,1493923.1000000001,1435504.0100000002,1491194.7100000000,10400068.9199999981,
FS(24),1557394.7200000000,1521076.1599999999,1398956.9399999999,1512600.3999999999,1490682.5000000000,1449511.5200000003,1486959.2900000000,10417184.5299999993,
FS(25),1563480.8800000001,1533492.9600000000,1412334.7200000000,1522296.0999999999,1493923.1000000001,1449653.0100000002,1490892.1800000002,10466075.9499999993,
FS(26),1559085.3200000001,1541563.8799999999,1419995.5000000000,1519243.7500000000,1521468.2000000002,1442720.0000000000,1495127.6000000001,10499207.2499999981,
FS(27),1584106.2000000000,1539701.3599999999,1422053.6200000001,1534864.6000000001,1507425.6000000001,1434513.5800000001,1499665.5500000000,10522333.5099999998,
FS(28),1593404.5000000000,1552118.1599999999,1433144.6000000001,1521757.4500000000,1525248.8999999999,1427439.0800000001,1498152.9000000001,10551268.5899999999,
FS(29),1586811.1599999999,1554601.5199999998,1431315.1600000001,1513857.2500000000,1508505.8000000000,1420930.5400000003,1493614.9500000000,10509639.3799999971,
FS(30),1560268.7400000000,1531009.5999999999,1441948.7800000000,1486745.2000000000,1510126.1000000001,1411592.2000000002,1483631.4600000000,10425325.0799999982,
FS(31),1543193.6799999999,1533492.9600000000,1455097.8800000001,1486745.2000000000,1613285.2000000000,1421920.9700000002,1487866.8800000001,10541605.7699999996,
FS(32),1558747.2000000000,1522938.6799999999,1469733.3999999999,1495722.7000000000,1620846.6000000001,1430551.8600000001,1491799.7700000003,10590343.2099999990,
FS(33),1556718.4800000000,1521076.1599999999,1473049.2600000002,1493209.0000000000,1617606.0000000000,1432957.1900000002,1488774.4700000002,10583393.5600000005,
FS(34),1558409.0800000001,1529147.0799999998,1489628.5600000001,1500750.0999999999,1616525.8000000000,1434089.1100000001,1495127.6000000001,10623680.3299999982,
FS(35),1552999.1599999999,1534113.8000000000,1509180.7000000002,1504161.5499999998,1625167.3999999999,1442012.5500000000,1496640.2500000000,10664278.4100000001,
FS(36),1536938.4600000000,1541563.8799999999,1513182.6000000001,1487104.2999999998,1631108.5000000000,1442154.0400000003,1494220.0100000000,10646274.7899999972,
FS(37),1535585.9800000000,1533492.9600000000,1520500.3599999999,1486027.0000000000,1632728.8000000000,1442012.5500000000,1504506.0300000000,10654856.6799999978,
FS(38),1526287.6799999999,1522938.6799999999,1506665.2200000002,1484590.6000000001,1647311.5000000000,1435786.9900000002,1490892.1800000002,10614475.8499999996,
FS(39),1527640.1599999999,1534734.6399999999,1500490.8599999999,1506495.7000000000,1667835.3000000000,1437767.8500000001,1494825.0700000001,10669792.5800000001,
FS(40),1536769.4000000001,1530388.7599999998,1496946.3199999998,1516370.9500000000,1662434.3000000000,1436352.9500000002,1488774.4700000002,10668040.1500000004,
FS(41),1555027.8800000001,1533492.9600000000,1490543.2800000003,1531632.7000000000,1670535.8000000000,1435645.5000000000,1492102.3000000000,10708983.4199999999,
FS(42),1571088.5800000001,1542805.5600000001,1492715.7400000002,1539532.8999999999,1668915.5000000000,1425458.2200000002,1480303.6300000001,10720823.1299999990,
FS(43),1581063.1199999999,1557084.8799999999,1492601.3999999999,1552640.0500000000,1673236.3000000000,1429136.9600000002,1493614.9500000000,10779380.6599999983,
FS(44),1580386.8800000001,1553980.6799999999,1489056.8599999999,1552101.3999999999,1673236.3000000000,1422486.9300000002,1502388.3200000001,10773640.3700000010,
FS(45),1589685.1799999999,1563914.1200000001,1500033.5000000000,1559283.3999999999,1681877.9000000001,1428853.9800000002,1503900.9700000002,10827552.0500000007,
FS(46),1622482.8200000001,1566397.4800000000,1491801.0200000000,1554794.6499999999,1675936.8000000000,1417393.2900000003,1505111.0900000001,10833920.1499999985,
FS(47),1612001.0999999999,1556464.0400000000,1485283.6400000001,1541687.5000000000,1662974.3999999999,1416261.3700000003,1475160.6200000001,10749835.6699999981,
FS(48),1612677.3400000001,1579435.1200000001,1502320.2999999998,1566106.3000000000,1668375.4000000001,1430127.3900000001,1479396.0400000000,10838440.8899999987,
FS(49),1606760.2400000000,1579435.1200000001,1489285.5400000000,1559642.5000000000,1688359.1000000001,1423194.3800000001,1501783.2600000000,10848463.1399999987,
