代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11498736.2100000009
真實報酬,1498736.2100000009
趨勢值,0.4052734171

選擇檔數,7
找到最佳解世代,2329
找到最佳解實驗,1
Stock#,AAPL,HD,IBM,MCD,MSFT,PFE,TRV,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,25777,36313,7540,14958,56509,71321,25955,
剩餘資金,9.6600000000,17.5799999999,118.0000000001,82.0000000000,23.4799999999,11.3699999999,7.8000000000,
FS(47),1755423.3599999999,1640275.7899999998,1454961.0000000000,1496629.8999999999,1732589.4199999999,1498465.5800000001,1553414.5500000000,11131762.6000000015,
FS(48),1815999.3100000001,1643907.0899999999,1456318.2000000000,1495732.4199999999,1738805.4099999999,1507737.3099999998,1554452.7500000000,11212955.4900000002,
FS(49),1817030.3899999999,1646085.8699999999,1450964.7999999998,1487954.2600000000,1723547.9800000000,1501318.4199999999,1541215.7000000002,11168120.4200000018,
FS(50),1850798.2599999998,1667873.6699999999,1452472.8000000000,1490646.7000000002,1728068.7000000000,1519148.6699999999,1531093.2500000000,11240105.0500000007,
FS(51),1876059.7200000000,1672594.3599999999,1449456.8000000000,1489150.8999999999,1709420.7300000000,1521288.2999999998,1535505.5999999999,11253479.4100000020,
FS(52),1832754.3599999999,1659884.8099999998,1449683.0000000000,1475090.3799999999,1698118.9299999999,1505597.6799999999,1538879.7500000000,11160011.9100000001,
FS(53),1849251.6399999999,1667873.6699999999,1455488.8000000000,1484813.0800000001,1768190.0899999999,1521288.2999999998,1542773.0000000000,11289681.5800000001,
FS(54),1848993.8700000001,1696197.8099999998,1458504.7999999998,1495732.4199999999,1765929.7300000000,1511303.3599999999,1553414.5500000000,11330079.5400000010,
FS(55),1895908.0099999998,1703823.5399999998,1458278.5999999999,1503211.4199999999,1776666.4399999999,1513442.9899999998,1538360.6500000001,11389694.6500000004,
FS(56),1889205.9900000000,1691113.9899999998,1461897.8000000000,1505754.2800000000,1767059.9099999999,1523427.9299999999,1529795.5000000000,11368258.4000000004,
FS(57),1901578.9499999997,1704912.9299999999,1490097.4000000001,1507997.9800000000,1772710.8100000001,1499892.0000000000,1530314.6000000001,11407507.6700000018,
FS(58),1923747.1699999997,1706002.3199999998,1491228.3999999999,1500668.5599999998,1778926.8000000000,1510590.1499999999,1520970.8000000000,11432137.1999999993,
FS(59),1936120.1299999999,1704186.6699999999,1489494.2000000000,1501266.8799999999,1771580.6300000001,1516295.8300000001,1520970.8000000000,11439918.1400000006,
FS(60),1971692.3899999999,1715080.5699999998,1492887.2000000000,1492591.2400000000,1800965.3100000001,1513442.9899999998,1515779.8000000000,11502442.5000000000,
FS(61),1997469.3899999999,1727426.9899999998,1483462.2000000000,1485112.2400000000,1793619.1399999999,1507024.0999999999,1504619.1499999999,11498736.2100000009,
