代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11573460.8399999999
真實報酬,1573460.8399999999
趨勢值,0.2517279006

選擇檔數,6
找到最佳解世代,1961
找到最佳解實驗,1
Stock#,AAPL,CSCO,MRK,PFE,WBA,WMT,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,20796,104427,44826,77017,55685,25425,
剩餘資金,74.5600000000,11.0799999999,35.3200000000,18.1200000000,13.9500000000,57.2500000001,
FS(28),1795809.1599999999,1710525.3399999999,1847314.7800000000,1720577.8999999999,1667222.8500000001,1837267.7500000002,10578721.7799999993,
FS(29),1779380.3200000001,1668754.5399999998,1923518.9800000000,1745993.5100000000,1676132.4500000000,1838539.0000000000,10632322.8000000007,
FS(30),1797264.8800000001,1703215.4499999997,1948621.5400000000,1756775.8899999997,1702861.2499999998,1860658.7500000002,10769401.7599999998,
FS(31),1803087.7600000000,1690684.2100000000,1943242.4200000002,1781421.3299999998,1698406.4500000000,1855573.7500000000,10772419.9199999999,
FS(32),1803295.7200000000,1694861.2899999998,1980896.2600000000,1819159.6599999999,1709543.4500000000,1858624.7499999998,10866385.1299999990,
FS(33),1801216.1200000001,1743941.9799999997,1969689.7600000000,1823010.5100000000,1724578.3999999999,1852268.4999999998,10914709.2699999996,
FS(34),1825131.5200000003,1741853.4399999997,1969689.7600000000,1833022.7200000000,1927828.6499999999,1818707.5000000000,11116237.5899999980,
FS(35),1795393.2400000000,1708436.7999999998,1945931.9800000000,1825321.0199999998,1926714.9500000000,1837013.5000000000,11038815.4900000002,
FS(36),1793937.5200000003,1678152.9700000000,1939656.3400000003,1817619.3200000001,1888849.1500000001,1826843.4999999998,10945062.7999999989,
FS(37),1785411.1599999999,1578947.3199999998,1913657.2600000000,1800675.5799999998,1899429.2999999998,1834216.7500000000,10812341.3699999992,
FS(38),1708258.0000000000,1610275.4199999999,1910519.4399999999,1796824.7299999997,1929499.2000000000,1832691.2500000000,10788072.0399999972,
FS(39),1708050.0400000000,1606098.3399999999,1942345.8999999999,1809147.4499999997,1947318.3999999999,1873117.0000000000,10886081.1299999990,
FS(40),1738412.2000000002,1638470.7099999997,2021687.9200000002,1835333.2299999997,1989082.1499999999,1894728.2500000000,11117718.4599999990,
FS(41),1767734.5600000001,1657267.5699999998,1993895.7999999998,1826091.1899999999,2019708.9000000001,1906423.7500000000,11171125.7699999996,
FS(42),1814525.5600000001,1665621.7299999997,1979999.7400000002,1851506.7999999998,2024720.5499999998,1892440.0000000002,11228818.3799999990,
FS(43),1802879.8000000000,1668754.5399999998,1984930.6000000001,1843805.1000000001,2019708.9000000001,1871845.7500000000,11191928.6899999995,
FS(44),1805791.2400000000,1643692.0599999998,1968344.9800000000,1842264.7600000000,1990752.7000000000,1882778.5000000000,11133628.2400000002,
FS(45),1829290.7200000000,1707392.5300000000,1979103.2200000000,1869990.8799999999,1993536.9499999997,1895491.0000000000,11274809.2999999989,
FS(46),1849670.8000000000,1742897.7100000000,1994344.0600000001,1868450.5400000000,1992980.0999999999,1888626.2500000000,11336973.4599999990,
FS(47),1844679.7600000000,1789889.8599999999,1972379.3200000001,1828401.6999999997,2006344.5000000000,1881252.9999999998,11322952.1400000006,
FS(48),1841560.3600000001,1791978.3999999999,1975068.8800000001,1835333.2299999997,2018038.3500000001,1889389.0000000000,11351372.2199999988,
FS(49),1844263.8400000001,1848368.9799999997,1984930.6000000001,1838413.9099999999,2009685.6000000001,1877693.4999999998,11403360.4299999997,
FS(50),1846967.3200000001,1831660.6599999997,1997930.1400000001,1843805.1000000001,2014140.4000000001,1873371.2500000002,11407878.8699999992,
FS(51),1871714.5600000001,1810775.2599999998,1991206.2400000002,1826861.3599999999,2003003.3999999999,1866252.2500000002,11369817.0700000003,
FS(52),1876705.5999999999,1793022.6699999999,1990757.9800000000,1846885.7800000000,1988525.3000000000,1881761.5000000002,11377662.8300000001,
FS(53),1874210.0800000001,1811819.5300000000,1975068.8800000001,1851506.7999999998,1980172.5500000000,1892948.5000000000,11385730.3399999999,
FS(54),1890638.9199999999,1986212.6199999999,1969689.7600000000,1849966.4599999997,1977945.1500000001,1834471.0000000002,11508927.9099999983,
