代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10875083.5099999998
真實報酬,875083.5099999998
趨勢值,0.1414032965

選擇檔數,3
找到最佳解世代,2266
找到最佳解實驗,1
Stock#,KO,TRV,WMT,
分配資金,3333333,3333333,3333333,
張數,95785,57058,56670,
剩餘資金,15.0000000003,4.6399999999,3.6000000000,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3313218.1500000008,3309939.2200000002,3344100.2999999998,9967258.6699999999,
FS(3),3316091.7000000002,3337897.6400000001,3366201.6000000001,10020191.9399999995,
FS(4),3293103.3000000007,3251740.0600000001,3341833.5000000000,9886677.8600000013,
FS(5),3295019.0000000005,3244893.1000000001,3392269.8000000003,9932182.9000000004,
FS(6),3318007.4000000004,3258016.4400000004,3387169.5000000005,9963194.3399999999,
FS(7),3329501.6000000001,3287116.0200000000,3404737.2000000002,10021355.8200000003,
FS(8),3360152.8000000003,3287116.0200000000,3438739.2000000002,10086009.0199999996,
FS(9),3364942.0500000007,3332762.4199999999,3456873.6000000001,10154579.0700000003,
FS(10),3363026.3500000006,3363573.7400000002,3461407.2000000002,10188008.2900000010,
FS(11),3368773.4500000007,3370991.2800000003,3469907.6999999997,10209673.4299999997,
FS(12),3360152.8000000003,3377838.2400000002,3447806.4000000004,10185798.4400000013,
FS(13),3371647.0000000009,3373273.6000000001,3442139.4000000004,10187061.0000000000,
FS(14),3381225.5000000000,3375555.9199999999,3434205.6000000001,10190988.0199999996,
FS(15),3406129.6000000006,3338468.2200000002,3431938.8000000003,10176537.6199999992,
FS(16),3420497.3500000006,3307656.8999999999,3437039.1000000001,10165194.3499999996,
FS(17),3423370.9000000008,3320780.2400000002,3442706.1000000001,10186858.2400000002,
FS(18),3443485.7500000009,3357867.9400000004,3468207.6000000001,10269562.2900000010,
FS(19),3442527.9000000004,3336756.4800000000,3461973.9000000004,10241259.2799999993,
FS(20),3479884.0500000003,3353303.3000000003,3467640.8999999999,10300829.2500000000,
FS(21),3535439.3500000001,3346456.3399999999,3446673.0000000000,10328569.6899999995,
FS(22),3545017.8500000001,3377838.2400000002,3468207.6000000001,10391064.6900000013,
FS(23),3550764.9500000007,3385255.7800000003,3477274.8000000003,10413296.5299999993,
FS(24),3532565.8000000007,3382402.8800000004,3437039.1000000001,10352008.7799999993,
FS(25),3518198.0500000003,3378979.3999999999,3414937.7999999998,10312116.2500000000,
FS(26),3519155.9000000008,3359579.6800000002,3438172.5000000000,10316909.0800000001,
FS(27),3490420.4000000004,3312221.5400000000,3407570.7000000002,10210213.6400000006,
FS(28),3449232.8500000001,3295104.1400000001,3396236.7000000002,10140574.6899999995,
FS(29),3454022.1000000006,3319068.5000000000,3388869.6000000001,10161961.1999999993,
FS(30),3458811.3500000006,3372132.4400000004,3408137.3999999999,10239082.1900000013,
FS(31),3445401.4500000002,3316215.6000000001,3387169.5000000005,10148787.5499999989,
FS(32),3469347.7000000002,3375555.9199999999,3433072.2000000002,10277976.8200000003,
FS(33),3542144.3000000003,3422914.0600000001,3506176.5000000000,10471235.8599999994,
FS(34),3552680.6500000008,3393243.8999999999,3516943.8000000003,10462869.3499999996,
FS(35),3535439.3500000001,3520483.2400000002,3499376.1000000001,10555299.6899999995,
FS(36),3550764.9500000007,3580394.1400000001,3539045.1000000001,10670205.1900000013,
FS(37),3529692.2500000005,3589523.4199999999,3374135.3999999999,10493352.0700000003,
FS(38),3549807.1000000006,3615770.1000000001,3273829.5000000005,10439407.6999999993,
FS(39),3589078.9500000002,3639163.8800000004,3250594.8000000003,10478838.6299999990,
FS(40),3625477.2500000005,3695651.2999999998,3340700.1000000001,10661829.6500000004,
FS(41),3670496.2000000007,3652287.2200000002,3345233.7000000002,10668018.1200000010,
FS(42),3655170.6000000001,3669975.1999999997,3338433.2999999998,10663580.0999999996,
FS(43),3684863.9500000002,3685951.4399999999,3347500.5000000000,10718316.8899999987,
FS(44),3695400.3000000003,3693939.5600000001,3344100.2999999998,10733441.1600000001,
FS(45),3708810.2000000002,3694510.1400000001,3342966.9000000004,10746288.2400000002,
FS(46),3687737.5000000005,3680245.6400000001,3326532.6000000001,10694516.7400000002,
FS(47),3701147.4000000004,3685380.8600000003,3354300.8999999999,10740830.1600000001,
FS(48),3694442.4500000007,3673969.2600000002,3346367.1000000001,10714779.8100000005,
FS(49),3677201.1500000004,3647152.0000000000,3345233.7000000002,10669587.8499999996,
FS(50),3707852.3500000006,3688233.7600000002,3354300.8999999999,10750388.0099999998,
FS(51),3710725.9000000008,3687092.6000000006,3367335.0000000000,10765154.5000000000,
FS(52),3681990.4000000004,3679104.4800000004,3347500.5000000000,10708596.3800000008,
FS(53),3666664.8000000007,3660275.3400000003,3363368.1000000001,10690309.2400000021,
FS(54),3656128.4500000007,3629464.0200000000,3354300.8999999999,10639894.3700000010,
FS(55),3597699.6000000006,3577541.2400000002,3495409.2000000002,10670651.0400000010,
FS(56),3546933.5500000007,3547871.0800000001,3537911.7000000002,10632717.3300000001,
FS(57),3568964.1000000001,3577541.2400000002,3572480.3999999999,10718986.7400000002,
FS(58),3553638.5000000005,3584388.2000000002,3611582.6999999997,10749610.4000000004,
FS(59),3553638.5000000005,3584388.2000000002,3611582.6999999997,10749610.4000000004,
FS(60),3618772.3000000007,3605499.6600000001,3687520.4999999995,10911793.4600000009,
FS(61),3603446.7000000002,3571835.4400000004,3701121.3000000003,10876404.4399999995,
FS(62),3613983.0500000003,3587811.6800000002,3722089.2000000007,10923884.9299999997,
FS(63),3594826.0500000007,3531324.2600000002,3708488.3999999999,10834639.7100000009,
FS(64),3579500.4500000002,3565559.0600000001,3730022.9999999995,10875083.5099999998,
