代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12059450.1099999994
真實報酬,2059450.1099999994
趨勢值,0.3875880262

選擇檔數,4
找到最佳解世代,2822
找到最佳解實驗,1
Stock#,CAT,CSCO,DIS,MCD,
分配資金,2500000,2500000,2500000,2500000,
張數,47223,109986,84688,39129,
剩餘資金,14.3800000001,18.2200000000,10.2400000000,48.1900000000,
FS(1),2500000.0000000000,2500000.0000000000,2500000.0000000000,2500000.0000000000,10000000.0000000000,
FS(2),2528806.0299999998,2531895.9399999995,2538956.4800000004,2505478.0600000001,10105136.5099999998,
FS(3),2521250.3500000001,2537395.2399999998,2604166.2400000002,2551650.2799999998,10214462.1099999994,
FS(4),2427276.5799999996,2547293.9800000000,2512703.2000000002,2506651.9300000002,9993925.6899999995,
FS(5),2443804.6299999999,2606686.4199999995,2501693.7600000002,2479652.9199999999,10031837.7299999986,
FS(6),2397998.3199999998,2584689.2199999997,2496612.4800000004,2462044.8700000001,9941344.8899999987,
FS(7),2527861.5699999998,2627583.7599999998,2527100.1600000001,2487478.7199999997,10170024.2099999990,
FS(8),2509916.8299999996,2613285.5800000001,2543190.8800000004,2474957.4399999999,10141350.7299999986,
FS(9),2651585.8299999996,2631983.1999999997,2554200.3200000003,2496087.1000000001,10333856.4499999993,
FS(10),2653946.9800000000,2613285.5800000001,2546578.4000000004,2488261.3000000003,10302072.2599999998,
FS(11),2697392.1399999997,2639682.2199999997,2580453.6000000001,2504695.4800000000,10422223.4399999995,
FS(12),2715336.8799999999,2647381.2399999998,2613481.9200000004,2514477.7300000000,10490677.7699999996,
FS(13),2729976.0099999998,2670478.2999999998,2627032.0000000000,2523086.1099999999,10550572.4199999999,
FS(14),2750754.1299999999,2679277.1799999997,2644816.4800000004,2533259.6499999999,10608107.4399999995,
FS(15),2740365.0699999998,2672678.0200000000,2635500.8000000003,2534433.5200000000,10582977.4100000001,
FS(16),2675669.5599999996,2645181.5200000000,2618563.2000000002,2538346.4199999999,10477760.6999999993,
FS(17),2689836.4600000000,2677077.4599999995,2658366.5600000001,2553606.7300000000,10578887.2100000009,
FS(18),2681808.5499999998,2675977.5999999996,2655825.9200000004,2519173.2100000000,10532785.2799999993,
FS(19),2694086.5299999998,2675977.5999999996,2645663.3599999999,2498434.8399999999,10514162.3299999982,
FS(20),2731864.9300000002,2705673.8199999998,2671069.7600000002,2503521.6099999999,10612130.1199999992,
FS(21),2746031.8299999996,2706773.6799999997,2699863.6800000002,2507043.2199999997,10659712.4099999983,
FS(22),2765865.4899999998,2732070.4599999995,2679538.5600000001,2489826.4600000000,10667300.9699999988,
FS(23),2760198.7300000000,2744168.9199999995,2758298.4000000004,2482000.6600000001,10744666.7099999990,
FS(24),2797032.6699999999,2772765.2799999998,2813345.6000000001,2491391.6200000001,10874535.1699999999,
FS(25),2781921.3099999996,2873952.3999999994,2810804.9600000000,2548128.6699999999,11014807.3399999999,
FS(26),2794671.5200000000,2873952.3999999994,2820967.5200000005,2547346.0899999999,11036937.5299999993,
FS(27),2775782.3199999998,2845356.0400000000,2822661.2800000003,2541085.4499999997,10984885.0899999980,
FS(28),2781449.0799999996,2856354.6399999997,2863311.5200000005,2551650.2799999998,11052765.5199999977,
FS(29),2850394.6599999997,2846455.8999999994,2853148.9600000000,2564171.5600000001,11114171.0799999982,
FS(30),2808366.1899999999,2868453.0999999996,2855689.6000000001,2579823.1600000001,11112332.0499999989,
FS(31),2807421.7300000000,2876152.1199999996,2858230.2400000002,2585301.2199999997,11127105.3099999987,
FS(32),2843783.4399999999,2888250.5800000001,2858230.2400000002,2597431.2100000000,11187695.4699999988,
FS(33),2822533.0899999999,2897049.4599999995,2860770.8800000004,2609169.9100000001,11189523.3399999999,
FS(34),2803643.8899999997,2876152.1199999996,2848914.5600000001,2603300.5600000001,11132011.1299999971,
FS(35),2831033.2300000000,2890450.2999999998,2875167.8400000003,2622082.4800000000,11218733.8500000015,
FS(36),2947201.8099999996,2930045.2599999998,2880249.1200000001,2635386.3399999999,11392882.5299999993,
FS(37),2930673.7599999998,2909147.9199999995,2912430.5600000001,2613865.3899999997,11366117.6299999990,
FS(38),2934451.6000000001,2906948.1999999997,2971712.1600000006,2617778.2900000000,11430890.2500000000,
FS(39),2948618.5000000000,2911347.6399999997,2990343.5200000005,2631864.7300000000,11482174.3900000006,
FS(40),2997730.4199999999,2915747.0800000001,2977640.3199999998,2624430.2199999997,11515548.0399999991,
FS(41),2982619.0599999996,2931145.1199999996,2972559.0400000005,2631082.1499999999,11517405.3699999973,
FS(42),2967979.9300000002,2862953.7999999998,2956468.3199999998,2610735.0699999998,11398137.1200000010,
FS(43),3021814.1499999999,2840956.5999999996,3010668.6400000001,2644386.0099999998,11517825.3999999985,
FS(44),3069037.1499999994,2878351.8399999999,2982721.6000000001,2661994.0600000001,11592104.6499999985,
FS(45),3083204.0500000003,2883851.1399999997,3003893.6000000001,2653385.6800000002,11624334.4699999988,
FS(46),3044481.1899999999,2897049.4599999995,2991190.4000000004,2649081.4900000002,11581802.5399999991,
FS(47),3044953.4199999999,2890450.2999999998,3020831.2000000002,2690558.2300000000,11646793.1500000004,
FS(48),3082259.5899999999,2925645.8199999998,3067409.6000000001,2687427.9100000001,11762742.9199999999,
FS(49),3151205.1699999999,2917946.7999999998,3039462.5600000001,2681558.5600000001,11790173.0899999980,
FS(50),3125704.7500000000,2908048.0600000001,3035228.1600000006,2696818.8700000001,11765799.8399999999,
FS(51),3177177.8199999998,2956441.8999999994,3065715.8400000003,2716383.3700000001,11915718.9299999997,
FS(52),3221567.4399999999,2992737.2799999998,3082653.4399999999,2706209.8299999996,12003167.9900000002,
FS(53),3158288.6199999996,2967440.5000000000,3034381.2800000003,2701123.0600000001,11861233.4599999972,
FS(54),3163483.1499999994,2977339.2399999998,3063175.2000000002,2735947.8700000001,11939945.4599999990,
FS(55),3187566.8799999999,2989437.6999999997,3094509.7600000002,2752382.0500000003,12023896.3899999987,
FS(56),3199372.6299999999,2996036.8599999994,3096203.5200000005,2753164.6299999999,12044777.6399999987,
FS(57),3188039.1100000003,3004835.7399999998,3114834.8800000004,2779381.0600000001,12087090.7899999991,
FS(58),3248012.3199999998,3021333.6399999997,3115681.7600000002,2784076.5400000000,12169104.2599999979,
FS(59),3383542.3300000001,3032332.2399999998,3136853.7600000002,2778989.7700000000,12331718.0999999996,
FS(60),3236206.5699999998,2970740.0800000001,3075878.4000000004,2759816.5600000001,12042641.6099999975,
FS(61),3256984.6899999999,2974039.6599999997,3073337.7600000002,2752382.0500000003,12056744.1599999983,
FS(62),3341041.6299999999,3027932.7999999998,3152097.6000000001,2798554.2700000000,12319626.2999999989,
FS(63),3215428.4500000002,2961941.1999999997,3119916.1600000006,2762164.3000000003,12059450.1099999994,
