代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11112980.5599999987
真實報酬,1112980.5599999987
趨勢值,0.1516736586

選擇檔數,3
找到最佳解世代,2196
找到最佳解實驗,1
Stock#,AAPL,KO,VZ,
分配資金,3333333,3333333,3333333,
張數,15992,64065,60320,
剩餘資金,120.4399999999,31.0499999999,49.8000000001,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,9999999.9999999981,
FS(2),3262808.2800000003,3352552.4999999995,3353238.6000000006,9968600.3799999990,
FS(3),3092013.7200000002,3308988.2999999998,3330920.2000000002,9731923.2199999988,
FS(4),3150544.4399999999,3348708.6000000001,3320665.8000000003,9819919.8399999980,
FS(5),3183168.1199999996,3407007.7500000000,3323078.6000000006,9913255.4699999988,
FS(6),3253373.0000000000,3439680.8999999994,3367112.2000000002,10060167.0999999996,
FS(7),3214352.5200000000,3422383.3500000001,3364699.4000000004,10001436.2699999996,
FS(8),3206196.5999999996,3408289.0499999998,3359270.6000000001,9973757.2500000000,
FS(9),3341968.6799999997,3427508.5499999998,3400288.2000000002,10169766.4299999997,
FS(10),3242498.4399999999,3394835.3999999999,3361080.2000000002,9998415.0399999991,
FS(11),3226346.5200000000,3451212.5999999996,3396065.8000000003,10073625.9199999981,
FS(12),3302468.4399999999,3485807.6999999997,3417177.8000000003,10205454.9399999976,
FS(13),3364037.6399999997,3503745.8999999994,3438289.8000000003,10306074.3399999999,
FS(14),3364197.5600000001,3451853.2500000000,3394256.2000000007,10210308.0099999998,
FS(15),3400659.3199999998,3465947.5499999998,3413558.6000000006,10280166.4699999988,
FS(16),3397780.7600000002,3490932.8999999999,3425019.4000000004,10313734.0600000005,
FS(17),3240739.3199999998,3442884.1499999999,3373144.2000000002,10056768.6699999999,
FS(18),3302308.5200000000,3494136.1499999999,3420797.0000000005,10217242.6699999981,
FS(19),3265047.1599999997,3505667.8499999996,3449147.4000000004,10219863.4099999983,
FS(20),3286956.2000000002,3530653.1999999997,3495593.8000000003,10313204.1999999993,
FS(21),3342608.3599999999,3526809.2999999998,3494990.6000000001,10364409.2599999998,
FS(22),3338290.5200000000,3526168.6499999999,3508261.0000000000,10372721.1699999981,
FS(23),3289674.8399999999,3542825.5499999998,3501022.6000000001,10333523.9899999984,
FS(24),3345486.9199999999,3572936.1000000001,3509467.4000000004,10427891.4199999999,
FS(25),3410894.2000000002,3531293.8499999996,3534198.6000000006,10476387.6500000004,
FS(26),3410574.3599999999,3538340.9999999995,3562549.0000000005,10511465.3599999994,
FS(27),3425127.0799999996,3492854.8500000001,3538421.0000000000,10456403.9299999978,
FS(28),3465586.8399999999,3485167.0499999998,3601757.0000000005,10552511.8899999987,
FS(29),3575771.7200000002,3508871.1000000001,3627091.4000000004,10711735.2199999988,
FS(30),3567775.7200000002,3530653.1999999997,3645187.4000000004,10743617.3200000003,
FS(31),3498370.4399999999,3476197.9499999997,3616837.0000000005,10591406.3899999987,
FS(32),3516761.2400000002,3456978.4499999997,3589089.8000000003,10562830.4899999984,
FS(33),3529554.8399999999,3474916.6499999999,3611408.2000000002,10615880.6899999995,
FS(34),3562658.2800000003,3474275.9999999995,3615027.4000000004,10651962.6799999997,
FS(35),3533712.7600000002,3492854.8500000001,3618043.3999999999,10644612.0099999998,
FS(36),3482058.5999999996,3453775.1999999997,3636742.6000000001,10572577.3999999985,
FS(37),3497890.6799999997,3468510.1499999999,3631917.0000000005,10598318.8299999982,
FS(38),3481259.0000000000,3478760.5499999998,3650013.0000000000,10610033.5499999989,
FS(39),3534832.2000000002,3470432.1000000001,3635536.2000000007,10640801.5000000000,
FS(40),3516601.3199999998,3484526.3999999999,3645790.6000000001,10646919.3199999984,
FS(41),3499489.8799999999,3479401.2000000002,3637345.8000000003,10616237.8799999990,
FS(42),3581848.6799999997,3487729.6499999994,3640965.0000000005,10710544.3299999982,
FS(43),3591763.7200000002,3501183.2999999998,3610201.8000000003,10703149.8200000003,
FS(44),3501728.7600000002,3400601.2499999995,3553501.0000000000,10455832.0099999998,
FS(45),3531473.8799999999,3449290.6499999999,3559533.0000000000,10540298.5299999993,
FS(46),3630464.3599999999,3494136.1499999999,3613217.8000000003,10737819.3099999987,
FS(47),3631263.9600000000,3451212.5999999996,3634329.8000000003,10716807.3599999994,
FS(48),3588725.2400000002,3432633.7499999995,3602360.2000000002,10623720.1899999995,
FS(49),3630784.2000000002,3448649.9999999995,3572200.2000000002,10651635.3999999985,
FS(50),3679719.7200000002,3437758.9499999997,3608995.4000000004,10726475.0699999984,
FS(51),3777590.7600000002,3414695.5499999998,3615027.4000000004,10807314.7099999990,
FS(52),3772153.4800000000,3414695.5499999998,3595121.8000000003,10781971.8300000001,
FS(53),3763357.8799999999,3428149.1999999997,3652425.8000000003,10843933.8799999990,
FS(54),3748165.4800000000,3426867.8999999999,3636742.6000000001,10811776.9800000004,
FS(55),3762718.2000000002,3446087.3999999999,3643981.0000000000,10852787.5999999996,
FS(56),3780789.1599999997,3509511.7500000000,3682585.8000000003,10972887.7099999990,
FS(57),3846356.3599999999,3474275.9999999995,3664489.8000000003,10985123.1600000001,
FS(58),3837560.7600000002,3449931.2999999998,3665696.2000000007,10953189.2599999998,
FS(59),3889055.0000000000,3500542.6499999999,3672331.4000000004,11061930.0499999989,
FS(60),3895451.8000000003,3498620.6999999997,3654235.4000000004,11048308.9000000004,
FS(61),3943427.8000000003,3443524.7999999998,3641568.2000000002,11028521.7999999989,
FS(62),3982928.0400000000,3431993.0999999996,3630107.4000000004,11045029.5399999991,
FS(63),3890814.1199999996,3421742.6999999997,3630710.6000000001,10943268.4199999981,
FS(64),3890334.3599999999,3455697.1499999994,3668712.2000000002,11014744.7099999990,
