代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11266101.7099999990
真實報酬,1266101.7099999990
趨勢值,0.4283819987

選擇檔數,12
找到最佳解世代,2133
找到最佳解實驗,1
Stock#,AAPL,CSCO,JNJ,KO,MSFT,PG,TRV,UTX,V,VZ,WMT,XOM,
分配資金,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,
張數,5004,17603,6209,17111,8107,8549,6588,7003,5946,15276,8878,10976,
剩餘資金,66.9199999999,6.9799999999,85.2000000001,27.3000000000,95.5400000000,61.9700000000,16.8800000000,116.0600000000,1.1000000000,27.2000000000,43.9200000000,35.0800000000,
FS(1),833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,10000000.0000000000,
FS(2),857001.9199999999,833509.0300000000,825137.1200000000,842744.0499999999,857329.7200000000,838120.4399999999,830368.4000000000,834453.4800000000,841360.1000000000,825542.2400000001,841411.9800000000,821259.3999999999,10048241.8800000008,
FS(3),871663.6400000000,831924.7599999999,825137.1200000000,842915.1599999999,869328.0800000001,833076.5299999999,831290.7200000001,845868.3699999999,847484.4800000000,827069.8400000001,848780.7200000000,829710.9200000000,10104254.3399999999,
FS(4),871963.8800000000,835797.4199999999,825882.2000000001,842915.1599999999,859680.7500000000,837180.0499999999,827140.2800000000,850000.1399999999,841300.6400000000,821723.2400000001,849135.8400000001,826088.8400000000,10088812.4400000013,
FS(5),855450.6799999999,822067.0800000001,819983.6500000001,845652.9199999999,853519.4300000001,830511.8300000000,835111.7600000000,845518.2200000000,833451.9199999999,818362.5200000000,858812.8600000001,819722.7600000000,10038169.6300000008,
FS(6),852798.5599999999,830692.5499999999,822156.8000000002,847021.7999999999,856762.2300000001,835384.7599999999,828721.4000000000,857913.5299999999,834700.5800000000,824167.4000000001,848603.1600000000,812039.5600000001,10050966.3300000001,
FS(7),847894.6400000000,837557.7200000000,819673.2000000001,848904.0099999999,853357.2900000000,840172.2000000000,826283.8400000000,859524.2200000000,837197.9000000000,825695.0000000000,854107.5200000000,813356.6799999999,10063728.2199999988,
FS(8),855200.4799999999,843014.6500000000,833084.6400000000,849759.5599999998,866652.7700000000,848635.7100000000,838405.7600000000,868348.0000000000,844273.6400000000,831347.1200000001,860943.5800000001,827625.4800000000,10167295.3900000025,
FS(9),851647.6400000000,836149.4800000000,834885.2500000000,851983.9899999999,866004.2100000001,848464.7300000000,843544.3999999999,871429.3199999999,853192.6400000000,832263.6800000001,869555.2400000000,836955.0800000000,10196079.6600000001,
FS(10),854750.1200000000,851992.1799999999,834015.9900000001,780117.7900000000,866733.8400000001,841796.5099999999,836231.7200000001,869398.4500000000,851230.4600000000,825389.4800000001,874704.4800000000,837174.5999999999,10123539.6199999992,
FS(11),852848.5999999999,870123.2700000000,846868.6200000000,774128.9399999999,877435.0800000001,841967.4900000000,848156.0000000001,894819.3400000000,861635.9600000000,842651.3600000000,887755.1400000000,852980.0399999999,10251373.8400000017,
FS(12),855400.6400000000,873995.9299999999,842584.4100000000,767113.4299999999,877029.7300000001,854876.4800000000,850527.6799999999,900981.9799999999,858841.3400000000,846928.6400000000,907375.5200000000,858687.5600000001,10294347.3399999999,
FS(13),860905.0399999999,873643.8700000000,846682.3500000000,771733.3999999999,868760.5900000001,848806.6899999999,854744.0000000001,899511.3500000000,860565.6799999999,851816.9600000001,886778.5600000001,861980.3600000000,10285932.8500000015,
FS(14),856051.1599999999,869771.2100000000,840907.9800000000,784737.7599999999,887082.4100000000,853081.1899999999,855271.0399999999,884735.0199999999,856225.1000000000,857774.6000000001,882428.3400000001,854187.3999999999,10282257.2100000009,
FS(15),865608.7999999999,882093.3099999999,848234.6000000000,774813.3800000000,899729.3300000001,857099.2200000000,863176.6400000000,894889.3699999999,867344.1200000000,869537.1200000001,883848.8200000001,860773.0000000000,10367151.7100000009,
FS(16),871913.8399999999,894063.3500000000,845751.0000000000,768995.6399999999,904755.6700000000,851285.8999999999,872861.0000000001,898390.8700000000,868473.8600000000,867398.4800000001,880031.2800000000,861651.0800000000,10385575.9699999988,
FS(17),872414.2400000000,900928.5200000000,845192.1900000002,764717.8899999999,910998.0600000001,853508.6400000000,877999.6400000000,890827.6299999999,874300.9399999999,865259.8400000001,876213.7400000000,863407.2399999999,10395772.5700000003,
FS(18),875116.3999999999,908145.7500000000,843702.0300000001,768995.6399999999,909457.7300000001,845643.5599999999,873717.4400000001,888796.7600000000,875371.2200000000,866481.9200000000,871064.5000000000,872297.7999999999,10398794.7500000019,
FS(19),866509.5199999999,911314.2900000000,848482.9600000000,775840.0400000000,908322.7500000000,842565.9199999999,875627.9600000000,880183.0699999999,880722.6200000000,869537.1200000001,878877.1400000000,867468.3600000000,10405455.7500000019,
FS(20),875616.7999999999,904977.2100000000,859100.3500000000,776524.4800000000,912376.2500000000,841625.5299999999,876418.5200000000,880883.3699999999,888749.7200000000,870148.1600000000,869466.4600000001,878115.0800000000,10434005.9300000016,
FS(21),880020.3199999999,900576.4600000000,859907.5200000000,781144.4500000000,910187.3600000001,845301.6000000000,870621.0800000001,880673.2799999999,879771.2600000000,859149.4400000001,868756.2200000000,881517.6400000000,10417630.6300000008,
FS(22),878419.0399999999,903040.8799999999,861708.1300000001,780288.8999999999,905647.4400000001,847182.3800000000,874178.6000000000,882073.8799999999,879711.7999999999,856705.2800000000,873106.4400000001,880200.5199999999,10422267.2899999991,
