初始資金,10000000
最後資金,10727983.5399999991
真實報酬,727983.5399999991

二次趨勢線,-359.9206889540x^2 + 44241.1790672031x + 10000000
加權每日預期報酬,34403.3469024595
風險,211259.1314492618
二次趨勢值,0.1628490407

平均每日預期報酬,1834.1422299584
風險,211259.1314492618
二次趨勢值,0.0086819548

一次趨勢線,38710.6904320557x + 10000000
每日預期報酬,38710.6904320557
風險,211948.3391577388
一次趨勢值,0.1826421032

投資組合檔數,1
Stock#,WBA,
FS(1),10000000.0000000000,
FS(2),10504891.8099999987,
FS(3),10454011.2399999984,
FS(4),10579255.7199999988,
FS(5),10504891.8099999987,
FS(6),10234833.3999999985,
FS(7),10136986.1499999985,
FS(8),10203522.2799999993,
FS(9),10230919.5099999998,
FS(10),10528375.1499999985,
FS(11),10532289.0399999991,
FS(12),10152641.7099999990,
FS(13),10305283.4199999981,
FS(14),10489236.2500000000,
FS(15),10540116.8199999984,
FS(16),10489236.2500000000,
FS(17),10567514.0499999989,
FS(18),10915850.2599999998,
FS(19),10915850.2599999998,
FS(20),10727983.5399999991,
