初始資金,10000000
最後資金,11374387.1000000015
真實報酬,1374387.1000000015

二次趨勢線,625.1454952484x^2 + 72706.8467977519x + 10000000
加權每日預期報酬,89794.1570012070
風險,188722.0661526661
二次趨勢值,0.4758010488

平均每日預期報酬,4291.7451098984
風險,188722.0661526661
二次趨勢值,0.0227410880

一次趨勢線,82312.7409930314x + 10000000
每日預期報酬,82312.7409930314
風險,191039.1483110437
一次趨勢值,0.4308684462

投資組合檔數,1
Stock#,AAPL,
FS(1),10000000.0000000000,
FS(2),10179445.2000000011,
FS(3),10246737.1500000004,
FS(4),10405790.8500000015,
FS(5),10479200.2500000000,
FS(6),10311989.9500000011,
FS(7),10305872.5000000000,
FS(8),10430260.6500000004,
FS(9),10422104.0500000007,
FS(10),10630097.3500000015,
FS(11),10889069.4000000004,
FS(12),10978792.0000000019,
FS(13),11270390.4500000011,
FS(14),11282625.3499999996,
FS(15),11457992.2500000000,
FS(16),11608889.3499999996,
FS(17),11751629.8500000015,
FS(18),11435561.5999999996,
FS(19),11413130.9499999993,
FS(20),11374387.1000000015,
