初始資金,10000000
最後資金,10607279.3399999999
真實報酬,607279.3399999999

二次趨勢線,-813.6789453253x^2 + 51097.8866960014x + 10000000
加權每日預期報酬,26687.5183362432
風險,117077.9169006624
二次趨勢值,0.2279466448

平均每日預期報酬,1471.9668615236
風險,117077.9169006624
二次趨勢值,0.0125725406

一次趨勢線,37373.8351515151x + 10000000
每日預期報酬,37373.8351515151
風險,125966.4244027835
一次趨勢值,0.2966968010

投資組合檔數,2
Stock#,AAPL,MSFT,
FS(1),10000000.0000000000,
FS(2),10099110.7600000016,
FS(3),10144221.1400000006,
FS(4),10079291.7799999975,
FS(5),10152774.0199999996,
FS(6),10240127.9600000009,
FS(7),10138089.5399999991,
FS(8),10306712.8000000007,
FS(9),10448619.6799999997,
FS(10),10564897.8399999999,
FS(11),10470354.9600000009,
FS(12),10520216.9400000013,
FS(13),10514499.7600000016,
FS(14),10478003.6999999993,
FS(15),10490986.5199999996,
FS(16),10620262.5599999987,
FS(17),10971395.4400000013,
FS(18),10898127.8399999999,
FS(19),10600504.4199999981,
FS(20),10587904.8999999985,
FS(21),10680010.6400000006,
FS(22),10607279.3399999999,
