初始資金,10000000
最後資金,10797264.2999999989
真實報酬,797264.2999999989

二次趨勢線,-207.1464953320x^2 + 27484.2981261076x + 10000000
加權每日預期報酬,22098.4892474752
風險,219271.1298505990
二次趨勢值,0.1007815724

平均每日預期報酬,1228.4930641825
風險,219271.1298505990
二次趨勢值,0.0056026211

一次趨勢線,24456.7724251012x + 10000000
每日預期報酬,24456.7724251012
風險,219451.5591784467
一次趨勢值,0.1114449700

投資組合檔數,1
Stock#,WMT,
FS(1),10000000.0000000000,
FS(2),10237552.2199999988,
FS(3),10340057.6299999990,
FS(4),10580863.9900000002,
FS(5),10338430.5599999987,
FS(6),10449071.3199999984,
FS(7),10351447.1199999992,
FS(8),10074845.2199999988,
FS(9),10260331.1999999993,
FS(10),10076472.2899999991,
FS(11),10178977.6999999993,
FS(12),9899121.6600000001,
FS(13),10068336.9399999995,
FS(14),10200129.6099999994,
FS(15),10323786.9299999997,
FS(16),10413275.7799999993,
FS(17),10405140.4299999997,
FS(18),10449071.3199999984,
FS(19),10797264.2999999989,
