初始資金,10000000
最後資金,10690040.0399999991
真實報酬,690040.0399999991

二次趨勢線,-55.5218074460x^2 + 32002.6721720184x + 10000000
加權每日預期報酬,30337.0179486389
風險,33699.1378278775
二次趨勢值,0.9002312790

平均每日預期報酬,1396.6213909437
風險,33699.1378278775
二次趨勢值,0.0414438315

一次趨勢線,31066.2043530962x + 10000000
每日預期報酬,31066.2043530962
風險,33848.0492885031
一次趨勢值,0.9178137295

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),10005667.6799999997,
FS(3),10104143.6199999992,
FS(4),10162945.7999999989,
FS(5),10199077.2599999998,
FS(6),10218914.1400000006,
FS(7),10227415.6600000001,
FS(8),10238751.0199999996,
FS(9),10216788.7599999998,
FS(10),10298261.6600000001,
FS(11),10363439.9800000004,
FS(12),10434994.4399999995,
FS(13),10372649.9599999990,
FS(14),10415157.5599999987,
FS(15),10495922.0000000000,
FS(16),10498755.8399999999,
FS(17),10472542.8199999984,
FS(18),10591564.0999999996,
FS(19),10611400.9800000004,
FS(20),10617068.6600000001,
FS(21),10622027.8800000008,
FS(22),10690040.0399999991,
