初始資金,10000000
最後資金,10322410.0599999987
真實報酬,322410.0599999987

二次趨勢線,-152.5747280008x^2 + 22415.2681698564x + 10000000
加權每日預期報酬,17838.0263298314
風險,65697.0687139226
二次趨勢值,0.2715193642

平均每日預期報酬,859.3658829926
風險,65697.0687139226
二次趨勢值,0.0130807340

一次趨勢線,19841.8410909090x + 10000000
每日預期報酬,19841.8410909090
風險,66272.6400414547
一次趨勢值,0.2993971732

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),9936216.9799999986,
FS(3),9907383.5599999987,
FS(4),10152904.5000000000,
FS(5),10172126.7799999993,
FS(6),10181737.9199999999,
FS(7),10186106.6199999992,
FS(8),10240278.5000000000,
FS(9),10142419.6199999992,
FS(10),10158146.9399999995,
FS(11),10216687.5199999996,
FS(12),10296197.8599999994,
FS(13),10266490.6999999993,
FS(14),10193096.5399999991,
FS(15),10283091.7599999998,
FS(16),10285712.9799999986,
FS(17),10380076.8999999985,
FS(18),10359980.8799999990,
FS(19),10375708.1999999993,
FS(20),10491041.8799999990,
FS(21),10435122.5199999996,
FS(22),10322410.0599999987,
