初始資金,10000000
最後資金,10399997.8800000008
真實報酬,399997.8800000008

二次趨勢線,-1018.8919057030x^2 + 41492.4970835686x + 10000000
加權每日預期報酬,10925.7399124788
風險,75252.8086228350
二次趨勢值,0.1451871380

平均每日預期報酬,820.8174205636
風險,75252.8086228350
二次趨勢值,0.0109074656

一次趨勢線,24307.1869407115x + 10000000
每日預期報酬,24307.1869407115
風險,95133.4281467014
一次趨勢值,0.2555062654

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),10028469.5999999996,
FS(3),10062633.1199999992,
FS(4),10028469.5999999996,
FS(5),10212098.5199999996,
FS(6),10380069.1600000001,
FS(7),10368681.3200000003,
FS(8),10187899.3599999994,
FS(9),10257649.8800000008,
FS(10),10233450.7200000007,
FS(11),10219215.9200000018,
FS(12),10422773.5600000005,
FS(13),10427044.0000000000,
FS(14),10387186.5600000005,
FS(15),10402844.8399999999,
FS(16),10439855.3200000003,
FS(17),10351599.5600000005,
FS(18),10418503.1199999992,
FS(19),10414232.6799999997,
FS(20),10532381.5199999996,
FS(21),10354446.5199999996,
FS(22),10399997.8800000008,
