初始資金,10000000
最後資金,10738608.6399999987
真實報酬,738608.6399999987

二次趨勢線,6900.3283915568x^2 + -73462.3555203246x + 10000000
加權每日預期報酬,105946.1826601530
風險,293988.4959193383
二次趨勢值,0.3603752668

平均每日預期報酬,3397.0638058322
風險,293988.4959193383
二次趨勢值,0.0115550909

一次趨勢線,27388.5978947367x + 10000000
每日預期報酬,27388.5978947367
風險,417453.0622002999
一次趨勢值,0.0656088082

投資組合檔數,1
Stock#,CSCO,
FS(1),10000000.0000000000,
FS(2),9815347.8399999980,
FS(3),9299760.6399999987,
FS(4),9633093.7599999998,
FS(5),9673861.1199999992,
FS(6),9297362.5599999987,
FS(7),9479616.6399999987,
FS(8),9736211.1999999993,
FS(9),9887290.2399999984,
FS(10),10093525.1199999992,
FS(11),10570743.0399999972,
FS(12),10630695.0399999972,
FS(13),10565946.8799999990,
FS(14),10386090.8799999990,
FS(15),10297361.9199999981,
FS(16),10551558.3999999985,
FS(17),10877697.2799999975,
FS(18),10800958.7199999988,
FS(19),10738608.6399999987,
