10000000.0000000000
10343281.1500000004
10483024.2200000007
10561123.3300000001
10745848.7899999991
10802175.4800000004
10890717.5500000007
10816958.9900000002
10853146.7400000002
10822829.6200000010
10772088.6899999995
11011011.7500000000
11004140.2800000012
11113959.4199999999
11117160.4700000007
11042710.8800000008
10875935.8800000008
10966807.6100000013
11023291.0800000001
10986143.9399999995
Y = 68213.8488641115X + 10000000.0000000000
m = 68213.8488641115
daily risk = 255084.7135332886
trend = 0.2674164513
