10000000.0000000019
10184085.3100000024
10266434.5500000026
10330051.7800000012
10433795.8700000029
10464651.5700000022
10472043.2699999996
10451205.5700000022
10493978.4899999984
10487704.1899999995
10486495.2000000011
10595466.2100000009
10613876.9599999990
10715917.4500000011
10708330.8500000015
10711777.5900000017
10640414.6299999990
10620119.8900000006
10631105.8600000013
10665962.7900000047
Y = 43050.3590522649X + 10000000.0000000000
m = 43050.3590522649
daily risk = 128954.3102931033
trend = 0.3338419550
