代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12678151.3200000022
真實報酬,2678151.3200000022
趨勢值,0.1659232960

選擇檔數,6
找到最佳解世代,2207
找到最佳解實驗,1
Stock#,JNJ,KO,MMM,MSFT,V,WBA,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,29203,67778,27439,69328,109649,56805,
剩餘資金,50.7900000000,4.9800000000,21.1399999999,20.8800000001,1.2000000001,7.3000000000,
FS(31),1761575.7500000000,1630743.6599999999,1992092.5399999998,1637548.2400000002,1882674.5300000003,1809246.5500000000,10713885.2700000014,
FS(32),1754567.0300000000,1642943.7000000000,1956970.6199999996,1642401.2000000002,1858551.7500000000,1796181.4000000001,10651619.7000000011,
FS(33),1746974.2500000000,1650399.2800000000,1922946.2599999998,1611896.8800000001,1821271.0900000001,1736536.1500000001,10490027.9100000001,
FS(34),1746390.1899999999,1647688.1599999999,1930354.7899999998,1634775.1200000001,1836621.9500000002,1750737.4000000001,10546571.6099999994,
FS(35),1763035.8999999999,1672766.0200000000,1942427.9500000000,1639628.0800000001,1842104.4000000004,1758122.0500000000,10618088.4000000004,
FS(36),1779973.6400000001,1674799.3600000001,1954501.1100000001,1641014.6400000001,1858551.7500000000,1754713.7500000000,10663558.2500000000,
FS(37),1782309.8800000001,1691743.8600000001,1993190.0999999999,1692317.3600000001,1891446.4500000002,1796749.4500000000,10847761.1000000015,
FS(38),1789610.6300000001,1662599.3200000001,1990994.9800000000,1708262.8000000000,1862937.7100000000,1784252.3500000001,10798661.7900000028,
FS(39),1785522.2100000000,1651754.8400000001,1994287.6600000001,1708262.8000000000,1891446.4500000002,1848442.0000000000,10879719.9599999990,
FS(40),1770628.6800000002,1666666.0000000000,1959714.5200000000,1702023.2800000003,1924341.1500000004,1897862.3499999999,10921239.9800000004,
FS(41),1766540.2600000000,1675477.1399999999,1965476.7099999997,1711729.2000000002,1911183.2700000003,1911495.5500000000,10941906.1300000008,
FS(42),1760699.6599999999,1662599.3200000001,1973434.0200000000,1711035.9200000002,1933113.0700000001,1913199.7000000000,10954085.6900000013,
FS(43),1765080.1099999999,1653110.3999999999,1978373.0399999998,1708956.0800000001,1948463.9300000002,1924560.7000000002,10978548.2600000016,
