代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11857764.9799999986
真實報酬,1857764.9799999986
趨勢值,0.1408385553

選擇檔數,10
找到最佳解世代,3056
找到最佳解實驗,2
Stock#,AXP,BA,JNJ,JPM,MCD,MMM,MRK,PG,UNH,V,
分配資金,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,
張數,17021,12975,14116,22391,11096,10550,24189,14411,18335,25740,
剩餘資金,16.2500000000,16.7500000001,22.5600000000,17.9400000001,28.4799999999,71.0000000000,26.7399999999,20.7100000000,9.1000000000,1.0000000000,
FS(1),1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,1000000.0000000000,10000000.0000000000,
FS(2),1004255.2500000000,1005190.0000000001,998588.3999999999,997984.8100000001,1005658.9600000000,998839.5000000000,1023947.1099999999,993659.1600000000,953245.7500000000,1000772.2000000001,9982141.1399999987,
FS(3),1014638.0599999999,1008044.5000000001,1010022.3599999999,1015673.7000000001,997004.0800000000,1006224.5000000000,1015239.0699999998,995676.7000000001,955079.2500000000,1008751.6000000000,10026353.8199999984,
FS(4),1018893.3099999999,987803.5000000000,1007904.9600000000,1016793.2500000000,1008765.8400000000,1007490.5000000000,1018867.4199999998,988903.5300000000,955079.2500000000,1015958.7999999999,10026460.3599999994,
FS(5),1024680.4500000001,961853.5000000000,1008046.1199999999,1018808.4400000001,1009098.7200000000,1007596.0000000000,1020318.7599999999,987318.3200000001,942428.1000000000,1025482.6000000001,10005631.0099999979,
FS(6),1025701.7100000000,995977.7500000002,1012563.2400000000,1018136.7100000001,1007656.2400000000,1017196.5000000000,1030236.2500000000,992650.3899999999,960213.0499999999,1041184.0000000001,10101515.8399999980,
FS(7),1034722.8400000000,1000259.5000000001,1019056.5999999999,1033362.5900000001,1014202.8800000000,1022260.5000000000,1034832.1599999999,998270.6799999999,973780.9500000000,1032947.2000000001,10163695.8999999985,
FS(8),1042382.2900000000,975217.7500000001,1021315.1599999999,1033138.6800000001,1017864.5600000001,1015825.0000000000,1045717.2099999998,997550.1299999999,968463.7999999999,1037065.6000000000,10154540.1799999978,
FS(9),1041871.6600000000,993253.0000000001,1024279.5200000000,1027317.0200000001,1015645.3600000000,1024265.0000000000,1048378.0000000000,1003458.6399999999,978364.7000000000,1033719.3999999999,10190552.2999999989,
FS(10),1034212.2100000000,998313.2500000001,1021597.4800000000,1037840.7900000000,1015423.4400000001,1026480.5000000001,1037009.1699999998,1007061.3899999999,983131.7999999999,1032432.4000000000,10193502.4299999997,
FS(11),1031829.2699999999,964578.2500000001,1024561.8400000000,1048364.5600000001,1010874.0800000000,1029750.9999999999,1029026.7999999998,999279.4500000001,983865.2000000000,1030887.9999999999,10153018.4499999993,
FS(12),1033871.7900000000,976515.2500000002,1029078.9600000000,1039855.9800000000,1018197.4400000001,1034815.0000000000,1034106.4899999999,1004035.0800000000,997433.1000000000,1028828.7999999999,10196737.8900000006,
FS(13),1017531.6300000000,973660.7500000002,1033737.2400000000,1040303.8000000000,1023745.4400000001,1041778.0000000000,1039669.9599999998,1007926.0499999999,1000366.7000000001,1018532.8000000000,10197252.3699999992,
FS(14),1011063.6500000000,962242.7500000001,1026114.5999999999,1042095.0800000001,1031401.6800000001,1048002.5000000000,1044991.5399999999,1008070.1600000000,1027135.8000000000,1023423.3999999999,10224541.1600000001,
FS(15),1003063.7800000000,963929.5000000002,1028373.1599999999,1035153.8700000000,1037282.5600000001,1049690.5000000000,1035799.7199999999,1018734.2999999999,1025118.9500000000,1023423.3999999999,10220569.7400000002,
FS(16),1009361.5499999999,977293.7500000000,1031902.1599999999,1038288.6100000000,1035396.2400000000,1051589.5000000000,1040153.7399999999,1014843.3300000000,1030802.7999999999,1026769.6000000000,10256401.2799999993,
FS(17),1012765.7500000000,973531.0000000001,1043477.2799999999,1055977.5000000000,1039945.6000000000,1061295.5000000000,1051280.6799999999,1055626.4600000000,1027502.5000000000,1028571.4000000000,10349973.6699999999,
FS(18),1005446.7200000000,960166.7500000001,1039242.4800000000,1044334.1800000001,1047047.0399999999,1061928.5000000000,1038460.5099999999,1063120.1799999999,1023285.4500000001,1006177.6000000001,10289209.4099999983,
FS(19),1011914.7000000001,955625.5000000002,1050394.1200000001,1055081.8600000001,1053260.8000000000,1074166.5000000000,1056118.4800000000,1080845.7100000000,1031902.9000000000,1008236.8000000000,10377547.3700000010,
FS(20),1009872.1799999999,967822.0000000001,1045877.0000000000,1055305.7700000003,1050486.8000000000,1063511.0000000000,1052248.2400000000,1081998.5899999999,1028235.8999999999,997426.0000000000,10352783.4800000004,
FS(21),1001021.2600000000,958480.0000000002,1043477.2799999999,1053514.4900000002,1057366.3200000001,1060873.5000000000,1046200.9899999999,1083151.4700000000,1012284.4500000000,1016216.2000000000,10332585.9599999990,
FS(22),1019744.3600000000,971455.0000000002,1047147.4400000001,1071427.2900000003,1064689.6799999999,1071529.0000000000,1011852.6099999999,1094103.8300000001,1022552.0500000000,1020334.6000000000,10394835.8599999994,
FS(23),1011233.8600000000,975866.5000000000,1046159.3199999999,1067620.8200000001,1049710.0799999998,1063194.5000000000,988147.3899999999,1084448.4600000000,1022185.3500000000,1007979.3999999999,10316545.6799999997,
FS(24),1032510.1100000000,984689.5000000001,1053923.1200000001,1092474.8300000001,1053149.8399999999,1070790.5000000000,1002177.0099999999,1090933.4099999999,1059222.0500000000,1026512.2000000001,10466382.5699999984,
FS(25),1030808.0100000000,989879.5000000002,1064227.8000000000,1088444.4500000002,1054925.2000000000,1083450.5000000000,993952.7500000000,1097418.3600000001,1052071.4000000001,1035006.4000000000,10490184.3699999992,
FS(26),1057701.1899999999,1004671.0000000002,1059569.5200000000,1079935.8700000001,1050042.9600000000,1078492.0000000000,991775.7399999999,1097418.3600000001,1046020.8500000000,1010810.8000000000,10476438.2899999991,
FS(27),1051914.0500000000,993382.7500000001,1065498.2400000002,1088892.2700000003,1052706.0000000000,1083134.0000000000,996129.7599999999,1091653.9600000000,1058672.0000000002,1015444.0000000001,10497427.0299999993,
FS(28),1054977.8299999998,984430.0000000002,1064510.1200000001,1089564.0000000000,1056034.8000000000,1082712.0000000000,1000967.5599999999,1092518.6200000001,1047304.2999999999,1005920.2000000000,10478939.4299999978,
FS(29),1058722.4500000000,985987.0000000000,1070015.3600000001,1100311.6800000002,1055258.0799999998,1091574.0000000000,1002660.7899999999,1094968.4900000000,1045287.4500000000,1009009.0000000001,10513794.2999999989,
FS(30),1057020.3500000001,970287.2500000001,1068039.1200000001,1090011.8200000001,1043052.4800000000,1085244.0000000000,995404.0899999999,1103326.8700000001,1049321.1500000001,995881.6000000000,10457588.7299999986,
FS(31),1061105.3900000001,972233.5000000002,1070156.5200000000,1102102.9600000002,1038170.2400000000,1084400.0000000000,996371.6499999998,1106497.2900000000,1046020.8500000000,1003603.6000000001,10480661.9999999981,
FS(32),1050041.7400000000,973531.0000000001,1075097.1200000001,1094490.0200000003,1041942.8800000000,1089147.5000000000,1001935.1199999999,1103038.6500000001,1050971.3000000000,1016731.0000000000,10496926.3299999982,
FS(33),1060084.1300000001,968600.5000000002,1086389.9199999999,1107252.8900000001,1041388.0800000000,1099170.0000000000,1021286.3199999998,1115143.8899999999,1038870.2000000000,1014157.0000000000,10552342.9299999997,
