代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,13301992.7099999990
真實報酬,3301992.7099999990
趨勢值,0.1956021535

選擇檔數,4
找到最佳解世代,2106
找到最佳解實驗,1
Stock#,AAPL,BA,DD,NKE,
分配資金,2500000,2500000,2500000,2500000,
張數,42764,24215,54019,80205,
剩餘資金,16.5600000000,43.4000000001,0.6799999999,10.1499999999,
FS(80),3176098.8399999999,2965896.6000000001,3196304.9100000001,3046196.0499999998,12384496.3999999985,
FS(81),3206888.9199999999,3124262.7000000002,3156871.0400000000,3030155.0499999998,12518177.7099999990,
FS(82),3249652.9199999999,3123294.0999999996,3124999.8300000001,3028550.9499999997,12526497.7999999989,
FS(83),3213303.5200000000,3176809.2500000000,3040190.0000000000,3035769.3999999999,12466072.1699999981,
FS(84),3237251.3600000003,3145087.5999999996,3008858.9800000004,3028550.9499999997,12419748.8900000006,
FS(85),3156427.4000000004,3139760.2999999998,3035328.2900000000,3044591.9500000002,12376107.9399999995,
FS(86),3206888.9199999999,3140244.6000000001,3020202.9700000002,3053414.5000000000,12420750.9899999984,
FS(87),3193204.4399999999,3160100.8999999999,3036408.6700000004,3038175.5500000003,12427889.5599999987,
FS(88),3176954.1200000001,3221364.8500000001,2996434.6100000003,3050206.2999999998,12444959.8799999990,
FS(89),3218007.5600000001,3215553.2499999995,2954299.7900000000,3063039.0999999996,12450899.6999999974,
FS(90),3209882.4000000004,3234440.9499999997,2978608.3400000003,3095923.1499999999,12518854.8399999999,
FS(91),3182513.4399999999,3222817.7500000000,3020202.9700000002,3078278.0500000003,12503812.2099999990,
FS(92),3130769.0000000000,3184558.0499999998,2974827.0100000002,3035769.3999999999,12325923.4599999990,
FS(93),3180375.2400000002,3232503.7500000000,3051533.9900000002,3092714.9500000002,12557127.9299999997,
FS(94),3170967.1600000001,3209257.3500000001,3050993.7999999998,3094319.0499999998,12525537.3599999994,
FS(95),3176954.1200000001,3204414.3500000001,3026145.0600000005,3083090.3499999996,12490603.8799999990,
FS(96),3180802.8799999999,3224754.9499999997,3046132.0900000003,3121588.7500000000,12573278.6699999981,
FS(97),3226560.3600000003,3271247.7500000000,3085025.7700000000,3153670.7500000000,12736504.6299999990,
FS(98),3207316.5600000001,3295220.6000000001,3094749.1899999999,3176930.1999999997,12774216.5500000007,
FS(99),3168401.3200000003,3350430.8000000003,3067199.5000000000,3151264.5999999996,12737296.2199999988,
FS(100),3173960.6400000001,3317014.0999999996,3054234.9399999999,3120786.6999999997,12665996.3799999990,
FS(101),3146164.0399999996,3207320.1499999994,3020202.9700000002,3121588.7500000000,12495275.9099999983,
FS(102),3183796.3600000003,3218943.3500000001,3048833.0400000000,3132015.3999999999,12583588.1499999985,
FS(103),3175671.2000000002,3292556.9499999997,3050993.7999999998,3163295.3499999996,12682517.2999999989,
FS(104),3199619.0399999996,3220638.3999999999,3000756.1299999999,3173722.0000000000,12594735.5699999984,
FS(105),3258633.3600000003,3263741.1000000001,2984010.2400000002,3192169.1499999999,12698553.8499999996,
FS(106),3335180.9199999999,3262288.1999999997,3007778.6000000001,3181742.5000000000,12786990.2199999988,
FS(107),3397188.7199999997,3250907.1499999999,3005077.6500000004,3173722.0000000000,12826895.5199999996,
FS(108),3367681.5600000001,3248727.7999999998,3075842.5400000000,3172117.8999999999,12864369.7999999989,
FS(109),3459624.1600000001,3196423.3999999999,2978608.3400000003,3173722.0000000000,12808377.8999999985,
FS(110),3451499.0000000000,3184315.8999999999,2991572.9000000004,3160889.1999999997,12788276.9999999981,
FS(111),3469459.8799999999,3214100.3499999996,2969965.2999999998,3166503.5499999998,12820029.0799999982,
FS(112),3421136.5600000001,3273427.1000000001,3020743.1600000001,3202595.7999999998,12917902.6199999992,
FS(113),3460479.4399999999,3261319.6000000001,3138504.5800000001,3199387.6000000001,13059691.2199999988,
FS(114),3454920.1200000001,3237588.8999999994,3214131.1800000002,3176930.1999999997,13083570.3999999985,
FS(115),3429261.7199999997,3209983.7999999998,3157951.4200000004,3081486.2500000000,12878683.1899999976,
FS(116),3424557.6800000002,3219669.8000000003,3135803.6299999999,3057424.7499999995,12837455.8599999994,
FS(117),3386925.3600000003,3240736.8500000001,3194144.1500000004,3063841.1499999999,12885647.5099999998,
FS(118),3405741.5200000000,3262288.1999999997,3200086.2400000002,3065445.2500000000,12933561.2099999990,
FS(119),3390346.4800000000,3290377.5999999996,3246542.5800000001,3078278.0500000003,13005544.7099999990,
FS(120),3364688.0800000005,3280933.7500000000,3347017.9200000004,3150462.5499999998,13143102.3000000007,
FS(121),3326200.4800000000,3273184.9499999997,3377268.5600000005,3138431.8000000003,13115085.7899999991,
FS(122),3353997.0800000005,3309507.4499999997,3368085.3300000001,3101537.5000000000,13133127.3599999994,
FS(123),3482716.7199999997,3302969.3999999999,3375647.9900000002,3092714.9500000002,13254049.0600000005,
FS(124),3468176.9600000000,3313381.8500000001,3417242.6200000001,3114370.2999999998,13313171.7300000004,
FS(125),3445084.4000000004,3348251.4500000002,3450734.4000000004,3136025.6499999999,13380095.9000000004,
FS(126),3421564.2000000002,3315076.8999999999,3430747.3700000001,3134421.5499999998,13301810.0199999996,
FS(127),3387780.6400000001,3291346.1999999997,3430747.3700000001,3157680.9999999995,13267555.2099999990,
FS(128),3427551.1600000001,3305148.7500000000,3415622.0499999998,3153670.7500000000,13301992.7099999990,
