初始資金,10000000.0000000000
最後資金,13506765.4100000001
真實報酬,3506765.4100000001

二次趨勢線,3.2695749894x^2 + 14489.7634236619x + 10000000.0000000000
加權每日預期報酬,15577.4420368071
風險,169668.0593547893
二次趨勢值,0.0918112820

平均每日預期報酬,61.4745267912
風險,169668.0593547893
二次趨勢值,0.0003623223

一次趨勢線,15101.5801864606x + 10000000.0000000000
每日預期報酬,15101.5801864606
風險,171190.2100533771
一次趨勢值,0.0882152092

投資組合檔數,2
Stock#,PG,V,
FS(1),10000000.0000000000,
FS(2),10002836.1499999985,
FS(3),10027287.3499999978,
FS(4),9953658.8999999985,
FS(5),9910971.0700000003,
FS(6),9871984.0499999970,
FS(7),9785006.8299999982,
FS(8),10047170.1200000010,
FS(9),10217603.5199999996,
FS(10),10316327.9499999993,
FS(11),10403092.7199999988,
FS(12),10343992.6600000001,
FS(13),10255828.3900000006,
FS(14),10254516.5399999991,
FS(15),10176197.8200000003,
FS(16),10073317.9599999972,
FS(17),10055945.9899999984,
FS(18),10280107.2500000000,
FS(19),10416591.5399999991,
FS(20),10485317.2699999996,
FS(21),10370070.6699999981,
FS(22),10263592.5099999979,
FS(23),10293803.6600000001,
FS(24),10522739.8799999990,
FS(25),10551229.1399999969,
FS(26),10559462.7399999984,
FS(27),10630324.8699999973,
FS(28),10526910.1700000018,
FS(29),10552288.4299999997,
FS(30),10498585.8200000003,
FS(31),10580605.3499999978,
FS(32),10541665.8699999973,
FS(33),10594771.2399999984,
FS(34),10555289.4899999984,
FS(35),10514330.9800000004,
FS(36),10490696.8999999985,
FS(37),10520922.9100000001,
FS(38),10469129.3900000006,
FS(39),10477960.2299999967,
FS(40),10524796.0599999987,
FS(41),10503935.7300000004,
FS(42),10519398.6099999994,
FS(43),10468099.8200000003,
FS(44),10553442.8000000007,
FS(45),10581657.2100000009,
FS(46),10536345.6799999997,
FS(47),10689777.0399999991,
FS(48),10720552.7500000000,
FS(49),10678674.6099999994,
FS(50),10768795.5099999979,
FS(51),10834685.0899999961,
FS(52),10959304.8000000007,
FS(53),10951305.9399999976,
FS(54),10944446.5899999999,
FS(55),10934098.8799999990,
FS(56),10981586.9199999981,
FS(57),10998204.1699999981,
FS(58),11002557.1899999976,
FS(59),10981381.8999999985,
FS(60),10999076.2599999979,
FS(61),10894837.0099999979,
FS(62),10950111.4599999972,
FS(63),10969227.6099999994,
FS(64),11072917.1600000001,
FS(65),10990560.3799999990,
FS(66),11121104.9499999993,
FS(67),11184063.2999999970,
FS(68),11228180.3499999978,
FS(69),11123281.4599999972,
FS(70),11013212.4299999997,
FS(71),10992722.0299999975,
FS(72),11046032.4199999981,
FS(73),11044288.2399999984,
FS(74),11137212.6099999994,
FS(75),11211445.7300000004,
FS(76),11305124.8200000003,
FS(77),11278277.2299999967,
FS(78),11128931.4699999988,
FS(79),11085309.1499999985,
FS(80),10905517.5000000000,
FS(81),10951496.0999999978,
FS(82),11156743.2699999996,
FS(83),11135270.8399999999,
FS(84),11136300.4100000001,
FS(85),11339264.0899999999,
FS(86),11315410.1299999990,
FS(87),11198694.1999999993,
FS(88),11313116.2500000000,
FS(89),11189910.8999999985,
FS(90),11076990.8599999994,
FS(91),11118326.7300000004,
FS(92),11136680.7300000004,
FS(93),11086301.5699999966,
FS(94),10962238.9899999984,
FS(95),10946658.7399999984,
FS(96),11094905.0999999978,
FS(97),11300075.0099999979,
FS(98),11359552.4299999997,
FS(99),11386077.6299999990,
FS(100),11534448.7899999991,
FS(101),11490716.5300000012,
FS(102),11433305.6799999997,
FS(103),11489027.3200000003,
FS(104),11530253.2500000000,
FS(105),11617230.4699999988,
FS(106),11554162.1799999997,
FS(107),11491038.9199999981,
FS(108),11518161.3599999994,
FS(109),11578078.5399999991,
FS(110),11609019.1600000001,
FS(111),11608037.1299999990,
FS(112),11653466.0299999975,
FS(113),11620576.2099999972,
FS(114),11542250.0599999987,
FS(115),11511694.2300000004,
FS(116),11601712.6200000010,
FS(117),11668151.8999999985,
FS(118),11555081.8099999987,
FS(119),11725382.9799999967,
FS(120),11567591.1699999981,
FS(121),11568620.7399999984,
FS(122),11469276.7799999975,
FS(123),11452611.9899999984,
FS(124),11355602.0199999996,
FS(125),11532934.8799999990,
FS(126),11805533.5299999975,
FS(127),11774318.0599999987,
FS(128),11834715.1099999994,
FS(129),11840530.0299999975,
FS(130),11889974.6999999993,
FS(131),12016543.6099999994,
FS(132),11997874.6499999985,
FS(133),12019057.3699999973,
FS(134),12032028.7799999975,
FS(135),12044560.4299999997,
FS(136),11990960.3299999982,
FS(137),12005291.1299999990,
FS(138),11964182.5700000003,
FS(139),11995005.8200000003,
FS(140),12055472.6999999993,
FS(141),12053940.9699999988,
FS(142),12296240.8200000003,
FS(143),12201334.5700000003,
FS(144),12314474.4899999984,
FS(145),12254682.1099999994,
FS(146),12376505.7799999975,
FS(147),12463875.2199999988,
FS(148),12333323.2199999988,
FS(149),12483801.0599999987,
FS(150),12572687.3700000010,
FS(151),12424235.9899999984,
FS(152),12419978.0500000007,
FS(153),12366447.7799999975,
FS(154),12399290.0599999987,
FS(155),12366140.2500000000,
FS(156),12431494.9899999984,
FS(157),12492426.8799999990,
FS(158),12545272.2599999979,
FS(159),12433898.8099999987,
FS(160),12511173.0999999978,
FS(161),12586051.0000000000,
FS(162),12358064.1299999990,
FS(163),12448522.2799999975,
FS(164),12583812.0899999999,
FS(165),12488278.8799999990,
FS(166),12491499.8200000003,
FS(167),12563878.8200000003,
FS(168),12624118.3899999969,
FS(169),12667960.5899999999,
