代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11344327.8900000006
真實報酬,1344327.8900000006
趨勢值,0.5768170331

選擇檔數,12
找到最佳解世代,2350
找到最佳解實驗,1
Stock#,AAPL,CAT,CSCO,CVX,DIS,HD,KO,MSFT,NKE,TRV,V,WMT,
分配資金,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,833333,
張數,5417,6681,24691,7096,8345,5080,18601,11169,16065,6757,7903,10622,
剩餘資金,144.2300000000,78.6800000000,11.7500000000,49.7200000000,1.3000000000,111.3999999999,8.2000000001,13.9100000000,41.4500000000,59.7600000000,40.6800000000,37.1000000000,
FS(1),833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,833333.0000000000,10000000.0000000000,
FS(2),836962.3899999999,838610.9900000001,835802.1000000001,836100.4399999999,841093.8500000001,839174.9999999999,840587.3900000000,829423.8500000001,826907.0000000000,835900.6600000000,834518.4500000001,841511.9399999999,10036598.0600000005,
FS(3),831545.3899999999,846828.6200000000,825678.7899999999,834397.3999999999,839091.0500000000,839784.5999999999,846353.7000000001,834226.5200000000,836706.6500000000,837252.0600000001,832305.6100000001,840131.0800000000,10044305.4700000007,
FS(4),841891.8599999999,844557.0800000001,829382.4400000001,841493.3999999999,835419.2500000000,844000.9999999999,846725.7200000001,848522.8400000000,838313.1500000000,840900.8400000000,839655.4000000000,843530.1200000000,10094397.0999999996,
FS(5),841404.3300000001,848098.0100000001,833333.0000000000,830494.6000000000,835085.4500000000,842629.3999999999,846167.6900000001,848857.9100000000,842168.7500000001,845157.7500000000,843527.8700000001,839175.1000000000,10096103.8599999994,
FS(6),844329.5100000000,847763.9600000000,833579.9099999999,835319.8799999999,830912.9500000000,841918.2000000000,844679.6100000000,852096.9200000002,827710.2500000001,844346.9100000000,845740.7100000001,855426.7600000000,10103829.5699999984,
FS(7),844654.5300000000,856516.0700000001,828394.7999999999,843054.5199999999,830996.4000000000,839124.1999999998,853236.0700000001,852096.9200000002,827870.9000000001,851036.3400000000,848111.6100000001,893665.9600000000,10168762.3199999984,
FS(8),848175.5800000001,859255.2800000000,829382.4400000001,846815.3999999999,822401.0500000000,839581.3999999999,857514.3000000000,853548.8900000000,819838.4000000001,848806.5300000000,857042.0000000000,910661.1600000000,10193026.4300000016,
FS(9),845196.2300000000,868541.8700000001,821234.4099999999,845467.1600000000,808882.1500000001,836228.6000000000,857700.3100000001,861367.1900000001,816625.4000000000,851103.9100000000,854434.0100000000,914591.2999999999,10181376.5399999991,
FS(10),850559.0600000001,873352.1900000001,826419.5200000000,845609.0800000000,812637.4000000000,835618.9999999999,859002.3800000001,865499.7200000000,819035.1500000000,855968.9500000001,858780.6600000000,920114.7400000000,10222601.8499999996,
FS(11),866214.1899999999,878429.7500000000,828147.8900000000,852492.2000000000,818896.1500000000,834348.9999999999,867186.8200000001,867286.7600000001,825300.5000000000,870496.5000000000,855935.5800000001,910767.3799999999,10275506.7199999988,
FS(12),869410.2200000000,872216.4200000000,829629.3500000001,853130.8400000000,820815.5000000000,829929.3999999999,865326.7200000001,866616.6200000001,835421.4500000001,869347.8100000001,849929.3000000000,913316.6600000000,10275094.2900000010,
FS(13),865564.1499999999,877227.1700000000,828394.7999999999,838442.1200000000,819897.5500000000,830437.3999999999,863094.6000000001,866840.0000000000,840240.9500000001,878604.9000000000,851984.0800000001,915865.9399999999,10276597.6600000001,
FS(14),845087.8899999999,878964.2300000001,833333.0000000000,838796.9200000000,826239.7500000001,829370.6000000000,866628.7900000002,870190.7000000000,846506.3000000000,899889.4500000000,845819.7400000000,917777.9000000000,10298609.2700000014,
FS(15),846550.4800000000,877694.8400000002,845678.5000000000,841919.1600000000,829494.3000000000,830335.7999999999,862722.5800000001,880242.8000000000,852450.3500000001,900903.0000000000,850008.3300000001,928824.7799999999,10346828.9199999999,
FS(16),846117.1199999999,879832.7600000001,848147.6000000001,843977.0000000000,823652.8000000000,836990.6000000000,861606.5200000000,880466.1800000001,862089.3500000000,908538.4099999999,849850.2700000000,941677.4000000000,10382950.0100000016,
FS(17),851154.9299999999,923660.1200000001,853826.5299999999,846105.8000000000,820231.3500000001,843543.7999999999,859002.3800000001,880801.2500000000,858233.7500000001,900024.5900000000,856804.9100000000,934560.6600000000,10427954.0700000003,
FS(18),847417.2000000000,914306.7200000001,846913.0499999999,840499.9600000000,816142.3000000000,843746.9999999999,856584.2500000000,878232.3800000000,882652.5500000000,890497.2200000000,865340.1500000000,939871.6600000000,10422208.4399999995,
FS(19),852834.2000000000,914974.8200000001,846172.3200000001,840499.9600000000,822484.5000000001,851773.3999999999,859932.4300000001,879684.3500000001,912694.1000000001,891578.3400000000,867790.0800000001,941358.7400000000,10481781.2400000002,
FS(20),883386.0800000001,920787.2900000000,850122.8800000000,805729.5600000001,820398.2500000001,850198.6000000000,856956.2700000000,936087.8000000000,899038.8500000001,885632.1800000001,867078.8100000001,936578.8400000000,10511999.4100000020,
FS(21),903266.4700000000,911968.3700000001,840493.3900000000,811761.1600000000,818145.1000000001,839886.2000000000,853050.0600000001,936981.3200000001,887954.0000000001,896173.1000000001,869686.8000000000,923620.0000000000,10492989.9700000007,
FS(22),915833.9099999999,907358.4800000001,843209.3999999999,822405.1600000000,816225.7500000001,842273.7999999999,855282.1800000001,929051.3300000001,883455.8000000000,895024.4099999999,869212.6200000001,927443.9200000000,10506780.7599999979,
