代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12310251.2500000019
真實報酬,2310251.2500000019
趨勢值,0.2210277854

選擇檔數,7
找到最佳解世代,2345
找到最佳解實驗,1
Stock#,AAPL,AXP,KO,PG,TRV,UTX,WBA,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,70027,62111,58095,27472,34733,27325,48690,
剩餘資金,20.2000000001,18.0000000000,14.9500000000,27.0000000000,2.7099999999,20.0000000000,6.4000000000,
FS(22),1634450.3800000001,1759622.6299999999,1447742.3500000001,1524997.7200000000,1495953.0200000000,1488412.7500000000,1511830.8999999999,10863012.7499999981,
FS(23),1665262.2600000002,1779498.1499999999,1440770.9500000000,1527744.9199999999,1563682.3700000001,1507813.5000000000,1513778.5000000000,10998553.6499999985,
FS(24),1656158.7500000000,1783224.8100000001,1437866.2000000000,1523624.1200000001,1606751.2899999998,1497156.7500000000,1479695.5000000000,10984480.4199999981,
FS(25),1651957.1300000001,1885707.9600000000,1428571.0000000000,1481042.5200000000,1617865.8499999999,1481581.5000000000,1473365.8000000000,11020094.7599999998,
FS(26),1640052.5400000003,1944713.4099999999,1434961.4500000000,1413736.1200000001,1624812.4500000000,1504534.5000000000,1486512.0999999999,11049325.5700000003,
FS(27),1655458.4800000002,2030426.5899999999,1433218.6000000001,1429395.1599999999,1648430.8899999999,1519016.7500000000,1495763.2000000000,11211712.6700000018,
FS(28),1647755.5100000002,2008687.7400000002,1436123.3499999999,1433241.2400000000,1612308.5700000001,1527214.2500000000,1495763.2000000000,11161096.8600000013,
FS(29),1628848.2200000002,1957135.6100000001,1424504.3499999999,1426647.9600000000,1560556.3999999999,1523935.2500000000,1496736.9999999998,11018367.7900000010,
FS(30),1654057.9400000002,1975147.8000000000,1407656.8000000000,1430768.7600000000,1612655.8999999999,1589515.2500000000,1524977.2000000000,11194782.6500000004,
FS(31),1684869.8200000001,1986327.7800000000,1397780.6499999999,1436812.5999999999,1648778.2200000000,1568475.0000000000,1550782.8999999999,11273829.9699999988,
FS(32),1668763.6100000001,1970178.9199999999,1408237.7499999998,1438735.6399999999,1641136.9600000000,1563283.2500000000,1539584.2000000000,11229923.3300000001,
FS(33),1596635.8000000003,1887571.2900000000,1414628.2000000000,1434340.1200000001,1618907.8399999999,1533772.2500000000,1488459.7000000000,10974318.2000000011,
FS(34),1640752.8100000001,1968315.5900000001,1412304.3999999999,1440933.4000000001,1650167.5399999998,1552353.2500000000,1500632.2000000000,11165462.1900000013,
FS(35),1646354.9700000002,1968936.7000000000,1433799.5500000000,1450548.5999999999,1665797.3899999999,1530220.0000000000,1506961.8999999999,11202622.1099999994,
FS(36),1663861.7200000002,2019867.7200000002,1435542.3999999999,1456592.4400000002,1660587.4399999999,1564649.5000000000,1504040.5000000000,11305144.7200000007,
FS(37),1692572.7900000003,2040364.3500000001,1450066.1499999999,1471976.7600000000,1674133.3100000001,1604270.7500000000,1540071.0999999999,11473458.2099999990,
FS(38),1691172.2500000000,2029184.3700000001,1425085.3000000000,1465383.4800000000,1665450.0600000001,1620392.5000000000,1529359.2999999998,11426030.2599999998,
FS(39),1694673.6000000001,2038501.0200000000,1415790.1000000001,1467031.8000000000,1682121.8999999999,1631595.7500000000,1584378.9999999998,11514096.1699999999,
FS(40),1675066.0400000003,2058376.5400000000,1428571.0000000000,1465932.9199999999,1694625.7800000000,1633235.2500000000,1626739.2999999998,11582549.8300000001,
FS(41),1695373.8700000003,2109307.5600000001,1436123.3499999999,1457691.3200000001,1708866.3100000001,1639793.2500000000,1638424.8999999999,11685583.5600000005,
FS(42),1700976.0300000000,2126698.6400000001,1425085.3000000000,1461262.6799999999,1723106.8399999999,1629683.0000000000,1639885.5999999999,11706701.0899999980,
FS(43),1682769.0100000002,2100612.0200000000,1416952.0000000000,1486536.9199999999,1751240.5700000001,1622032.0000000000,1649623.6000000001,11709769.1199999992,
FS(44),1653357.6700000002,1986327.7800000000,1409980.5999999999,1456592.4400000002,1710950.2899999998,1613834.5000000000,1657413.9999999998,11488460.2800000012,
FS(45),1652657.4000000004,1984464.4500000000,1446580.4500000000,1450548.5999999999,1707129.6599999999,1608096.2500000000,1646215.3000000000,11495695.1100000013,
FS(46),1665962.5300000000,2016141.0600000001,1440190.0000000000,1452471.6399999999,1733874.0700000001,1629956.2500000000,1633555.8999999997,11572154.4499999993,
FS(47),1703777.1100000001,2039743.2400000002,1451228.0500000000,1452196.9199999999,1740820.6699999999,1653729.0000000000,1647676.0000000000,11689173.9900000002,
FS(48),1729687.1000000001,2080115.3900000001,1464589.8999999999,1489009.4000000001,1700877.7200000000,1649903.5000000000,1654492.5999999999,11768678.6099999994,
FS(49),1712180.3500000001,2117381.9900000002,1470980.3499999999,1476921.7200000000,1706782.3300000001,1673403.0000000000,1650597.3999999999,11808250.1399999987,
FS(50),1726185.7500000000,2136636.3999999999,1469237.5000000000,1539557.8799999999,1685247.8700000001,1692803.7500000000,1664717.4999999998,11914389.6499999985,
FS(51),1721984.1300000001,2122350.8700000001,1496542.1500000001,1528569.0800000001,1681427.2399999998,1693896.7500000000,1659361.5999999999,11904134.8199999984,
FS(52),1738090.3400000003,2106823.1200000001,1515132.5499999998,1519228.5999999999,1701572.3800000001,1682147.0000000000,1667152.0000000000,11930148.9900000002,
FS(53),1752095.7400000002,2152164.1499999999,1523846.8000000000,1511811.1599999999,1702267.0399999998,1674769.2500000000,1658387.8000000000,11975344.9399999995,
FS(54),1819321.6600000001,2226076.2400000002,1530237.2500000000,1519503.3200000001,1696709.7600000000,1692803.7500000000,1685167.2999999998,12169822.2800000012,
FS(55),1845931.9200000002,2173903.0000000000,1551732.3999999999,1525547.1599999999,1656766.8100000001,1708379.0000000000,1671047.2000000000,12133310.4900000002,
FS(56),1850833.8100000001,2159617.4700000002,1561608.5499999998,1574722.0400000000,1645304.9199999999,1716576.5000000000,1679811.3999999999,12188477.6899999995,
FS(57),1841030.0300000000,2096885.3599999999,1539532.4500000000,1568678.2000000000,1659892.7800000000,1712477.7500000000,1681758.9999999998,12100258.5699999984,
FS(58),1845231.6500000004,2109928.6699999999,1535465.8000000000,1572524.2800000000,1652946.1800000002,1727779.7500000000,1686141.1000000001,12130020.4299999997,
FS(59),1855735.7000000002,2086947.6000000001,1527332.5000000000,1572799.0000000000,1642526.2800000000,1714390.5000000000,1667152.0000000000,12066886.5800000001,
FS(60),1838929.2200000002,2102475.3500000001,1520361.1000000001,1589007.4800000000,1650514.8700000001,1703460.5000000000,1638424.8999999999,12043176.4199999999,
FS(61),1824223.5500000003,2054028.7700000000,1538951.4999999998,1593677.7200000000,1658503.4600000000,1681600.5000000000,1639885.5999999999,11990874.0999999996,
FS(62),1862038.1300000001,2137257.5099999998,1543599.0999999999,1597798.5200000000,1707476.9899999998,1684333.0000000000,1664717.4999999998,12197223.7499999981,
FS(63),1854335.1600000001,2111170.8900000001,1548827.6499999999,1590930.5200000000,1700530.3899999999,1675315.7500000000,1818577.8999999999,12299691.2599999998,
FS(64),1854335.1600000001,2105580.8999999999,1559865.7000000000,1591205.2400000000,1709908.2999999998,1664932.2500000000,1824420.7000000000,12310251.2500000019,
