代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11237499.5399999991
真實報酬,1237499.5399999991
趨勢值,0.4400302709

選擇檔數,7
找到最佳解世代,2910
找到最佳解實驗,1
Stock#,AXP,JNJ,MMM,MRK,PG,TRV,VZ,
分配資金,1428571,1428571,1428571,1428571,1428571,1428571,1428571,
張數,24316,20166,15072,34556,20587,19607,32269,
剩餘資金,6.0000000000,11.5599999999,46.8400000000,25.9599999999,39.0700000000,4.9800000000,22.3699999999,
FS(51),1607050.4400000002,1596957.0999999999,1603707.6400000001,1523600.0000000000,1571650.6500000001,1613268.9399999999,1549579.7500000000,11065817.5200000014,
FS(52),1599512.4800000000,1589294.0199999998,1588786.3600000001,1507704.2400000000,1567944.9900000000,1618170.6899999999,1573136.1199999999,11044551.9000000004,
FS(53),1583707.0799999998,1590302.3199999998,1585319.8000000003,1510123.1600000001,1587502.6400000001,1631111.3099999998,1579589.9199999999,11067659.2300000004,
FS(54),1604862.0000000000,1602200.2599999998,1592554.3600000001,1524636.6799999999,1597178.5300000000,1643855.8600000001,1568295.7700000000,11133586.4599999990,
FS(55),1590515.5599999998,1593327.2200000000,1581702.5200000000,1513233.2000000000,1589561.3399999999,1642091.2300000000,1574749.5699999998,11085183.6399999987,
FS(56),1610211.5200000000,1608048.3999999997,1604009.0800000001,1517034.3599999999,1590796.5600000001,1640914.8099999998,1581848.7500000000,11152866.4800000004,
FS(57),1607293.5999999999,1606838.4399999999,1585169.0800000001,1509777.5999999999,1578650.2300000002,1634640.5700000001,1586366.4099999997,11108738.9299999978,
FS(58),1633311.7200000000,1630432.6599999997,1598733.8799999999,1533966.8000000000,1593472.8700000001,1634444.5000000000,1596692.4899999998,11221057.9199999981,
FS(59),1632825.4000000001,1638902.3799999997,1586977.7200000002,1523945.5600000001,1586473.2900000000,1634640.5700000001,1579267.2299999997,11183035.1499999985,
FS(60),1640363.3599999999,1644145.5399999998,1602351.1600000001,1527401.1600000001,1586473.2900000000,1650718.3099999998,1586043.7199999997,11237499.5399999991,
