初始資金,10000000
最後資金,11029137.7199999988
真實報酬,1029137.7199999988

二次趨勢線,-37.3200549552x^2 + 20260.9309172406x + 10000000
加權每日預期報酬,17051.4061910970
風險,94397.3120294198
二次趨勢值,0.1806344463

平均每日預期報酬,278.6738647681
風險,94397.3120294198
二次趨勢值,0.0029521377

一次趨勢線,18455.6817473166x + 10000000
每日預期報酬,18455.6817473166
風險,95991.5533709338
一次趨勢值,0.1922636013

投資組合檔數,2
Stock#,MCD,VZ,
FS(1),10000000.0000000000,
FS(2),10010851.8599999994,
FS(3),10004253.0399999991,
FS(4),10012543.3300000019,
FS(5),10104357.7899999991,
FS(6),10240778.6799999997,
FS(7),10262148.2800000012,
FS(8),10093949.6799999997,
FS(9),10257376.6600000001,
FS(10),10196224.4499999993,
FS(11),10177266.7600000016,
FS(12),10314566.4499999993,
FS(13),10313318.7300000004,
FS(14),10203742.1000000015,
FS(15),10169284.4900000021,
FS(16),10194555.6099999994,
FS(17),10160576.5500000007,
FS(18),10226166.2600000016,
FS(19),10196967.5199999996,
FS(20),10313551.9199999981,
FS(21),10156925.6200000010,
FS(22),10194924.5300000012,
FS(23),10423739.3600000031,
FS(24),10432530.8299999982,
FS(25),10452736.2399999984,
FS(26),10506652.7199999988,
FS(27),10567176.7199999988,
FS(28),10509745.0399999991,
FS(29),10551913.4600000009,
FS(30),10534128.6600000001,
FS(31),10490980.5100000016,
FS(32),10593145.6499999985,
FS(33),10638455.1200000010,
FS(34),10648269.8200000003,
FS(35),10773847.5500000007,
FS(36),10841220.9600000009,
FS(37),10826015.1299999990,
FS(38),10753927.5300000012,
FS(39),10866166.6600000001,
FS(40),10879179.8399999999,
FS(41),10846246.6400000006,
FS(42),10823286.5000000000,
FS(43),10815716.6500000022,
FS(44),10895642.0899999999,
FS(45),10921457.8900000006,
FS(46),11074718.6499999985,
FS(47),10990698.5300000012,
FS(48),10969311.5300000012,
FS(49),10969478.5899999999,
FS(50),10967009.2500000000,
FS(51),10883415.4800000004,
FS(52),10839696.5500000007,
FS(53),10970414.8200000003,
FS(54),11000039.9100000001,
FS(55),11015715.5899999999,
FS(56),10919494.9600000009,
FS(57),11030578.6000000015,
FS(58),11083590.1799999997,
FS(59),11018686.1099999994,
FS(60),11073340.4299999997,
FS(61),11102982.9200000018,
FS(62),11013571.6700000018,
FS(63),10996656.9699999988,
FS(64),11029137.7199999988,
