初始資金,10000000
最後資金,11423560.8999999985
真實報酬,1423560.8999999985

二次趨勢線,-155.5979543175x^2 + 36783.6442940410x + 10000000
加權每日預期報酬,23402.2202227400
風險,246564.3633738391
二次趨勢值,0.0949132304

平均每日預期報酬,416.7152697407
風險,246564.3633738391
二次趨勢值,0.0016900872

一次趨勢線,29257.0455735689x + 10000000
每日預期報酬,29257.0455735689
風險,257041.1560104618
一次趨勢值,0.1138224167

投資組合檔數,1
Stock#,UNH,
FS(1),10000000.0000000000,
FS(2),9929936.5999999996,
FS(3),9832803.2500000000,
FS(4),9859873.2000000011,
FS(5),9963375.9499999993,
FS(6),10140126.8000000007,
FS(7),10179935.5500000007,
FS(8),10164012.0499999989,
FS(9),10214967.2500000000,
FS(10),10159235.0000000000,
FS(11),10249998.9500000011,
FS(12),10458596.8000000007,
FS(13),10391718.1000000015,
FS(14),10159235.0000000000,
FS(15),10175158.5000000000,
FS(16),10294584.7500000000,
FS(17),10148088.5499999989,
FS(18),10315285.3000000007,
FS(19),10523883.1500000004,
FS(20),10426749.8000000007,
FS(21),10450635.0499999989,
FS(22),10393310.4499999993,
FS(23),10436303.9000000004,
FS(24),10536621.9500000011,
FS(25),10757958.5999999996,
FS(26),10823244.9499999993,
FS(27),10778659.1500000004,
FS(28),10885346.5999999996,
FS(29),10828022.0000000000,
FS(30),10767512.7000000011,
FS(31),10654455.8499999996,
FS(32),10546176.0500000007,
FS(33),11234071.2500000000,
FS(34),11377382.7500000000,
FS(35),11493624.3000000007,
FS(36),11574834.1500000004,
FS(37),11549356.5500000007,
FS(38),11563687.7000000011,
FS(39),11498401.3499999996,
FS(40),11590757.6500000004,
FS(41),11507955.4499999993,
FS(42),11600311.7500000000,
FS(43),11649674.5999999996,
FS(44),11506363.1000000015,
FS(45),11678336.9000000004,
FS(46),11662413.3999999985,
FS(47),11611458.2000000011,
FS(48),11652859.3000000007,
FS(49),11613050.5500000007,
FS(50),11527063.6500000004,
FS(51),11679929.2500000000,
FS(52),11542987.1499999985,
FS(53),11369421.0000000000,
FS(54),11374198.0500000007,
FS(55),11418783.8499999996,
FS(56),11538210.0999999996,
FS(57),11441076.7500000000,
FS(58),11460184.9499999993,
FS(59),11550948.9000000004,
FS(60),11525471.2999999989,
FS(61),11388529.1999999993,
FS(62),11391713.9000000004,
FS(63),11535025.4000000004,
FS(64),11423560.8999999985,
