初始資金,10000000
最後資金,11498736.2100000009
真實報酬,1498736.2100000009

二次趨勢線,20.9826606253x^2 + 23297.9879557928x + 10000000
加權每日預期報酬,25018.5661270666
風險,59208.8388270634
二次趨勢值,0.4225478260

平均每日預期報酬,403.2608674518
風險,59208.8388270634
二次趨勢值,0.0068108221

一次趨勢線,24265.7492056081x + 10000000
每日預期報酬,24265.7492056081
風險,59875.0082814531
一次趨勢值,0.4052734171

投資組合檔數,7
Stock#,AAPL,HD,IBM,MCD,MSFT,PFE,TRV,
FS(1),10000000.0000000000,
FS(2),9998667.5700000003,
FS(3),10059694.3499999978,
FS(4),10124397.6999999993,
FS(5),10175278.9100000001,
FS(6),10098962.3900000006,
FS(7),10216540.8900000006,
FS(8),10164553.4699999988,
FS(9),10161768.0500000007,
FS(10),10091034.4800000004,
FS(11),10135217.2100000009,
FS(12),10169276.7100000009,
FS(13),10123294.9699999988,
FS(14),10382250.6999999993,
FS(15),10373137.6400000006,
FS(16),10375143.5999999978,
FS(17),10473312.4499999993,
FS(18),10498339.4899999984,
FS(19),10390161.8700000010,
FS(20),10496947.6799999997,
FS(21),10451637.3999999985,
FS(22),10538805.9299999997,
FS(23),10586188.3700000010,
FS(24),10634608.9100000001,
FS(25),10672796.2800000012,
FS(26),10655789.6799999997,
FS(27),10695734.0000000000,
FS(28),10686845.2100000009,
FS(29),10696052.2100000009,
FS(30),10672978.1499999985,
FS(31),10724702.0299999975,
FS(32),10811149.0999999978,
FS(33),10812016.7899999991,
FS(34),10946864.0600000024,
FS(35),10939621.6799999997,
FS(36),10813503.6099999994,
FS(37),10973292.5899999999,
FS(38),10926668.1499999985,
FS(39),10879481.8200000003,
FS(40),10942532.0800000019,
FS(41),10935075.6999999993,
FS(42),10966478.4600000009,
FS(43),10949561.8799999990,
FS(44),11070553.8299999982,
FS(45),11032811.1699999981,
FS(46),11111783.0100000016,
FS(47),11131762.6000000015,
FS(48),11212955.4899999984,
FS(49),11168120.4200000018,
FS(50),11240105.0500000007,
FS(51),11253479.4100000001,
FS(52),11160011.9100000001,
FS(53),11289681.5799999982,
FS(54),11330079.5399999991,
FS(55),11389694.6499999985,
FS(56),11368258.3999999985,
FS(57),11407507.6700000018,
FS(58),11432137.1999999993,
FS(59),11439918.1400000006,
FS(60),11502442.5000000000,
FS(61),11498736.2100000009,
