代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12183702.9399999995
真實報酬,2183702.9399999995
趨勢值,0.1104355002

選擇檔數,3
找到最佳解世代,2017
找到最佳解實驗,1
Stock#,MCD,PFE,UNH,
分配資金,3333333,3333333,3333333,
張數,43516,188536,89774,
剩餘資金,7.4000000002,16.5200000001,24.3799999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3233681.3600000003,3391779.1599999997,3363856.1599999997,9989317.6799999997,
FS(3),3248911.9600000004,3414403.4800000000,3374629.0400000000,10037945.4800000004,
FS(4),3229329.7600000002,3427601.0000000000,3444652.7599999998,10101584.5199999996,
FS(5),3236292.3200000008,3457766.7599999998,3451834.6800000002,10145894.7600000016,
FS(6),3201044.3600000003,3442683.8800000004,3451834.6800000002,10095563.9200000018,
FS(7),3215839.8000000007,3435142.4399999999,3508392.2999999998,10159375.5400000010,
FS(8),3202785.0000000000,3463422.8400000003,3488642.0200000000,10154850.8600000013,
FS(9),3162315.1200000006,3435142.4399999999,3555074.7799999998,10152533.3399999999,
FS(10),3222802.3600000003,3457766.7599999998,3660110.3600000003,10340680.4800000004,
FS(11),3249782.2800000007,3465308.1999999997,3669985.5000000000,10385076.9800000023,
FS(12),3278938.0000000000,3453996.0400000000,3641257.8200000003,10374192.8600000013,
FS(13),3270669.9600000004,3438913.1599999997,3618814.3200000003,10328398.4400000013,
FS(14),3264142.5600000005,3461537.4800000000,3627791.7199999997,10353472.7599999998,
FS(15),3280243.4800000000,3478505.7199999997,3573927.3200000003,10332677.5199999996,
FS(16),3284595.0800000005,3482276.4399999999,3646644.2599999998,10413516.7799999993,
FS(17),3271105.1200000006,3461537.4800000000,3613427.8799999999,10346071.4800000004,
FS(18),3235422.0000000000,3484161.8000000003,3796566.8399999999,10516151.6400000006,
FS(19),3188859.8800000004,3421944.9199999999,3674474.1999999997,10285280.0000000000,
FS(20),3205831.1200000006,3435142.4399999999,3685247.0799999996,10326221.6400000006,
FS(21),3197127.9200000004,3623678.4399999999,3776816.5600000001,10597623.9199999999,
FS(22),3204525.6400000006,3574659.0800000001,3766043.6800000002,10545229.4000000022,
FS(23),3212793.6800000002,3614251.6400000001,3863897.3399999999,10690943.6600000001,
FS(24),3222367.2000000002,3638761.3200000003,3814521.6400000001,10675651.1600000001,
FS(25),3196257.6000000006,3589741.9600000000,3753475.3200000003,10539475.8800000008,
FS(26),3279373.1600000001,3612366.2800000003,3767839.1599999997,10659579.5999999996,
FS(27),3304177.2800000007,3591627.3200000003,3776816.5600000001,10672622.1600000020,
FS(28),3296779.5600000005,3587856.6000000001,3809135.1999999997,10693772.3600000013,
FS(29),3313315.6400000006,3550149.3999999999,3804646.5000000000,10668112.5400000010,
FS(30),3317667.2400000002,3591627.3200000003,3811828.4199999999,10721123.9800000004,
FS(31),3313750.8000000007,3591627.3200000003,3773225.6000000001,10678604.7200000007,
FS(32),3308093.7200000002,3634990.6000000001,3815419.3799999999,10758504.7000000011,
FS(33),3306353.0800000005,3651958.8400000003,3823499.0400000000,10781811.9600000009,
FS(34),3312880.4800000000,3618022.3600000003,3845942.5400000000,10776846.3800000008,
FS(35),3294168.6000000006,3561461.5600000001,3856715.4199999999,10712346.5800000019,
FS(36),3271975.4400000004,3536951.8800000004,3852226.7199999997,10661155.0400000010,
FS(37),3272845.7600000002,3563346.9199999999,3837862.8799999999,10674056.5600000005,
FS(38),3239338.4400000004,3555805.4800000000,3817214.8600000003,10612359.7800000012,
FS(39),3293298.2800000007,3627449.1599999997,3822601.2999999998,10743349.7400000002,
FS(40),3258920.6400000006,3608595.5600000001,3810930.6800000002,10678447.8800000008,
FS(41),3250217.4400000004,3618022.3600000003,3910579.8200000003,10778820.6200000010,
FS(42),3317667.2400000002,3727373.2399999998,4021001.8399999999,11066043.3200000003,
FS(43),3308528.8800000004,3706634.2800000003,3990478.6800000002,11005642.8400000017,
FS(44),3319843.0400000005,3697207.4800000000,3910579.8200000003,10927631.3399999999,
FS(45),3287206.0400000005,3710405.0000000000,3934818.7999999998,10932430.8399999999,
FS(46),3297649.8800000004,3706634.2800000003,3994069.6400000001,10998354.8000000007,
FS(47),3336814.2800000007,3650073.4800000000,3931227.8399999999,10918116.5999999996,
FS(48),3338990.0800000005,3670812.4399999999,3913273.0400000000,10923076.5600000005,
FS(49),3292863.1200000006,3734914.6799999997,3874670.2199999997,10902449.0199999996,
FS(50),3268929.3200000008,3725487.8800000004,3841453.8399999999,10835872.0400000010,
FS(51),3193211.4800000000,3638761.3200000003,3757964.0200000000,10589937.8200000003,
FS(52),3194081.8000000007,3748112.1999999997,3794771.3600000003,10736966.3600000013,
FS(53),3176240.2400000002,3804673.0000000000,3824396.7799999998,10805311.0199999996,
FS(54),3209747.5600000005,3766965.8000000003,3877363.4399999995,10854077.8000000007,
FS(55),3214534.3200000008,3759424.3600000003,3836965.1400000001,10810924.8200000022,
FS(56),3243254.8800000004,3755653.6400000001,3837862.8799999999,10836772.4000000022,
FS(57),3260661.2800000007,3827297.3200000003,3932125.5799999996,11020085.1800000016,
FS(58),3274586.4000000004,3836724.1200000001,3927636.8799999999,11038948.4000000022,
FS(59),3263707.4000000004,3821641.2399999998,3938409.7599999998,11023759.4000000004,
FS(60),3279808.3200000008,3842380.1999999997,3993171.8999999994,11115361.4200000018,
FS(61),3298955.3600000003,3834838.7599999998,4075763.9800000000,11209559.1000000015,
FS(62),3311139.8400000003,3829182.6799999997,4057809.1800000002,11198132.7000000011,
FS(63),3306788.2400000002,3842380.1999999997,4094616.5200000000,11243785.9600000009,
FS(64),3324194.6400000006,3872545.9600000000,4093718.7799999998,11290460.3800000008,
FS(65),3333333.0000000000,3855577.7199999997,4047934.0400000000,11236845.7600000016,
FS(66),3338554.9200000004,3825411.9600000000,4036263.4199999999,11200231.3000000007,
FS(67),3307658.5600000005,3832953.3999999999,3988683.1999999997,11129296.1600000001,
FS(68),3308964.0400000005,3857463.0800000001,3984194.5000000000,11150622.6200000010,
FS(69),3318102.4000000004,3897055.6400000001,3978808.0600000001,11193967.1000000015,
FS(70),3335943.9600000004,3857463.0800000001,4022797.3200000003,11216205.3600000013,
FS(71),3345952.6400000006,3857463.0800000001,3979705.7999999998,11183122.5200000014,
FS(72),3353785.5200000000,3863119.1599999997,4023695.0600000001,11240600.7400000002,
FS(73),3367275.4800000000,3870660.6000000001,4038058.8999999994,11275995.9800000004,
FS(74),3350739.4000000004,3846150.9199999999,3909682.0799999996,11106573.4000000004,
FS(75),3333333.0000000000,3870660.6000000001,3946489.4199999999,11150484.0200000014,
FS(76),3411661.8000000007,3844265.5600000001,3971626.1400000001,11227554.5000000019,
FS(77),3346822.9600000004,3731143.9600000000,4292119.3200000003,11370087.2400000002,
FS(78),3356396.4800000000,3797131.5600000001,4283141.9199999999,11436670.9600000009,
FS(79),3348128.4400000004,3806558.3600000003,4250823.2800000003,11405511.0800000001,
FS(80),3388598.3200000008,3889514.1999999997,4328028.9199999999,11606142.4400000013,
FS(81),3395560.8800000004,3927221.3999999999,4407927.7800000003,11730711.0600000005,
FS(82),3407745.3600000003,3953616.4399999999,4419598.3999999994,11780961.2000000011,
FS(83),3422105.6400000006,3963043.2399999998,4477951.5000000000,11863101.3800000008,
FS(84),3435160.4400000004,3853692.3600000003,4459996.7000000002,11748850.5000000000,
FS(85),3440817.5200000000,3891399.5600000001,4449223.8200000003,11781441.9000000004,
FS(86),3420365.0000000000,3844265.5600000001,4451019.2999999998,11715650.8599999994,
FS(87),3424716.6000000006,3874431.3200000003,4499497.2599999998,11798646.1799999997,
FS(88),3451261.3600000003,3883858.1200000001,4530918.1600000001,11866038.6400000006,
FS(89),3468667.7600000002,3932877.4800000000,4534509.1200000001,11936055.3599999994,
FS(90),3459964.5600000005,3885743.4800000000,4490519.8600000003,11836228.9000000004,
FS(91),3510007.9600000004,3938533.5600000001,4495906.2999999998,11944448.8200000003,
FS(92),3513489.2400000002,3944189.6400000001,4484235.6799999997,11941915.5600000005,
FS(93),3530895.6400000006,3955501.8000000003,4503985.9600000000,11990384.4000000022,
FS(94),3521757.2800000007,3985667.5600000001,4487826.6399999997,11995252.4800000023,
FS(95),3546561.4000000004,3993209.0000000000,4543486.5199999996,12083257.9199999999,
FS(96),3590512.5600000005,3964928.6000000001,4538100.0800000001,12093542.2400000002,
FS(97),3582679.6800000002,3900826.3600000003,4465383.1399999997,11948890.1800000016,
FS(98),3590077.4000000004,3881972.7599999998,4413314.2199999997,11885365.3800000008,
FS(99),3596169.6400000006,3868775.2399999998,4305585.4199999999,11770531.3000000007,
FS(100),3599650.9200000004,3917794.6000000001,4297505.7599999998,11814952.2800000012,
FS(101),3587031.2800000007,3940418.9199999999,4282244.1799999997,11809695.3800000008,
FS(102),3551783.3200000008,3946075.0000000000,4336108.5800000001,11833967.9000000004,
FS(103),3548302.0400000005,4044113.7199999997,4394461.6799999997,11986878.4400000013,
FS(104),3523933.0800000005,3968699.3200000003,4340597.2800000003,11833230.6800000016,
FS(105),3513924.4000000004,3959272.5200000000,4433962.2400000002,11907160.1600000001,
FS(106),3504786.0400000005,3929106.7599999998,4385484.2800000003,11819378.0800000001,
FS(107),3511748.6000000006,3910253.1599999997,4322642.4799999995,11744645.2400000002,
FS(108),3530895.6400000006,3910253.1599999997,4306483.1600000001,11747632.9600000009,
FS(109),3531330.8000000007,3898941.0000000000,4327131.1799999997,11757403.9800000004,
FS(110),3536117.5600000005,3912138.5200000000,4542588.7800000003,11990845.8600000013,
FS(111),3496953.1600000001,3791475.4800000000,4435757.7199999997,11724187.3599999994,
FS(112),3513054.0800000005,3857463.0800000001,4408825.5199999996,11779343.6800000016,
FS(113),3545255.9200000004,3880087.3999999999,4452814.7800000003,11878159.0999999996,
FS(114),3535247.2400000002,3806558.3600000003,4430371.2800000003,11772177.8800000008,
FS(115),3560051.3600000003,3815985.1599999997,4458201.2199999997,11834238.7400000002,
FS(116),3590947.7200000002,3819755.8800000004,4485133.4199999999,11895838.0200000014,
FS(117),3598345.4400000004,3821641.2399999998,4602737.3600000003,12022725.0400000010,
FS(118),3603132.2000000002,3851807.0000000000,4688022.6600000001,12142962.8599999994,
FS(119),3596604.8000000007,3823526.6000000001,4648522.0999999996,12068654.5000000019,
FS(120),3580939.0400000005,3893284.9199999999,4591964.4799999995,12066189.4400000013,
FS(121),3561356.8400000003,3785819.3999999999,4530020.4199999999,11877197.6600000001,
FS(122),3582244.5200000000,3802787.6400000001,4581191.5999999996,11966224.7600000016,
FS(123),3670582.0000000000,3874431.3200000003,4647624.3600000003,12192638.6799999997,
FS(124),3680155.5200000000,3897055.6400000001,4626976.3399999999,12204188.5000000000,
FS(125),3669276.5200000000,3883858.1200000001,4630567.2999999998,12183702.9399999995,
