初始資金,10000000
最後資金,10368766.9000000004
真實報酬,368766.9000000004

二次趨勢線,-152.0708470279x^2 + 27686.3794467703x + 10000000
加權每日預期報酬,23327.0151653033
風險,79007.2655848378
二次趨勢值,0.2952515189

平均每日預期報酬,1159.0867053408
風險,79007.2655848378
二次趨勢值,0.0146706344

一次趨勢線,25235.5632376925x + 10000000
每日預期報酬,25235.5632376925
風險,79404.6623497834
一次趨勢值,0.3178095907

投資組合檔數,1
Stock#,MCD,
FS(1),10000000.0000000000,
FS(2),10038148.2999999989,
FS(3),10054679.2299999986,
FS(4),9994913.5599999987,
FS(5),10007629.6600000001,
FS(6),10085197.8699999992,
FS(7),10136062.2699999977,
FS(8),10110630.0700000003,
FS(9),10256865.2199999988,
FS(10),10267038.0999999978,
FS(11),10317902.5000000000,
FS(12),10291198.6899999995,
FS(13),10363680.4599999990,
FS(14),10492113.0700000003,
FS(15),10469224.0899999980,
FS(16),10490841.4599999990,
FS(17),10508644.0000000000,
FS(18),10518816.8799999990,
FS(19),10481940.1899999995,
FS(20),10378939.7799999993,
FS(21),10368766.9000000004,
