初始資金,10000000
最後資金,10877367.6800000016
真實報酬,877367.6800000016

二次趨勢線,-120.1804271826x^2 + 34650.8096718463x + 10000000
加權每日預期報酬,30885.1562867910
風險,150289.1743779419
二次趨勢值,0.2055048636

平均每日預期報酬,1381.1512791071
風險,150289.1743779419
二次趨勢值,0.0091899585

一次趨勢線,32533.5885291398x + 10000000
每日預期報酬,32533.5885291398
風險,150475.5203393737
一次趨勢值,0.2162051904

投資組合檔數,1
Stock#,WBA,
FS(1),10000000.0000000000,
FS(2),10121950.7200000007,
FS(3),10293020.4800000023,
FS(4),10272695.3600000013,
FS(5),10135500.8000000007,
FS(6),10409889.9200000018,
FS(7),10425133.7599999998,
FS(8),10669035.2000000011,
FS(9),10279470.4000000004,
FS(10),10279470.4000000004,
FS(11),10323508.1600000020,
FS(12),10228657.6000000015,
FS(13),10208332.4800000023,
FS(14),10196476.1600000020,
FS(15),10425133.7599999998,
FS(16),10416664.9600000009,
FS(17),10513209.2800000012,
FS(18),10611447.3600000013,
FS(19),10689360.3200000003,
FS(20),10789292.1600000020,
FS(21),10641935.0400000010,
FS(22),10663953.9200000018,
FS(23),10877367.6800000016,
