初始資金,10000000
最後資金,10846848.3799999990
真實報酬,846848.3799999990

二次趨勢線,861.4714741539x^2 + 32920.8158757268x + 10000000
加權每日預期報酬,55319.0742037277
風險,63607.2259634469
二次趨勢值,0.8696979528

平均每日預期報酬,2639.4865978318
風險,63607.2259634469
二次趨勢值,0.0414966469

一次趨勢線,45511.5528056680x + 10000000
每日預期報酬,45511.5528056680
風險,73586.2997046383
一次趨勢值,0.6184786161

投資組合檔數,2
Stock#,CSCO,HD,
FS(1),10000000.0000000000,
FS(2),10176507.6899999995,
FS(3),10088880.2599999998,
FS(4),10013574.1099999994,
FS(5),10141165.4299999978,
FS(6),10204602.8100000005,
FS(7),10339705.3199999984,
FS(8),10272362.8699999992,
FS(9),10369638.3999999985,
FS(10),10334004.1699999999,
FS(11),10464289.6099999994,
FS(12),10581836.1600000001,
FS(13),10677343.5299999993,
FS(14),10668523.6699999999,
FS(15),10685265.3499999996,
FS(16),10706002.8399999999,
FS(17),10877226.9900000002,
FS(18),10875027.2599999998,
FS(19),10846848.3799999990,
