初始資金,10000000
最後資金,10611285.2199999988
真實報酬,611285.2199999988

二次趨勢線,-172.9226772339x^2 + 32302.7868734891x + 10000000
加權每日預期報酬,26884.5429868280
風險,104318.5500093188
二次趨勢值,0.2577158423

平均每日預期報酬,1224.0279399946
風險,104318.5500093188
二次趨勢值,0.0117335598

一次趨勢線,29256.4043894542x + 10000000
每日預期報酬,29256.4043894542
風險,104873.2250831459
一次趨勢值,0.2789692447

投資組合檔數,1
Stock#,PFE,
FS(1),10000000.0000000000,
FS(2),10026123.3000000007,
FS(3),10329153.5800000001,
FS(4),10271682.3200000003,
FS(5),10245559.0199999996,
FS(6),10282131.6399999987,
FS(7),10271682.3200000003,
FS(8),10114942.5199999996,
FS(9),10172413.7799999993,
FS(10),10350052.2199999988,
FS(11),10323928.9199999999,
FS(12),10083594.5600000005,
FS(13),10386624.8399999999,
FS(14),10543364.6399999987,
FS(15),10438871.4399999995,
FS(16),10417972.8000000007,
FS(17),10407523.4800000004,
FS(18),10606060.5600000005,
FS(19),10632183.8600000013,
FS(20),10590386.5800000001,
FS(21),10647857.8399999999,
FS(22),10626959.1999999993,
FS(23),10611285.2199999988,
