初始資金,10000000
最後資金,10360072.0000000000
真實報酬,360072.0000000000

二次趨勢線,61.8027655221x^2 + 19398.6674705494x + 10000000
加權每日預期報酬,21087.9430614860
風險,99325.4365048928
二次趨勢值,0.2123116072

平均每日預期報酬,1034.8262773256
風險,99325.4365048928
二次趨勢值,0.0104185425

一次趨勢線,20348.3197212544x + 10000000
每日預期報酬,20348.3197212544
風險,99368.7198235903
一次趨勢值,0.2047759069

投資組合檔數,1
Stock#,HD,
FS(1),10000000.0000000000,
FS(2),10002000.4000000004,
FS(3),9971994.4000000004,
FS(4),10126025.1999999993,
FS(5),10118023.5999999996,
FS(6),9873974.8000000007,
FS(7),9951990.4000000004,
FS(8),10128025.6000000015,
FS(9),10194038.8000000007,
FS(10),10340068.0000000000,
FS(11),10408081.6000000015,
FS(12),10364072.8000000007,
FS(13),10314062.8000000007,
FS(14),10294058.8000000007,
FS(15),10222044.4000000004,
FS(16),10248049.5999999996,
FS(17),10384076.7999999989,
FS(18),10376075.1999999993,
FS(19),10392078.4000000004,
FS(20),10360072.0000000000,
