初始資金,10000000
最後資金,10761366.1599999983
真實報酬,761366.1599999983

二次趨勢線,103.8085734346x^2 + 31607.8005330767x + 10000000
加權每日預期報酬,34722.0577361139
風險,35275.2815420285
二次趨勢值,0.9843169556

平均每日預期報酬,1545.2453510033
風險,35275.2815420285
二次趨勢值,0.0438053301

一次趨勢線,33358.7051383398x + 10000000
每日預期報酬,33358.7051383398
風險,35770.2051300920
一次趨勢值,0.9325835571

投資組合檔數,1
Stock#,AXP,
FS(1),10000000.0000000000,
FS(2),10026826.6599999983,
FS(3),10088144.7399999984,
FS(4),10072815.2199999988,
FS(5),10195451.3799999990,
FS(6),10213335.8200000003,
FS(7),10259324.3799999990,
FS(8),10241439.9399999995,
FS(9),10295093.2599999998,
FS(10),10327029.7599999998,
FS(11),10309145.3200000003,
FS(12),10404954.8200000003,
FS(13),10459885.5999999978,
FS(14),10540365.5800000001,
FS(15),10502041.7799999975,
FS(16),10507151.6199999992,
FS(17),10503319.2399999984,
FS(18),10597851.2799999975,
FS(19),10613180.7999999989,
FS(20),10726874.7399999984,
FS(21),10683441.0999999978,
FS(22),10761366.1599999983,
