初始資金,10000000
最後資金,11072770.5400000010
真實報酬,1072770.5400000010

二次趨勢線,-51.8990303204x^2 + 47146.0537000729x + 10000000
加權每日預期報酬,45589.0827904618
風險,50831.1164836218
二次趨勢值,0.8968735283

平均每日預期報酬,2088.7443637593
風險,50831.1164836218
二次趨勢值,0.0410918451

一次趨勢線,46270.6900553360x + 10000000
每日預期報酬,46270.6900553360
風險,50917.4935008331
一次趨勢值,0.9087385665

投資組合檔數,1
Stock#,VZ,
FS(1),10000000.0000000000,
FS(2),10067419.9600000009,
FS(3),10097164.0600000005,
FS(4),10055522.3200000003,
FS(5),10261748.0800000001,
FS(6),10216140.4600000009,
FS(7),10301406.8800000008,
FS(8),10444178.5600000005,
FS(9),10424349.1600000001,
FS(10),10507632.6400000006,
FS(11),10477888.5400000010,
FS(12),10600830.8200000003,
FS(13),10664284.9000000004,
FS(14),10660319.0199999996,
FS(15),10727738.9800000004,
FS(16),10713858.4000000004,
FS(17),10840766.5600000005,
FS(18),10793176.0000000000,
FS(19),10854647.1400000006,
FS(20),10870510.6600000001,
FS(21),10918101.2200000007,
FS(22),11072770.5400000010,
