初始資金,10000000
最後資金,10493004.3799999990
真實報酬,493004.3799999990

二次趨勢線,691.4812563768x^2 + 11116.4994861009x + 10000000
加權每日預期報酬,30938.9621689011
風險,134913.9053555596
二次趨勢值,0.2293237460

平均每日預期報酬,1253.7660536376
風險,134913.9053555596
二次趨勢值,0.0092930825

一次趨勢線,22260.6043853820x + 10000000
每日預期報酬,22260.6043853820
風險,139654.4755225047
一次趨勢值,0.1593977157

投資組合檔數,1
Stock#,BA,
FS(1),10000000.0000000000,
FS(2),9895466.1199999992,
FS(3),9946320.4399999995,
FS(4),10173752.2599999998,
FS(5),9903941.8399999999,
FS(6),10026839.7799999993,
FS(7),10347504.5199999996,
FS(8),10409659.7999999989,
FS(9),10363043.3399999999,
FS(10),10070631.0000000000,
FS(11),10035315.5000000000,
FS(12),9997174.7599999998,
FS(13),10165276.5399999991,
FS(14),10247208.5000000000,
FS(15),10333378.3200000003,
FS(16),10416722.8999999985,
FS(17),10491591.7599999998,
FS(18),10522669.3999999985,
FS(19),10466164.5999999996,
FS(20),10470402.4600000009,
FS(21),10493004.3799999990,
