1,-97.4974822230,27,(0.0000000000、0.0000000000)
2,25.8644367809,21,(0.0000000000、0.0000000000)
3,59.5324564348,22,(0.0000000000、0.0000000000)
4,58.1469161046,19,(0.0000000000、0.0000000000)
5,-69.0664387951,21,(0.0000000000、0.0000000000)
6,-95.7762382885,25,(0.0000000000、0.0000000000)
7,-83.2941679128,22,(0.0000000000、0.0000000000)
8,60.2587969604,17,(0.0000000000、0.0000000000)
9,52.5620288705,19,(0.0000000000、0.0000000000)
10,9.0121158483,7,(0.0000000000、0.0000000000)
11,32.8165532395,18,(0.0000000000、0.0000000000)
12,-97.8392895291,23,(0.0000000000、0.0000000000)
13,-88.7813959166,20,(0.0000000000、0.0000000000)
14,14.6641438032,19,(0.0000000000、0.0000000000)
15,66.6798913541,17,(0.0000000000、0.0000000000)
16,61.0339671010,15,(0.0000000000、0.0000000000)
17,14.5786919767,17,(0.0000000000、0.0000000000)
18,80.7184057131,21,(0.0000000000、0.0000000000)
19,-7.8890346995,7,(0.0000000000、0.0000000000)
20,-41.9171727653,15,(0.0000000000、0.0000000000)
21,-29.0566728721,16,(0.0000000000、0.0000000000)
22,66.3014618366,21,(0.0000000000、0.0000000000)
23,79.5037690359,20,(0.0000000000、0.0000000000)
24,-61.1194189276,16,(0.0000000000、0.0000000000)
25,-26.5785699026,18,(0.0000000000、0.0000000000)
26,2.7863399152,14,(0.0000000000、0.0000000000)
27,-97.2228156377,23,(0.0000000000、0.0000000000)
28,-22.5318155461,18,(0.0000000000、0.0000000000)
29,-87.5301370281,21,(0.0000000000、0.0000000000)
30,80.9564500870,23,(0.0000000000、0.0000000000)
31,2.9938657796,10,(0.0000000000、0.0000000000)
32,10.5624561296,18,(0.0000000000、0.0000000000)
33,-1.6449476608,17,(0.0000000000、0.0000000000)
34,-91.1801507614,17,(0.0000000000、0.0000000000)
35,-60.2038636433,14,(0.0000000000、0.0000000000)
36,-91.9064912870,23,(0.0000000000、0.0000000000)
37,74.5109408856,21,(0.0000000000、0.0000000000)
38,96.4110232856,21,(0.0000000000、0.0000000000)
39,-37.8887295145,13,(0.0000000000、0.0000000000)
40,-13.6875515000,16,(0.0000000000、0.0000000000)
41,-96.7955565050,24,(0.0000000000、0.0000000000)
42,-76.2382885220,24,(0.0000000000、0.0000000000)
43,29.1116061892,13,(0.0000000000、0.0000000000)
44,69.7256385998,22,(0.0000000000、0.0000000000)
45,4.7761467330,15,(0.0000000000、0.0000000000)
46,-51.6037476730,19,(0.0000000000、0.0000000000)
47,12.9123813593,13,(0.0000000000、0.0000000000)
48,8.1209753716,8,(0.0000000000、0.0000000000)
49,-68.4926908170,22,(0.0000000000、0.0000000000)
50,-91.5829950865,21,(0.0000000000、0.0000000000)
51,14.1026032289,14,(0.0000000000、0.0000000000)
52,54.9119541002,15,(0.0000000000、0.0000000000)
53,-42.3383281961,19,(0.0000000000、0.0000000000)
54,-22.3303933836,15,(0.0000000000、0.0000000000)
55,21.4392529069,16,(0.0000000000、0.0000000000)
56,13.0466628010,16,(0.0000000000、0.0000000000)
57,66.6676839503,22,(0.0000000000、0.0000000000)
58,-71.0135196997,19,(0.0000000000、0.0000000000)
59,46.9466231269,22,(0.0000000000、0.0000000000)
60,-45.2375865963,23,(0.0000000000、0.0000000000)
61,16.8797875912,11,(0.0000000000、0.0000000000)
62,62.0166631062,17,(0.0000000000、0.0000000000)
63,-32.3831904050,17,(0.0000000000、0.0000000000)
64,21.4392529069,16,(0.0000000000、0.0000000000)
65,-32.9020050661,10,(0.0000000000、0.0000000000)
66,51.5976439711,18,(0.0000000000、0.0000000000)
67,5.0447096164,19,(0.0000000000、0.0000000000)
68,-90.2768028809,20,(0.0000000000、0.0000000000)
69,43.1073946348,17,(0.0000000000、0.0000000000)
70,-26.7250587481,19,(0.0000000000、0.0000000000)
71,74.1752372814,23,(0.0000000000、0.0000000000)
72,-49.7177037873,16,(0.0000000000、0.0000000000)
73,-73.5770744957,22,(0.0000000000、0.0000000000)
74,61.8335520493,22,(0.0000000000、0.0000000000)
75,-67.5710318308,18,(0.0000000000、0.0000000000)
76,-14.6275215918,21,(0.0000000000、0.0000000000)
77,46.6597491379,19,(0.0000000000、0.0000000000)
78,59.4042786950,19,(0.0000000000、0.0000000000)
79,-39.4634846034,23,(0.0000000000、0.0000000000)
80,-48.5518967254,19,(0.0000000000、0.0000000000)
81,58.5741752373,21,(0.0000000000、0.0000000000)
82,-90.7467879269,24,(0.0000000000、0.0000000000)
83,-93.8413647877,25,(0.0000000000、0.0000000000)
84,-26.8288216803,15,(0.0000000000、0.0000000000)
85,-14.8411511582,16,(0.0000000000、0.0000000000)
86,51.4877773370,17,(0.0000000000、0.0000000000)
87,21.7566454054,18,(0.0000000000、0.0000000000)
88,74.9565111240,25,(0.0000000000、0.0000000000)
89,-92.0102542192,16,(0.0000000000、0.0000000000)
90,76.9707327494,19,(0.0000000000、0.0000000000)
91,-72.2586748863,21,(0.0000000000、0.0000000000)
92,-83.7092196417,20,(0.0000000000、0.0000000000)
93,-13.8523514512,18,(0.0000000000、0.0000000000)
94,-4.2451246681,18,(0.0000000000、0.0000000000)
95,32.3831904050,17,(0.0000000000、0.0000000000)
96,57.2862941374,21,(0.0000000000、0.0000000000)
97,84.7712637715,23,(0.0000000000、0.0000000000)
98,76.1223181860,21,(0.0000000000、0.0000000000)
99,39.5123142186,16,(0.0000000000、0.0000000000)
100,-39.6465956603,21,(0.0000000000、0.0000000000)
最佳解平均,0.0000000000
計算次數平均,18
