代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,12376111.5899999999
真實報酬,2376111.5899999999
趨勢值,0.4666121025

選擇檔數,6
找到最佳解世代,2316
找到最佳解實驗,1
Stock#,AAPL,GS,HD,IBM,MSFT,UNH,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,28368,17477,39550,8946,62258,32368,
剩餘資金,46.0000000000,59.2800000000,29.0000000000,26.1999999999,19.3400000000,37.6799999999,
FS(31),2017010.7999999998,1977931.3700000001,1807859.5000000000,1719894.7000000000,1870872.2400000002,1767977.8399999999,11161550.4499999993,
FS(32),2035166.3199999998,2005370.2600000000,1816560.5000000000,1726783.1200000001,1948072.1599999999,1773480.3999999999,11305436.7599999998,
FS(33),2034882.6400000001,2025818.3499999999,1847409.5000000000,1730361.5199999998,1945581.8400000001,1769919.9199999999,11353977.7700000014,
FS(34),2086512.3999999999,2038401.7900000000,1855715.0000000000,1730093.1399999999,1957410.8600000001,1790635.4399999999,11458772.6299999990,
FS(35),2079136.7200000002,1998729.0000000000,1841872.5000000000,1734387.2200000000,1946827.0000000000,1786103.9199999999,11387060.3600000013,
FS(36),2092753.3599999999,2023895.8799999999,1856901.5000000000,1767845.2600000000,1953052.8000000000,1778335.5999999999,11472788.4000000004,
FS(37),2117149.8399999999,2025119.2700000000,1858087.9999999998,1769187.1599999999,1959901.1800000002,1801316.8799999999,11530766.3300000001,
FS(38),2130766.4800000000,2031410.9900000000,1856110.5000000000,1767129.5800000001,1951807.6400000001,1803906.3199999998,11541135.5099999998,
FS(39),2169914.3199999998,2046790.7500000000,1867975.4999999998,1771155.2799999998,1984181.8000000000,1807466.8000000000,11647488.4499999993,
FS(40),2198282.3199999998,2012361.0600000001,1881422.5000000000,1759972.7799999998,1976088.2600000000,1804553.6799999999,11632684.5999999996,
FS(41),2206509.0400000000,2117048.2899999996,1877072.0000000000,1767129.5800000001,2010330.1599999999,1812322.0000000000,11790415.0700000003,
FS(42),2209345.8399999999,2096600.2000000000,1875094.4999999998,1778580.4600000000,1997255.9800000000,1807466.8000000000,11764347.7799999993,
FS(43),2160836.5600000001,2073355.7900000000,1874303.5000000000,1795130.5599999998,1979823.7400000002,1781572.3999999999,11665026.5500000007,
FS(44),2148922.0000000000,1986669.8700000001,1834753.5000000000,1764714.1599999999,1964881.8200000001,1762798.9600000000,11462744.3099999987,
FS(45),2150624.0800000001,2034382.0800000001,1874303.5000000000,1769276.6200000001,1982314.0600000001,1760533.2000000000,11571437.5400000010,
FS(46),2196580.2400000002,2047839.3700000001,1891310.0000000000,1787526.4600000000,1992897.9199999999,1800022.1599999999,11716180.1500000004,
FS(47),2209345.8399999999,2049936.6100000001,1902384.0000000000,1794772.7200000000,1991652.7600000000,1805524.7200000000,11753620.6499999985,
FS(48),2237146.4800000000,2044693.5100000000,1921763.5000000002,1798172.2000000000,1994765.6599999999,1780925.0400000000,11777470.3899999987,
FS(49),2302392.8799999999,2176644.8599999999,1943516.0000000000,1823042.0800000001,2033988.2000000002,1790959.1199999999,12070547.1399999987,
FS(50),2389482.6400000001,2103765.7700000000,1956567.5000000000,1831451.3199999998,2040214.0000000002,1805524.7200000000,12127009.9499999993,
FS(51),2373029.2000000002,2150778.8999999999,1945889.0000000000,1842902.2000000000,2045194.6400000001,1803258.9600000000,12161056.9000000004,
FS(52),2373029.2000000002,2148506.8900000001,1939956.5000000000,1842991.6599999999,2029630.1400000001,1799374.8000000000,12133493.1899999995,
FS(53),2436006.1600000001,2172450.3799999999,1931255.5000000000,1840397.3199999998,2004726.9400000002,1816853.5200000000,12201693.8200000003,
FS(54),2455863.7599999998,2202510.8199999998,1953008.0000000000,1827246.7000000000,1991652.7600000000,1773156.7200000000,12203442.7600000016,
FS(55),2441679.7599999998,2201986.5099999998,1969223.5000000000,1831182.9399999999,1986672.1200000001,1746938.6399999999,12177687.4699999988,
FS(56),2428914.1600000001,2180140.2599999998,1964873.0000000000,1838339.7400000000,1992275.3400000001,1744025.5200000000,12148572.0199999996,
FS(57),2415581.2000000002,2205307.1400000001,1959336.0000000000,1838250.2799999998,1992897.9199999999,1736904.5599999998,12148281.1000000015,
FS(58),2459835.2799999998,2238338.6699999995,1982670.5000000000,1858736.6200000001,2029007.5600000003,1783514.4800000000,12352107.1100000013,
FS(59),2490189.0400000000,2207928.6899999999,1979111.0000000000,1853458.4800000000,2024649.5000000002,1794195.9199999999,12349536.6300000008,
FS(60),2502954.6400000001,2208453.0000000000,1973969.4999999998,1854442.5399999998,2004104.3599999999,1794519.5999999999,12338447.6400000006,
FS(61),2471466.1600000001,2163012.7999999998,1973969.4999999998,1863209.6200000001,1999746.2999999998,1880942.1599999999,12352350.5400000010,
FS(62),2429765.2000000002,2173673.7700000000,1989789.5000000000,1866609.1000000001,2008462.4199999999,1907807.5999999999,12376111.5899999999,
