代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11305380.4400000013
真實報酬,1305380.4400000013
趨勢值,0.2648913994

選擇檔數,6
找到最佳解世代,4540
找到最佳解實驗,1
Stock#,AAPL,DD,GS,MSFT,PG,XOM,
分配資金,1666666,1666666,1666666,1666666,1666666,1666666,
張數,23908,30547,10482,49632,21883,19379,
剩餘資金,39.3200000001,21.6799999999,28.0000000000,23.4400000001,56.7200000001,72.0000000000,
FS(36),1774491.0800000001,1727149.0599999998,1746329.2000000000,1823503.1200000003,1845668.9399999999,1849216.1799999999,10766361.5800000001,
FS(37),1758950.8799999999,1707904.4499999997,1729558.0000000000,1840378.0000000000,1853327.9900000000,1834875.7200000002,10724999.0400000010,
FS(38),1779989.9200000002,1724094.3599999999,1751255.7400000000,1856260.2400000000,1852890.3300000001,1835069.5100000000,10799564.0999999996,
FS(39),1775447.4000000001,1725316.2399999998,1762052.2000000000,1864697.6800000002,1859017.5700000001,1841270.7900000000,10827805.8800000008,
FS(40),1788835.8799999999,1696907.5299999998,1776517.3599999999,1868171.9200000002,1869083.7500000000,1842821.1100000001,10842341.5499999989,
FS(41),1821828.9200000002,1687437.9600000000,1761423.2800000000,1853778.6400000004,1852233.8400000001,1826930.3299999998,10803636.9700000007,
FS(42),1864624.2400000000,1700878.6399999999,1763310.0400000000,1866186.6400000004,1844355.9600000000,1817822.2000000000,10857181.7199999988,
FS(43),1899290.8400000001,1699351.2900000000,1770857.0800000001,1892491.6000000003,1843042.9800000000,1811620.9200000002,10916658.7100000009,
FS(44),1882794.3200000001,1739367.8599999999,1779033.0400000000,1908373.8400000003,1823785.9399999999,1812396.0799999998,10945755.0800000001,
FS(45),1934196.5200000003,1684383.2600000000,1761528.1000000001,1901425.3600000003,1834508.6099999999,1829255.8100000001,10945301.6600000020,
FS(46),1929654.0000000000,1691714.5400000000,1768341.3999999999,1932693.5200000000,1824004.7699999998,1834681.9299999999,10981094.1600000001,
FS(47),1939695.3599999999,1679495.7399999998,1735427.9199999999,1886039.4400000002,1809561.9900000000,1824217.2700000000,10874441.7199999988,
FS(48),1912679.3200000001,1708209.9199999999,1752723.2200000000,1903906.9600000002,1849607.8799999999,1853673.3500000001,10980804.6499999985,
FS(49),1934674.6800000002,1774802.3799999999,1757544.9399999999,1921278.1600000001,1855297.4600000000,1857355.3600000001,11100956.9799999986,
FS(50),1931566.6400000001,1817568.1799999999,1779137.8599999999,1891498.9600000002,1830569.6700000002,1854836.0899999999,11105181.4000000004,
FS(51),1917221.8400000001,1785799.3000000000,1756811.2000000000,1866682.9600000002,1838666.3799999999,1826736.5400000000,10991922.2200000007,
FS(52),1914591.9600000000,1773275.0299999998,1764463.0600000001,1847326.4800000002,1801027.6199999999,1848053.4399999999,10948741.5899999999,
FS(53),1893552.9200000002,1806265.7900000000,1765091.9799999997,1821021.5200000000,1802559.4300000002,1847084.4900000000,10935580.1300000008,
FS(54),1904072.4400000002,1809625.9600000000,1791925.8999999999,1830451.6000000003,1787678.9900000000,1884098.3799999999,11007857.2700000014,
FS(55),1895465.5600000001,1835896.3799999999,1787104.1800000002,1812584.0800000003,1770610.2500000000,1874990.2500000000,10976654.7000000011,
FS(56),1881120.7600000002,1892713.8000000000,1832700.8800000001,1815562.0000000000,1802778.2599999998,1929057.6600000001,11153937.3599999994,
FS(57),1859603.5600000001,1909820.1200000001,1831967.1400000001,1799183.4400000002,1792274.4200000002,1926925.9700000002,11119778.6500000004,
FS(58),1875143.7600000002,1904627.1299999999,1836055.1199999999,1826481.0400000000,1790961.4399999999,1912391.7200000002,11145664.2100000009,
FS(59),1947106.8400000001,1908903.7100000000,1849786.5400000000,1817547.2800000000,1779363.4500000000,1909097.2900000000,11211809.1100000013,
FS(60),1938978.1199999999,1932424.8999999999,1846537.1199999999,1840378.0000000000,1779363.4500000000,1922856.3799999999,11260541.9700000007,
FS(61),1926067.8000000000,1951364.0400000000,1849576.8999999999,1858245.5200000000,1789210.8000000000,1955413.1000000001,11329882.1600000001,
FS(62),1912918.4000000001,1940061.6499999999,1848528.7000000000,1850800.7200000002,1794681.5500000000,1967234.2900000000,11314229.3100000024,
FS(63),1894031.0800000001,1940061.6499999999,1842029.8599999999,1850800.7200000002,1794462.7200000000,1943979.4900000000,11265369.5200000014,
FS(64),1916265.5200000003,1931508.4899999998,1858067.3199999998,1856756.5600000001,1781551.7500000000,1961226.8000000000,11305380.4400000013,
