代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,10982596.8800000008
真實報酬,982596.8800000008
趨勢值,0.3069215813

選擇檔數,9
找到最佳解世代,2324
找到最佳解實驗,1
Stock#,AAPL,HD,NKE,PFE,PG,TRV,UNH,WBA,WMT,
分配資金,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,1111111,
張數,13125,20960,50027,48309,18158,17382,19749,37210,16021,
剩餘資金,79.7499999999,21.4000000000,11.3300000000,4.0000000000,22.9800000000,53.5600000000,32.2600000000,20.4000000000,54.6500000001,
FS(11),1138148.5000000000,1063112.6000000001,1160137.4600000000,1141062.5800000001,1186648.2799999998,1100507.9800000000,1104001.3599999999,1142367.3999999999,1171189.7500000000,10207176.9099999983,
FS(12),1136836.0000000000,1067095.0000000000,1183650.1499999999,1143478.0300000000,1177024.5399999998,1112501.5600000001,1112888.4100000001,1152414.0999999999,1167184.5000000000,10253073.2899999991,
FS(13),1151929.7500000000,1068143.0000000002,1191654.4700000000,1149758.2000000000,1178840.3400000001,1107113.1400000001,1086029.7700000000,1288230.5999999999,1146036.7800000003,10367737.0500000007,
FS(14),1133161.0000000000,1062693.4000000001,1164139.6199999999,1144927.3000000000,1175390.3200000001,1090078.7800000000,1094324.3499999999,1287486.3999999999,1157571.9000000001,10309774.0700000003,
FS(15),1132242.2500000000,1068143.0000000002,1161138.0000000000,1140096.4000000001,1169216.6000000001,1073218.2400000000,1076550.2500000000,1262183.5999999999,1151163.5000000000,10233952.8399999999,
FS(16),1126861.0000000000,1072544.6000000001,1162638.8099999998,1129468.4199999999,1162498.1399999999,1058443.5400000000,1084252.3599999999,1269253.5000000000,1155809.5900000001,10221770.9600000009,
FS(17),1078167.2500000000,1070448.6000000001,1169642.5899999999,1127052.9700000000,1162498.1399999999,1060007.9199999999,1036459.7799999999,1289346.8999999999,1154848.3300000001,10148473.4799999986,
FS(18),1078036.0000000000,1109015.0000000000,1208163.3799999997,1134782.4099999999,1172303.4600000000,1070958.5800000001,1027177.7500000000,1301254.0999999999,1180321.7200000002,10282013.4000000004,
FS(19),1097198.5000000000,1125783.0000000002,1213666.3499999999,1151207.4700000000,1181927.2000000000,1090252.6000000001,1053443.9200000002,1329161.5999999999,1193939.5700000001,10436581.2099999990,
FS(20),1115704.7500000000,1116141.4000000001,1198658.2500000000,1145410.3900000001,1182108.7799999998,1098769.7800000000,1051864.0000000000,1349627.1000000001,1201309.2300000002,10459594.6799999997,
FS(21),1145236.0000000000,1093714.2000000002,1167641.5099999998,1161352.3599999999,1171940.3000000000,1089035.8600000001,1009008.6700000000,1352976.0000000000,1192497.6800000002,10383403.5800000001,
FS(22),1137886.0000000000,1083234.2000000002,1163139.0799999998,1156521.4600000000,1162316.5600000001,1101203.2600000000,1011378.5500000000,1349627.1000000001,1179520.6700000002,10344827.8799999990,
FS(23),1139723.5000000000,1077155.8000000000,1157636.1099999999,1155555.2800000000,1153237.5600000001,1092859.8999999999,1009206.1600000000,1330277.8999999999,1186409.7000000002,10302062.9100000020,
FS(24),1154554.7500000000,1096019.8000000000,1182649.6099999999,1172946.5200000000,1189371.9800000000,1107460.7800000000,1019278.1500000000,1332138.3999999999,1194420.2000000002,10448841.1899999995,
FS(25),1167417.2500000000,1089941.4000000001,1194656.0899999999,1171980.3400000001,1195000.9600000000,1104158.2000000002,1007231.2600000000,1331766.2999999998,1190094.5300000003,10452247.3300000001,
FS(26),1164267.2500000000,1098325.4000000001,1202660.4099999997,1146859.6599999999,1202445.7400000000,1101550.8999999999,1037644.7200000000,1340696.7000000000,1185448.4399999999,10479900.2199999988,
FS(27),1162298.5000000000,1106499.8000000000,1199658.7899999998,1151207.4700000000,1211524.7400000000,1109198.9800000000,1041397.0299999999,1348510.8000000000,1190575.1600000001,10520872.2699999996,
FS(28),1164004.7500000000,1114045.4000000001,1189153.1199999999,1153139.8300000001,1211706.3200000001,1110589.5400000000,1027375.2400000001,1342929.3000000000,1183205.5000000000,10496150.0000000000,
FS(29),1165711.0000000000,1112159.0000000002,1182149.3399999999,1156521.4600000000,1212432.6399999999,1112153.9199999999,1025005.3600000000,1345906.0999999999,1180481.9300000002,10492521.7500000000,
FS(30),1181329.7500000000,1107128.6000000001,1198658.2500000000,1145893.4800000000,1207166.8200000001,1107808.4199999999,1025005.3600000000,1338464.0999999999,1175996.0500000003,10487451.8300000001,
FS(31),1184479.7500000000,1146743.0000000002,1187152.0399999998,1158453.8200000001,1211706.3200000001,1104505.8400000001,1026387.7900000000,1328789.5000000000,1185768.8600000003,10533987.9200000018,
FS(32),1182904.7500000000,1152821.4000000001,1178647.4499999997,1161352.3599999999,1210072.1000000001,1108156.0600000001,1043174.4400000001,1323208.0000000000,1192818.1000000001,10553155.6600000001,
FS(33),1193273.5000000000,1180279.0000000002,1185651.2299999997,1160386.1799999999,1216608.9800000000,1113023.0200000000,1054431.3700000001,1321719.6000000001,1155969.8000000003,10581343.6799999997,
FS(34),1215323.5000000000,1189082.2000000002,1204161.2200000000,1149275.1099999999,1216608.9800000000,1132143.2200000000,1049296.6300000001,1333626.8000000000,1153406.4399999999,10642925.0999999996,
FS(35),1247217.2500000000,1185728.6000000001,1197657.7100000000,1155072.1899999999,1212069.4800000000,1141008.0400000000,1050679.0600000001,1340696.7000000000,1158372.9500000002,10688502.9800000023,
FS(36),1230154.7500000000,1180488.6000000001,1198658.2500000000,1144444.2100000000,1212432.6399999999,1133881.4200000002,1055023.8400000001,1326556.8999999999,1144434.6800000002,10626076.2899999991,
FS(37),1254173.5000000000,1187195.8000000000,1197657.7100000000,1144927.3000000000,1213885.2799999998,1137705.4600000002,1065885.7900000000,1322835.8999999999,1149881.8200000001,10674149.5600000005,
FS(38),1242492.2500000000,1185309.4000000001,1193655.5499999998,1146859.6599999999,1210798.4200000002,1126407.1599999999,1064898.3400000001,1326928.9999999998,1146517.4100000001,10643868.1899999995,
FS(39),1243673.5000000000,1193903.0000000002,1211665.2699999998,1159903.0900000001,1216972.1399999999,1136836.3600000001,1069638.0999999999,1326556.8999999999,1155328.9600000002,10714478.3200000003,
FS(40),1267036.0000000000,1187824.6000000001,1206162.2999999998,1154106.0100000000,1218606.3599999999,1133012.3200000001,1078525.1499999999,1324696.3999999999,1161577.1500000001,10731547.2899999991,
FS(41),1265329.7500000000,1184890.2000000002,1236678.7699999998,1152173.6500000001,1216427.3999999999,1127102.4400000002,1072995.4299999999,1317254.3999999999,1160135.2600000000,10732988.2999999989,
FS(42),1262836.0000000000,1191387.8000000003,1234177.4199999999,1157487.6400000001,1214248.4400000002,1126407.1599999999,1079117.6200000001,1313533.3999999999,1165902.8200000001,10745099.2999999989,
FS(43),1244854.7500000000,1186776.6000000001,1222671.2100000000,1151690.5600000001,1214430.0199999998,1121018.7400000000,1080105.0700000001,1310184.5000000000,1157571.9000000001,10689304.3499999996,
FS(44),1247348.5000000000,1189501.4000000001,1217668.5099999998,1152656.7400000000,1220059.0000000000,1125364.2400000000,1072402.9600000000,1330649.9999999998,1163179.2500000000,10718831.5999999996,
FS(45),1265592.2500000000,1190339.8000000000,1216667.9700000000,1148792.0200000000,1223872.1800000002,1123626.0400000000,1077537.7000000000,1328417.3999999999,1177758.3600000003,10752604.7200000025,
FS(46),1256798.5000000000,1185099.8000000000,1217668.5099999998,1155555.2800000000,1221874.8000000000,1121714.0200000000,1072007.9800000000,1335115.2000000000,1178399.2000000002,10744234.2900000010,
FS(47),1268086.0000000000,1208365.4000000001,1244182.8199999998,1175845.0600000001,1239124.8999999999,1135793.4400000002,1084054.8700000001,1309812.3999999999,1198585.6600000001,10863851.5500000007,
FS(48),1275961.0000000000,1200191.0000000000,1241681.4700000000,1171014.1599999999,1244209.1399999999,1133533.7800000000,1083857.3800000001,1300137.7999999998,1182724.8700000001,10833311.6000000015,
FS(49),1242754.7500000000,1201029.4000000001,1251186.5999999999,1164250.9000000001,1244027.5600000001,1135271.9800000000,1061343.5200000000,1307579.7999999998,1177758.3600000003,10785203.8700000010,
FS(50),1238686.0000000000,1188872.6000000001,1246684.1699999999,1167632.5300000000,1239488.0600000001,1163778.4600000002,1042779.4600000000,1306463.5000000000,1186569.9100000001,10780955.6900000013,
FS(51),1255879.7500000000,1195789.4000000001,1261192.0000000000,1162801.6300000001,1236582.7799999998,1174033.8400000001,1043174.4400000001,1315766.0000000000,1186730.1200000001,10831950.9600000009,
FS(52),1280686.0000000000,1221989.4000000001,1240680.9299999999,1171497.2500000000,1251290.7600000000,1189851.4600000002,1064305.8700000001,1340324.6000000001,1203872.5900000001,10964499.8599999994,
FS(53),1296173.5000000000,1246303.0000000002,1208663.6499999999,1149758.2000000000,1255830.2600000000,1192111.1200000001,1071415.5100000000,1340324.6000000001,1193619.1500000001,10954199.9900000002,
FS(54),1312186.0000000000,1234775.0000000000,1225172.5599999998,1160386.1799999999,1257464.4800000000,1190372.9200000002,1075957.7800000000,1328417.3999999999,1185448.4399999999,10970181.7599999998,
FS(55),1316123.5000000000,1233727.0000000002,1222170.9399999997,1159903.0900000001,1256919.7400000000,1190025.2800000000,1088794.6300000001,1326928.9999999998,1184807.6000000001,10979401.7799999975,
FS(56),1316517.2500000000,1246512.6000000001,1221670.6699999999,1167149.4399999999,1257646.0600000001,1186027.4200000002,1085239.8100000001,1332510.5000000000,1191536.4200000002,11004811.1699999999,
FS(57),1310086.0000000000,1242530.2000000002,1209664.1899999997,1179226.6899999999,1263093.4600000000,1189851.4600000002,1085042.3200000001,1322835.8999999999,1197624.4000000001,10999955.6200000010,
FS(58),1312711.0000000000,1245464.6000000001,1207162.8399999999,1184540.6799999999,1260551.3400000001,1192632.5800000001,1109531.0800000001,1306463.5000000000,1192818.1000000001,11011876.7199999988,
FS(59),1295254.7500000000,1244835.8000000000,1192154.7399999998,1195651.7500000000,1266725.0600000001,1189330.0000000000,1105581.2800000000,1327301.0999999999,1197464.1899999999,11014299.6699999981,
FS(60),1262967.2500000000,1251752.6000000001,1189153.1199999999,1199999.5600000001,1263638.2000000000,1190372.9200000002,1109926.0600000001,1342185.0999999999,1189774.1100000003,10999769.9199999999,
FS(61),1247348.5000000000,1240224.6000000001,1194155.8199999998,1199516.4700000000,1258372.3799999999,1178205.5200000000,1101631.4800000000,1332882.5999999999,1188652.6400000001,10940991.0099999998,
FS(62),1277536.0000000000,1255106.2000000002,1200659.3299999998,1205796.6400000001,1258372.3799999999,1189156.1799999999,1110716.0200000000,1361906.3999999999,1185288.2300000002,11044538.3800000008,
FS(63),1250892.2500000000,1265376.6000000001,1187152.0399999998,1200482.6500000001,1259461.8599999999,1186548.8800000001,1094324.3499999999,1355952.7999999998,1182404.4500000002,10982596.8800000008,
