代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11824732.6200000010
真實報酬,1824732.6200000010
趨勢值,0.2051696458

選擇檔數,8
找到最佳解世代,2053
找到最佳解實驗,2
Stock#,AAPL,CSCO,CVX,INTC,MCD,TRV,UNH,XOM,
分配資金,1250000,1250000,1250000,1250000,1250000,1250000,1250000,1250000,
張數,17445,58004,11247,52192,13437,15574,17670,13881,
剩餘資金,65.7499999999,13.8000000000,8.4200000000,1.6000000000,90.2600000001,30.7599999999,24.2000000001,15.9500000000,
FS(17),1289425.7000000000,1272041.5200000000,1299149.3899999999,1294363.2000000002,1288564.1899999999,1299369.5800000001,1344004.4000000001,1329676.9399999999,10416594.9199999999,
FS(18),1315069.8499999999,1271461.4800000002,1301173.8499999999,1292275.5200000003,1277680.2200000000,1305910.6599999999,1343297.6000000001,1330370.9900000000,10437240.1700000018,
FS(19),1311580.8500000001,1264501.0000000000,1297124.9299999999,1292275.5200000003,1278620.8100000001,1305754.9200000002,1365385.1000000001,1336339.8199999998,10451582.9499999993,
FS(20),1315244.3000000000,1251160.0800000001,1291613.8999999999,1278705.6000000001,1267468.0999999999,1295476.0800000001,1362381.2000000002,1325651.4500000000,10387700.7100000009,
FS(21),1323966.8000000000,1265661.0800000001,1297012.4600000000,1284446.7200000000,1276336.5200000000,1309959.8999999999,1380581.3000000000,1339810.0699999998,10477774.8499999996,
FS(22),1326758.0000000000,1268561.2800000000,1287002.6299999999,1278705.6000000001,1276874.0000000000,1314009.1400000001,1378107.5000000000,1302053.7500000000,10432071.9000000004,
FS(23),1322745.6499999999,1265661.0800000001,1291726.3699999999,1285490.5600000001,1284398.7200000000,1314476.3600000001,1371923.0000000002,1301498.5100000000,10437920.2500000000,
FS(24),1322047.8500000001,1260440.7200000000,1294313.1799999999,1286012.4800000002,1283323.7600000000,1307156.5800000001,1367682.2000000002,1318572.1399999999,10439548.9100000001,
FS(25),1323269.0000000000,1258120.5600000001,1302860.8999999999,1296450.8800000001,1279292.6600000001,1304820.4800000000,1376163.8000000000,1325651.4500000000,10466629.7300000004,
FS(26),1336003.8499999999,1253480.2400000000,1287902.3899999999,1290709.7600000000,1327397.1200000001,1301705.6799999999,1374396.8000000003,1304968.7600000000,10476564.6000000015,
