代數,10000
粒子數,10
旋轉角度,0.0004000000
實驗次數,50

初始資金,10000000.0000000000
最後資金,11573218.8399999999
真實報酬,1573218.8399999999
趨勢值,0.0542752492

選擇檔數,3
找到最佳解世代,1924
找到最佳解實驗,1
Stock#,MCD,MRK,PG,
分配資金,3333333,3333333,3333333,
張數,21242,50898,41330,
剩餘資金,38.3600000003,22.9800000003,68.4999999998,
FS(1),3333333.0000000000,3333333.0000000000,3333333.0000000000,10000000.0000000000,
FS(2),3301257.5800000001,3319590.5400000005,3389128.4999999995,10009977.6199999992,
FS(3),3318251.1800000006,3355728.1200000006,3402767.3999999994,10076747.7000000011,
FS(4),3329084.6000000001,3370488.5400000005,3410620.0999999992,10110194.2400000002,
FS(5),3314640.0400000000,3388811.8200000003,3415579.6999999997,10119032.5599999987,
FS(6),3375817.0000000000,3394410.6000000006,3403593.9999999991,10173822.5999999996,
FS(7),3383888.9600000004,3359290.9800000004,3364330.5000000000,10107511.4399999995,
FS(8),3370718.9200000004,3362853.8400000003,3365570.3999999999,10099144.1600000001,
FS(9),3359248.2400000002,3395937.5400000005,3369290.0999999992,10124476.8799999990,
FS(10),3411503.5600000001,3382704.0600000001,3360610.7999999998,10154819.4199999999,
FS(11),3396209.3200000003,3429021.2400000007,3401527.4999999995,10226759.0599999987,
FS(12),3435507.0200000000,3504350.2800000003,3458976.1999999993,10398834.4999999981,
FS(13),3423186.6600000006,3515038.8600000003,3458976.1999999993,10397202.7200000007,
FS(14),3434444.9200000004,3571535.6400000006,3456909.6999999997,10462891.2599999998,
FS(15),3420850.0400000000,3520637.6400000006,3467655.5000000000,10409144.1799999997,
FS(16),3410441.4600000004,3514020.9000000008,3446577.1999999997,10371040.5600000005,
FS(17),3378578.4600000004,3510458.0400000005,3440377.6999999993,10329415.1999999993,
FS(18),3385588.3200000003,3514020.9000000008,3445337.2999999993,10344947.5199999996,
FS(19),3408954.5200000000,3511476.0000000000,3448643.6999999993,10369075.2199999988,
FS(20),3433595.2400000002,3493152.7200000002,3450296.8999999999,10377045.8599999994,
FS(21),3464820.9800000004,3502314.3600000003,3450710.1999999993,10417846.5399999991,
FS(22),3458235.9600000004,3488571.9000000008,3447403.7999999993,10394212.6600000001,
FS(23),3446128.0200000000,3491116.8000000007,3428391.9999999995,10365637.8200000003,
FS(24),3435294.6000000001,3458542.0800000005,3418059.4999999995,10311897.1799999997,
FS(25),3467582.4400000004,3492643.7400000007,3442444.1999999997,10402671.3800000008,
FS(26),3478203.4400000004,3531326.2200000002,3415993.0000000000,10425523.6600000001,
FS(27),3481602.1600000006,3546086.6400000006,3385408.7999999993,10413098.5999999996,
FS(28),3506455.3000000003,3540487.8600000003,3404833.8999999994,10451778.0600000005,
FS(29),3496896.4000000004,3516056.8200000003,3389541.7999999998,10402496.0199999996,
FS(30),3499445.4400000004,3555757.2600000002,3435004.7999999993,10490208.5000000000,
FS(31),3449739.1600000006,3605128.3200000003,3449056.9999999995,10503925.4800000004,
FS(32),3416601.6400000006,3561865.0200000005,3455669.7999999993,10434137.4600000009,
FS(33),3359248.2400000002,3584260.1400000006,3482120.9999999995,10425630.3799999990,
FS(34),3351388.7000000007,3584260.1400000006,3471788.4999999995,10407438.3399999999,
FS(35),3381339.9200000004,3561865.0200000005,3471788.4999999995,10414994.4400000013,
FS(36),3415539.5400000000,3602583.4200000004,3527997.2999999993,10546121.2599999998,
FS(37),3511340.9600000004,3618870.7800000003,3547009.0999999992,10677221.8399999999,
FS(38),3469069.3800000004,3602583.4200000004,3482947.5999999992,10554601.4000000004,
FS(39),3534919.5800000001,3595966.6800000006,3435418.0999999996,10566305.3599999994,
FS(40),3521112.2800000003,3579679.3200000003,3441204.2999999998,10541996.9000000004,
FS(41),3537468.6200000006,3599529.5400000005,3424672.2999999993,10561671.4600000009,
FS(42),3553612.5400000000,3610727.1000000006,3439964.3999999999,10604305.0399999991,
FS(43),3540442.5000000000,3640756.9200000004,3458149.5999999996,10639350.0199999996,
FS(44),3508791.9200000004,3651954.4800000004,3486667.2999999993,10647414.7000000011,
FS(45),3497746.0800000001,3632613.2400000007,3431698.3999999994,10562058.7199999988,
FS(46),3521961.9600000004,3624978.5400000005,3385822.0999999996,10532763.5999999996,
FS(47),3538318.3000000003,3615307.9200000004,3395328.0000000000,10548955.2200000007,
FS(48),3563808.7000000007,3637194.0600000001,3405660.5000000000,10606664.2599999998,
FS(49),3607567.2200000007,3681984.3000000007,3397394.4999999995,10686947.0200000014,
FS(50),3576553.9000000004,3585787.0800000005,3365983.6999999993,10528325.6799999997,
FS(51),3461847.1000000001,3479919.2400000007,3259765.5999999996,10201532.9399999995,
FS(52),3479902.8000000003,3553212.3600000003,3267618.2999999998,10300734.4600000009,
FS(53),3476716.5000000000,3535398.0600000001,3311841.3999999994,10323956.9599999990,
FS(54),3485213.3000000003,3624978.5400000005,3348211.7999999998,10458404.6400000006,
FS(55),3542566.7000000007,3655517.3400000003,3383342.2999999993,10581427.3399999999,
FS(56),3543416.3800000004,3675367.5600000001,3316387.6999999993,10535172.6399999987,
FS(57),3557860.9400000004,3682493.2800000003,3608177.4999999995,10848532.7199999988,
FS(58),3539592.8200000003,3693690.8400000003,3579246.4999999991,10812531.1599999983,
FS(59),3763058.6600000006,3669768.7800000003,3602391.2999999993,11035219.7400000002,
FS(60),3767307.0600000001,3590367.9000000008,3697450.2999999993,11055126.2599999998,
FS(61),3723973.3800000004,3560847.0600000001,3678438.4999999995,10963259.9399999995,
FS(62),3682126.6400000006,3583242.1800000006,3631322.2999999993,10896692.1200000010,
FS(63),3679790.0200000000,3636685.0800000005,3647027.6999999993,10963503.7999999989,
FS(64),3791522.9400000004,3708960.2400000007,3686291.1999999993,11186775.3799999990,
FS(65),3757748.1600000006,3746624.7600000002,3665212.8999999999,11169586.8200000003,
FS(66),3714839.3200000003,3721684.7400000007,3702823.1999999997,11139348.2599999998,
FS(67),3754561.8600000003,3678421.4400000004,3711915.7999999998,11144900.0999999996,
FS(68),3831882.7400000002,3721684.7400000007,3769364.4999999995,11322932.9800000004,
FS(69),3881164.1800000006,3731355.3600000003,3782176.7999999998,11394697.3399999999,
FS(70),3913876.8600000003,3821444.8200000003,3773084.1999999997,11508406.8800000008,
FS(71),3940004.5200000000,3841804.0200000005,3775977.2999999993,11557786.8399999999,
FS(72),3949775.8400000003,3810247.2600000002,3819373.7999999993,11579397.9000000004,
FS(73),3916425.9000000004,3801594.6000000006,3831359.4999999995,11549381.0000000000,
FS(74),3908778.7800000003,3797522.7600000002,3863183.5999999996,11569486.1400000006,
FS(75),3905380.0600000001,3771055.8000000007,3864010.1999999993,11540447.0599999987,
FS(76),3899219.8800000004,3809229.3000000007,3878062.3999999994,11586512.5800000001,
FS(77),3984825.1400000006,3871324.8600000003,3877649.0999999992,11733800.0999999996,
FS(78),3966344.6000000001,3886085.2800000003,3855744.1999999997,11708175.0800000001,
FS(79),3902406.1800000006,3806175.4200000004,3806561.4999999991,11515144.0999999996,
FS(80),3881376.6000000001,3806684.4000000008,3778043.7999999993,11466105.8000000007,
FS(81),3864595.4200000004,3800576.6400000006,3783416.6999999997,11448589.7599999998,
FS(82),3906229.7400000002,3839768.1000000006,3799948.6999999993,11545947.5399999991,
FS(83),3921948.8200000003,3885576.3000000007,3832186.0999999996,11639712.2200000007,
FS(84),3990348.0600000001,3930875.5200000005,3844171.7999999998,11765396.3800000008,
FS(85),4020299.2800000003,3965486.1600000001,3836319.0999999992,11822105.5399999991,
FS(86),4004367.7800000003,4038270.3000000007,3906166.7999999998,11948805.8800000008,
FS(87),3937667.9000000004,4032162.5400000005,3856984.0999999992,11826815.5399999991,
FS(88),3930658.0400000000,3980755.5600000001,3856570.7999999998,11767985.4000000004,
FS(89),3939367.2600000002,3988899.2400000007,3866489.9999999995,11794757.5000000000,
FS(90),3886474.6800000006,3904917.5400000005,3821026.9999999995,11612420.2200000007,
FS(91),3922373.6600000006,3940546.1400000006,3844998.3999999994,11707919.1999999993,
FS(92),3899857.1400000006,3924767.7600000002,3881368.7999999993,11705994.7000000011,
FS(93),3897520.5200000000,3970575.9600000009,3886328.3999999994,11754425.8799999990,
FS(94),3960184.4200000004,4021473.9600000009,3988000.1999999993,11969659.5800000001,
FS(95),3893484.5400000000,3892702.0200000005,3994199.6999999997,11780387.2599999998,
FS(96),3840379.5400000000,3829079.5200000005,3834252.5999999992,11503712.6600000001,
FS(97),3817438.1800000006,3783271.3200000003,3822680.1999999993,11423390.6999999993,
FS(98),3805755.0800000001,3754768.4400000004,3792509.2999999998,11353033.8200000003,
FS(99),3689348.9200000004,3740517.0000000000,3760271.8999999999,11190138.8200000003,
FS(100),3699332.6600000006,3710487.1800000006,3759858.5999999996,11169679.4400000013,
FS(101),3617126.1200000006,3621415.6800000006,3610657.2999999993,10849200.1000000015,
FS(102),3696783.6200000006,3766474.9800000004,3723488.1999999997,11186747.7999999989,
FS(103),3732470.1800000006,3836714.2200000002,3803255.0999999992,11372440.5000000000,
FS(104),3729283.8800000004,3836205.2400000007,3768537.8999999999,11334028.0199999996,
FS(105),3771980.3000000003,3889139.1600000001,3799122.0999999996,11460242.5600000005,
FS(106),3739904.8800000004,3847402.8000000007,3772670.8999999994,11359979.5800000001,
FS(107),3715264.1600000006,3768510.9000000008,3746219.6999999997,11229995.7599999998,
FS(108),3787062.1200000006,3882013.4400000004,3822680.1999999993,11491756.7599999998,
FS(109),3828271.6000000001,3839259.1200000006,3807388.0999999996,11474919.8200000003,
FS(110),3836343.5600000001,3867762.0000000000,3821440.2999999993,11525546.8599999994,
FS(111),3829758.5400000000,3838241.1600000001,3759031.9999999995,11427032.6999999993,
FS(112),3856523.4600000004,3790906.0200000005,3768124.5999999996,11415555.0800000001,
FS(113),3873941.9000000004,3812283.1800000006,3792922.5999999992,11479148.6799999997,
FS(114),3849513.6000000001,3734409.2400000007,3767298.0000000000,11351221.8399999999,
FS(115),3845265.2000000007,3791923.9800000004,3802841.7999999998,11440031.9800000004,
FS(116),3809791.0600000001,3797522.7600000002,3776390.5999999996,11383705.4199999999,
FS(117),3847176.9800000004,3847911.7800000003,3746219.6999999997,11441309.4599999990,
FS(118),3878190.3000000003,3861654.2400000007,3778457.0999999996,11518302.6400000006,
FS(119),3920674.3000000003,3859618.3200000003,3737953.6999999993,11518247.3200000003,
FS(120),3952962.1400000006,3839768.1000000006,3919805.6999999997,11712536.9399999995,
FS(121),3980151.9000000004,3724229.6400000006,3897487.4999999995,11601870.0399999991,
FS(122),3908566.3600000003,3713032.0800000005,3868556.4999999991,11490155.9399999995,
FS(123),3900069.5600000001,3711505.1400000006,3865250.0999999992,11476825.7999999989,
